ANY_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,PARTIT_SIGLES,PARTIT_VOTS
2014,E2014,Eleccions al Parlament Europeu 2014,Cs,2008
2014,E2014,Eleccions al Parlament Europeu 2014,SAIn,3
2014,E2014,Eleccions al Parlament Europeu 2014,RecortesCero,72
2014,E2014,Eleccions al Parlament Europeu 2014,CILUS,22
2014,E2014,Eleccions al Parlament Europeu 2014,DN,11
2014,E2014,Eleccions al Parlament Europeu 2014,MovimeintoRed,191
2014,E2014,Eleccions al Parlament Europeu 2014,SZLP,5
2014,E2014,Eleccions al Parlament Europeu 2014,PA,9
2014,E2014,Eleccions al Parlament Europeu 2014,ProyectoEuropa,4
2014,E2014,Eleccions al Parlament Europeu 2014,EB,185
2014,E2014,Eleccions al Parlament Europeu 2014,PODEMOS,1463
2014,E2014,Eleccions al Parlament Europeu 2014,LEM,8
2014,E2014,Eleccions al Parlament Europeu 2014,FAC,16
2014,E2014,Eleccions al Parlament Europeu 2014,IPEX-PREX-CREX,6
2014,E2014,Eleccions al Parlament Europeu 2014,PARTIDO-X,161
2014,E2014,Eleccions al Parlament Europeu 2014,RRUE,3
2014,E2014,Eleccions al Parlament Europeu 2014,VOX,44
2014,E2014,Eleccions al Parlament Europeu 2014,FE de las JONS,27
2014,E2014,Eleccions al Parlament Europeu 2014,P-LIB,11
2014,E2014,Eleccions al Parlament Europeu 2014,PH,19
2014,E2014,Eleccions al Parlament Europeu 2014,ICV-EUiA,2694
2014,E2014,Eleccions al Parlament Europeu 2014,EH BILDU-BNG,53
2014,E2014,Eleccions al Parlament Europeu 2014,UPyD,460
2014,E2014,Eleccions al Parlament Europeu 2014,ImpulsoSocial,29
2014,E2014,Eleccions al Parlament Europeu 2014,PCPE,38
2014,E2014,Eleccions al Parlament Europeu 2014,EU,11
2014,E2014,Eleccions al Parlament Europeu 2014,IFEM,47
2014,E2014,Eleccions al Parlament Europeu 2014,MSR,12
2014,E2014,Eleccions al Parlament Europeu 2014,PP,2236
2014,E2014,Eleccions al Parlament Europeu 2014,DER,61
2014,E2014,Eleccions al Parlament Europeu 2014,MCR,7
2014,E2014,Eleccions al Parlament Europeu 2014,PrimaveraEuropea,74
2014,E2014,Eleccions al Parlament Europeu 2014,PSC,4352
2014,E2014,Eleccions al Parlament Europeu 2014,ERC-EPDD,4053
2014,E2014,Eleccions al Parlament Europeu 2014,ALTER,10
2014,E2014,Eleccions al Parlament Europeu 2014,PT,5
2014,E2014,Eleccions al Parlament Europeu 2014,PIRATA.CAT,135
2014,E2014,Eleccions al Parlament Europeu 2014,CIU,2606
2014,E2014,Eleccions al Parlament Europeu 2014,PACMA,401
