DATA_SOL,ANY_SOL,MES_SOL,ID_TIUS_SOL,TIPUS_SOL
07/07/2014,2014,7,38531,Borsa de treball
25/06/2014,2014,6,38531,Borsa de treball
10/07/2013,2013,7,38531,Borsa de treball
09/02/2013,2013,2,38531,Borsa de treball
03/12/2012,2012,12,38531,Borsa de treball
09/10/2012,2012,10,38531,Borsa de treball
01/10/2011,2011,10,38531,Borsa de treball
02/02/2015,2015,2,38727,Volant d' empadronament
02/02/2015,2015,2,38727,Volant d' empadronament
02/02/2015,2015,2,38083,"Avisos, queixes i suggeriments"
02/02/2015,2015,2,38531,Borsa de treball
01/01/2015,2015,1,38083,"Avisos, queixes i suggeriments"
01/01/2015,2015,1,38016,Sol·licitud del pin
01/01/2015,2015,1,38083,"Avisos, queixes i suggeriments"
12/12/2014,2014,12,38531,Borsa de treball
12/12/2014,2014,12,38727,Volant d' empadronament
12/12/2014,2014,12,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38727,Volant d' empadronament
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38016,Sol·licitud del pin
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
11/11/2014,2014,11,38531,Borsa de treball
11/11/2014,2014,11,38083,"Avisos, queixes i suggeriments"
10/10/2014,2014,10,38531,Borsa de treball
10/10/2014,2014,10,38531,Borsa de treball
10/10/2014,2014,10,38083,"Avisos, queixes i suggeriments"
10/10/2014,2014,10,38083,"Avisos, queixes i suggeriments"
10/10/2014,2014,10,38531,Borsa de treball
10/10/2014,2014,10,38834,Fes la teva pregunta a l'alcaldessa
10/10/2014,2014,10,38083,"Avisos, queixes i suggeriments"
10/10/2014,2014,10,38531,Borsa de treball
10/10/2014,2014,10,38951,Formulari d'inscripció al taller de defensa personal
04/04/2014,2014,4,38083,"Avisos, queixes i suggeriments"
13/02/2016,2016,2,38531,Borsa de treball
10/10/2014,2014,10,38951,Formulari d'inscripció al taller de defensa personal
10/10/2014,2014,10,38064,Inscripció a Formació de pares i mares
10/10/2014,2014,10,38951,Formulari d'inscripció al taller de defensa personal
10/10/2014,2014,10,38951,Formulari d'inscripció al taller de defensa personal
10/10/2014,2014,10,38951,Formulari d'inscripció al taller de defensa personal
10/10/2014,2014,10,38083,"Avisos, queixes i suggeriments"
10/10/2014,2014,10,38531,Borsa de treball
09/09/2014,2014,9,38834,Fes la teva pregunta a l'alcaldessa
09/09/2014,2014,9,38083,"Avisos, queixes i suggeriments"
09/09/2014,2014,9,38531,Borsa de treball
09/09/2014,2014,9,38834,Fes la teva pregunta a l'alcaldessa
09/09/2014,2014,9,38083,"Avisos, queixes i suggeriments"
09/09/2014,2014,9,38531,Borsa de treball
09/09/2014,2014,9,38531,Borsa de treball
09/09/2014,2014,9,38016,Sol·licitud del pin
09/09/2014,2014,9,38083,"Avisos, queixes i suggeriments"
09/09/2014,2014,9,38834,Fes la teva pregunta a l'alcaldessa
09/09/2014,2014,9,38531,Borsa de treball
09/09/2014,2014,9,38531,Borsa de treball
09/09/2014,2014,9,38834,Fes la teva pregunta a l'alcaldessa
09/09/2014,2014,9,38083,"Avisos, queixes i suggeriments"
08/08/2014,2014,8,38083,"Avisos, queixes i suggeriments"
08/08/2014,2014,8,38083,"Avisos, queixes i suggeriments"
08/08/2014,2014,8,38083,"Avisos, queixes i suggeriments"
07/07/2014,2014,7,38727,Volant d' empadronament
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38083,"Avisos, queixes i suggeriments"
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38727,Volant d' empadronament
07/07/2014,2014,7,38727,Volant d' empadronament
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
07/07/2014,2014,7,38083,"Avisos, queixes i suggeriments"
07/07/2014,2014,7,38295,Formulari de Consulta o Reclamació del Consumidor
07/07/2014,2014,7,38295,Formulari de Consulta o Reclamació del Consumidor
07/07/2014,2014,7,38307,Inscripció reunions d'empreses Rubí Brilla
06/06/2014,2014,6,38295,Formulari de Consulta o Reclamació del Consumidor
06/06/2014,2014,6,38083,"Avisos, queixes i suggeriments"
06/06/2014,2014,6,38083,"Avisos, queixes i suggeriments"
06/06/2014,2014,6,38083,"Avisos, queixes i suggeriments"
06/06/2014,2014,6,38727,Volant d' empadronament
06/06/2014,2014,6,38531,Borsa de treball
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,38083,"Avisos, queixes i suggeriments"
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,38083,"Avisos, queixes i suggeriments"
05/05/2014,2014,5,38083,"Avisos, queixes i suggeriments"
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,38083,"Avisos, queixes i suggeriments"
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,38083,"Avisos, queixes i suggeriments"
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,39456,INSCRIPCIÓ ACTIVITATS MES DE LA SALUT DE LES DONES maig 2014
05/05/2014,2014,5,38531,Borsa de treball
04/04/2014,2014,4,38531,Borsa de treball
03/03/2014,2014,3,38531,Borsa de treball
03/03/2014,2014,3,38951,Formulari d'inscripció al taller de defensa personal
03/03/2014,2014,3,38295,Formulari de Consulta o Reclamació del Consumidor
03/03/2014,2014,3,38727,Volant d' empadronament
02/02/2014,2014,2,38083,"Avisos, queixes i suggeriments"
02/02/2014,2014,2,38531,Borsa de treball
01/01/2014,2014,1,38083,"Avisos, queixes i suggeriments"
12/12/2013,2013,12,38083,"Avisos, queixes i suggeriments"
12/12/2013,2013,12,38295,Formulari de Consulta o Reclamació del Consumidor
11/11/2013,2013,11,38054,Voluntariat per la llengua
11/11/2013,2013,11,38083,"Avisos, queixes i suggeriments"
11/11/2013,2013,11,38083,"Avisos, queixes i suggeriments"
11/11/2013,2013,11,38016,Sol·licitud del pin
11/11/2013,2013,11,38083,"Avisos, queixes i suggeriments"
11/11/2013,2013,11,38531,Borsa de treball
11/11/2013,2013,11,38083,"Avisos, queixes i suggeriments"
11/11/2013,2013,11,38016,Sol·licitud del pin
10/10/2013,2013,10,38531,Borsa de treball
10/10/2013,2013,10,38531,Borsa de treball
10/10/2013,2013,10,38295,Formulari de Consulta o Reclamació del Consumidor
10/10/2013,2013,10,38531,Borsa de treball
10/10/2013,2013,10,38083,"Avisos, queixes i suggeriments"
10/10/2013,2013,10,38083,"Avisos, queixes i suggeriments"
10/10/2013,2013,10,38295,Formulari de Consulta o Reclamació del Consumidor
10/10/2013,2013,10,38295,Formulari de Consulta o Reclamació del Consumidor
09/09/2013,2013,9,38531,Borsa de treball
09/09/2013,2013,9,38834,Fes la teva pregunta a l'alcaldessa
09/09/2013,2013,9,38016,Sol·licitud del pin
09/09/2013,2013,9,38531,Borsa de treball
09/09/2013,2013,9,38531,Borsa de treball
09/09/2013,2013,9,38531,Borsa de treball
09/09/2013,2013,9,38083,"Avisos, queixes i suggeriments"
09/09/2013,2013,9,38083,"Avisos, queixes i suggeriments"
09/09/2013,2013,9,38083,"Avisos, queixes i suggeriments"
09/09/2013,2013,9,38531,Borsa de treball
09/09/2013,2013,9,38531,Borsa de treball
09/09/2013,2013,9,38834,Fes la teva pregunta a l'alcaldessa
09/09/2013,2013,9,38727,Volant d' empadronament
09/09/2013,2013,9,38727,Volant d' empadronament
08/08/2013,2013,8,38083,"Avisos, queixes i suggeriments"
08/08/2013,2013,8,39031,Formulari de petició de dades estadístiques
07/07/2013,2013,7,38016,Sol·licitud del pin
07/07/2013,2013,7,38531,Borsa de treball
06/06/2013,2013,6,38834,Fes la teva pregunta a l'alcaldessa
06/06/2013,2013,6,38834,Fes la teva pregunta a l'alcaldessa
06/06/2013,2013,6,38307,Inscripció reunions d'empreses Rubí Brilla
06/06/2013,2013,6,38307,Inscripció reunions d'empreses Rubí Brilla
06/06/2013,2013,6,38083,"Avisos, queixes i suggeriments"
06/06/2013,2013,6,38083,"Avisos, queixes i suggeriments"
05/05/2013,2013,5,38083,"Avisos, queixes i suggeriments"
05/05/2013,2013,5,38083,"Avisos, queixes i suggeriments"
04/04/2013,2013,4,38083,"Avisos, queixes i suggeriments"
04/04/2013,2013,4,38083,"Avisos, queixes i suggeriments"
04/04/2013,2013,4,38083,"Avisos, queixes i suggeriments"
04/04/2013,2013,4,38531,Borsa de treball
04/04/2013,2013,4,38083,"Avisos, queixes i suggeriments"
04/04/2013,2013,4,38531,Borsa de treball
28/02/2013,2013,2,38531,Borsa de treball
02/02/2013,2013,2,38083,"Avisos, queixes i suggeriments"
12/12/2012,2012,12,38295,Formulari de Consulta o Reclamació del Consumidor
12/12/2012,2012,12,38083,"Avisos, queixes i suggeriments"
12/12/2012,2012,12,38295,Formulari de Consulta o Reclamació del Consumidor
12/12/2012,2012,12,38834,Fes la teva pregunta a l'alcaldessa
12/12/2012,2012,12,38727,Volant d' empadronament
12/12/2012,2012,12,38727,Volant d' empadronament
12/12/2012,2012,12,38083,"Avisos, queixes i suggeriments"
12/12/2012,2012,12,38016,Sol·licitud del pin
12/12/2012,2012,12,38016,Sol·licitud del pin
19/11/2012,2012,11,38531,Borsa de treball
11/11/2012,2012,11,38083,"Avisos, queixes i suggeriments"
11/11/2012,2012,11,38083,"Avisos, queixes i suggeriments"
11/11/2012,2012,11,38016,Sol·licitud del pin
10/10/2012,2012,10,38083,"Avisos, queixes i suggeriments"
10/10/2012,2012,10,38727,Volant d' empadronament
09/09/2012,2012,9,38531,Borsa de treball
09/09/2012,2012,9,38727,Volant d' empadronament
08/08/2012,2012,8,38727,Volant d' empadronament
08/08/2012,2012,8,38295,Formulari de Consulta o Reclamació del Consumidor
06/06/2012,2012,6,38295,Formulari de Consulta o Reclamació del Consumidor
06/06/2012,2012,6,38295,Formulari de Consulta o Reclamació del Consumidor
06/06/2012,2012,6,38834,Fes la teva pregunta a l'alcaldessa
06/06/2012,2012,6,38834,Fes la teva pregunta a l'alcaldessa
06/06/2012,2012,6,38083,"Avisos, queixes i suggeriments"
06/06/2012,2012,6,38083,"Avisos, queixes i suggeriments"
06/06/2012,2012,6,38295,Formulari de Consulta o Reclamació del Consumidor
16/05/2012,2012,5,38531,Borsa de treball
05/05/2012,2012,5,38083,"Avisos, queixes i suggeriments"
04/04/2012,2012,4,38083,"Avisos, queixes i suggeriments"
04/04/2012,2012,4,38083,"Avisos, queixes i suggeriments"
04/04/2012,2012,4,38016,Sol·licitud del pin
04/04/2012,2012,4,38016,Sol·licitud del pin
04/04/2012,2012,4,38083,"Avisos, queixes i suggeriments"
04/04/2012,2012,4,38083,"Avisos, queixes i suggeriments"
03/03/2012,2012,3,38834,Fes la teva pregunta a l'alcaldessa
03/03/2012,2012,3,38083,"Avisos, queixes i suggeriments"
02/02/2012,2012,2,38083,"Avisos, queixes i suggeriments"
02/02/2012,2012,2,38531,Borsa de treball
02/02/2012,2012,2,38083,"Avisos, queixes i suggeriments"
02/02/2012,2012,2,38531,Borsa de treball
02/02/2012,2012,2,38834,Fes la teva pregunta a l'alcaldessa
01/01/2012,2012,1,38083,"Avisos, queixes i suggeriments"
01/01/2012,2012,1,38083,"Avisos, queixes i suggeriments"
12/12/2011,2011,12,38531,Borsa de treball
12/12/2011,2011,12,38016,Sol·licitud del pin
12/12/2011,2011,12,38016,Sol·licitud del pin
12/12/2011,2011,12,38295,Formulari de Consulta o Reclamació del Consumidor
11/11/2011,2011,11,38083,"Avisos, queixes i suggeriments"
11/11/2011,2011,11,38016,Sol·licitud del pin
11/11/2011,2011,11,38083,"Avisos, queixes i suggeriments"
10/10/2011,2011,10,38083,"Avisos, queixes i suggeriments"
10/10/2011,2011,10,38727,Volant d' empadronament
10/10/2011,2011,10,38834,Fes la teva pregunta a l'alcaldessa
10/10/2011,2011,10,38083,"Avisos, queixes i suggeriments"
10/10/2011,2011,10,38083,"Avisos, queixes i suggeriments"
10/10/2011,2011,10,38083,"Avisos, queixes i suggeriments"
10/10/2011,2011,10,38531,Borsa de treball
10/10/2011,2011,10,38295,Formulari de Consulta o Reclamació del Consumidor
09/09/2011,2011,9,38083,"Avisos, queixes i suggeriments"
09/09/2011,2011,9,38083,"Avisos, queixes i suggeriments"
09/09/2011,2011,9,38083,"Avisos, queixes i suggeriments"
09/09/2011,2011,9,38083,"Avisos, queixes i suggeriments"
09/09/2011,2011,9,38083,"Avisos, queixes i suggeriments"
09/09/2011,2011,9,38083,"Avisos, queixes i suggeriments"
09/09/2011,2011,9,38083,"Avisos, queixes i suggeriments"
09/09/2011,2011,9,38834,Fes la teva pregunta a l'alcaldessa
08/08/2011,2011,8,38531,Borsa de treball
08/08/2011,2011,8,38834,Fes la teva pregunta a l'alcaldessa
23/08/2011,2011,8,38531,Borsa de treball
08/08/2011,2011,8,38834,Fes la teva pregunta a l'alcaldessa
07/07/2011,2011,7,38295,Formulari de Consulta o Reclamació del Consumidor
07/07/2011,2011,7,38083,"Avisos, queixes i suggeriments"
07/07/2011,2011,7,38834,Fes la teva pregunta a l'alcaldessa
07/07/2011,2011,7,38083,"Avisos, queixes i suggeriments"
07/07/2011,2011,7,38083,"Avisos, queixes i suggeriments"
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
06/06/2011,2011,6,38812,Inscripció Casals 2011
