MESA_CODI,MESA_AVANÇ3,MESA_CENS,MESA_VOTS_NULS,MESA_VOTS_BLANCS,PARTIT_VOTS,DADES,ANY_CONVOCATORIA,CODI_TIPUS_CONVOCATORIA,TIPUS_CONVOCATORIA,CONVOCATORIA,MESA_OBERTA,MESA_AVANÇ1,MESA_AVANÇ2
3860,431,613,1,4,426,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,243,355
3841,458,651,2,2,454,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,228,363
3897,454,698,3,2,449,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,232,363
3852,430,608,3,3,424,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,239,373
3827,427,626,0,3,424,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,230,352
3886,302,475,1,0,301,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,143,235
3856,447,639,6,6,435,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,220,366
3832,575,861,1,6,568,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,284,469
3899,592,881,3,4,585,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,279,454
3883,503,687,1,1,501,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,196,397
3889,295,431,2,3,290,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,157,225
3862,419,600,2,5,412,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,230,335
3836,531,744,1,1,529,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,275,417
3898,548,752,1,2,545,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,260,445
3890,346,499,0,3,343,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,198,281
3842,541,790,0,1,540,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,243,449
3844,529,732,2,11,516,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,264,383
3880,368,501,2,1,365,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,175,300
3822,516,679,0,0,516,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,260,406
3867,539,761,3,3,533,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,274,440
3837,380,590,3,5,372,21/06/2016 20:45:29,2015,4,Congrés,Eleccions Generals 2015,SI,175,303
