Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
100/9120A/10000;Retribucions bàsiques;520.909,90;0,00;520.909,90;528.368,70;528.368,70;0,00;-7.458,80
100/9120A/16000;Seguretat social;87.348,59;0,00;87.348,59;100.170,77;100.170,77;0,00;-12.822,18
100/9120A/16009;Altres quotes;1.093,80;0,00;1.093,80;820,35;820,35;0,00;273,45
100/9120A/23000;Indemnitzacions assistència òrgans col.·legiats ;332.380,00;0,00;332.380,00;329.760,00;329.760,00;0,00;2.620,00
100/9120A/48700;Transferències grups municipals;290.455,42;0,00;290.455,42;283.724,14;283.724,14;0,00;6.731,28
120/9220A/12000;Salaris del Grup A1;29.779,33;0,00;29.779,33;24.604,36;24.604,36;0,00;5.174,97
120/9220A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;13.871,37;13.871,37;0,00;-3.986,53
120/9220A/12004;Salaris del Grup C2;41.593,28;0,00;41.593,28;37.814,01;37.814,01;0,00;3.779,27
120/9220A/12005;Salaris del Grup E;7.678,58;0,00;7.678,58;7.880,63;7.880,63;0,00;-202,05
120/9220A/12006;Triennis;12.110,99;0,00;12.110,99;11.495,20;11.495,20;0,00;615,79
120/9220A/12100;Complement de destí;41.612,63;0,00;41.612,63;37.161,60;37.161,60;0,00;4.451,03
120/9220A/12101;Complement  específic;78.624,60;0,00;78.624,60;71.592,46;71.592,46;0,00;7.032,14
120/9220A/12103;Altres complements;58.724,97;0,00;58.724,97;55.512,63;55.512,63;0,00;3.212,34
120/9220A/15000;Productivitat;586,29;0,00;586,29;1.426,19;1.426,19;0,00;-839,90
120/9220A/16000;Seguretat social;68.171,58;0,00;68.171,58;64.896,84;64.896,84;0,00;3.274,74
120/9220A/22199;Altres subministraments;500,00;0,00;500,00;1.009,68;1.009,68;0,00;-509,68
120/9220A/22201;Comunicacions postals;4.000,00;0,00;4.000,00;757,63;734,10;23,53;3.242,37
120/9220A/22699;Altres despeses diverses;2.000,00;0,00;2.000,00;1.560,78;795,49;765,29;439,22
120/9220A/22706;Estudis i treballs tècnics;500,00;0,00;500,00;0,00;0,00;0,00;500,00
120/9220A/22799;Altres treballs realitzats per altres empreses i prof.;10,00;0,00;10,00;0,00;0,00;0,00;10,00
120/9220A/23020;Dietes personal no directiu;3.000,00;0,00;3.000,00;681,05;615,03;66,02;2.318,95
120/9220A/48300;Subvencions i aportacions institucionals;81.139,00;0,00;81.139,00;81.139,52;81.139,52;0,00;-0,52
130/9202A/12000;Salaris del Grup A1;29.354,64;0,00;29.354,64;30.143,94;30.143,94;0,00;-789,30
130/9202A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.203,08;10.203,08;0,00;-318,24
130/9202A/12004;Salaris del Grup C2;25.135,74;0,00;25.135,74;25.915,86;25.915,86;0,00;-780,12
130/9202A/12006;Triennis;16.168,02;0,00;16.168,02;14.363,71;14.363,71;0,00;1.804,31
130/9202A/12100;Complement de destí;37.970,04;0,00;37.970,04;37.970,04;37.970,04;0,00;0,00
130/9202A/12101;Complement  específic;87.816,72;0,00;87.816,72;87.816,72;87.816,72;0,00;0,00
130/9202A/12103;Altres complements;44.989,86;0,00;44.989,86;51.136,48;51.136,48;0,00;-6.146,62
130/9202A/15000;Productivitat;6.507,64;0,00;6.507,64;5.600,88;5.600,88;0,00;906,76
130/9202A/16000;Seguretat social;53.804,68;0,00;53.804,68;54.505,10;54.505,10;0,00;-700,42
130/9202A/22001;Premsa, revistes, llibres i altres publicacions;22,00;0,00;22,00;0,00;0,00;0,00;22,00
130/9202A/22201;Comunicacions postals;1.200,00;0,00;1.200,00;473,90;454,44;19,46;726,10
210/9221A/11000;Retribucions bàsiques;37.261,14;0,00;37.261,14;28.580,40;28.580,40;0,00;8.680,74
210/9221A/11001;Retribucions complementàries;76.586,58;0,00;76.586,58;49.420,70;49.420,70;0,00;27.165,88
210/9221A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;37.581,24;37.581,24;0,00;-22.903,92
210/9221A/12003;Salaris del Grup C1;19.769,68;0,00;19.769,68;26.500,48;26.500,48;0,00;-6.730,80
210/9221A/12004;Salaris del Grup C2;25.035,87;16.000,00;41.035,87;58.085,19;58.085,19;0,00;-17.049,32
210/9221A/12006;Triennis;12.314,62;0,00;12.314,62;25.531,39;25.531,39;0,00;-13.216,77
210/9221A/12100;Complement de destí;30.223,84;17.000,00;47.223,84;65.067,58;65.067,58;0,00;-17.843,74
210/9221A/12101;Complement  específic;68.352,17;31.000,00;99.352,17;131.613,59;131.613,59;0,00;-32.261,42
210/9221A/12103;Altres complements;40.744,92;21.000,00;61.744,92;82.641,10;82.641,10;0,00;-20.896,18
210/9221A/15000;Productivitat;439,81;0,00;439,81;2.266,88;2.266,88;0,00;-1.827,07
210/9221A/15300;Complement de dedicació especial;608,76;0,00;608,76;416,64;416,64;0,00;192,12
210/9221A/16000;Seguretat social;83.946,88;31.000,00;114.946,88;149.441,69;149.441,69;0,00;-34.494,81
210/9221A/22000;Material d’oficina no inventariable;1.500,00;0,00;1.500,00;0,00;0,00;0,00;1.500,00
210/9221A/22001;Premsa, revistes, llibres i altres publicacions;3.652,00;0,00;3.652,00;4.444,75;4.213,75;231,00;-792,75
210/9221A/22199;Altres subministraments;10,00;0,00;10,00;14,77;0,00;14,77;-4,77
210/9221A/22601;Atencions protocol·làries i representatives;1.400,00;0,00;1.400,00;2.151,27;2.151,27;0,00;-751,27
210/9221A/22602;Publicitat;5.600,00;0,00;5.600,00;5.620,00;5.620,00;0,00;-20,00
210/9221A/2260200;Difusió d´activitats;2.300,00;0,00;2.300,00;2.300,00;1.372,14;927,86;0,00
210/9221A/2260201;Informació municipal i comunicació;0,00;0,00;0,00;0,00;0,00;0,00;0,00
210/9221A/2260202;Publicacions;14.000,00;0,00;14.000,00;9.784,56;7.705,58;2.078,98;4.215,44
210/9221A/22699;Altres despeses diverses;2.010,00;0,00;2.010,00;817,49;754,71;62,78;1.192,51
210/9221A/22706;Estudis i treballs tècnics;500,00;0,00;500,00;95,70;95,70;0,00;404,30
210/9221A/22799;Altres treballs realitzats per altres empreses i prof.;20,00;0,00;20,00;0,00;0,00;0,00;20,00
210/9221A/23020;Dietes personal no directiu;1.676,00;0,00;1.676,00;88,57;0,00;88,57;1.587,43
210/9221A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221A/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;9.953,03;9.953,03;0,00;-68,19
210/9221B/12004;Salaris del Grup C2;16.757,16;0,00;16.757,16;17.324,52;17.324,52;0,00;-567,36
210/9221B/12006;Triennis;5.154,12;0,00;5.154,12;3.884,31;3.884,31;0,00;1.269,81
210/9221B/12100;Complement de destí;12.596,04;0,00;12.596,04;12.596,04;12.596,04;0,00;0,00
210/9221B/12101;Complement  específic;22.384,56;0,00;22.384,56;22.384,56;22.384,56;0,00;0,00
210/9221B/12103;Altres complements;10.543,92;0,00;10.543,92;11.845,42;11.845,42;0,00;-1.301,50
210/9221B/15000;Productivitat;3.859,44;0,00;3.859,44;3.859,44;3.859,44;0,00;0,00
210/9221B/16000;Seguretat social;21.492,90;0,00;21.492,90;22.403,80;22.403,80;0,00;-910,90
210/9221B/22199;Altres subministraments;500,00;0,00;500,00;500,00;500,00;0,00;0,00
210/9221B/22201;Comunicacions postals;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/22601;Atencions protocol·làries i representatives;12.000,00;-5.450,00;6.550,00;5.858,20;4.041,35;1.816,85;691,80
210/9221B/2260200;Difusió d'activitats;1.000,00;0,00;1.000,00;104,94;0,00;104,94;895,06
210/9221B/22699;Altres despeses diverses;3.000,00;0,00;3.000,00;255,94;255,94;0,00;2.744,06
210/9221B/22706;Estudis i treballs tècnics;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/22799;Altres treballs realitzats per altres empreses i prof.;1.000,00;0,00;1.000,00;1.127,12;1.127,12;0,00;-127,12
210/9222A/22201;Comunicacions postals;10,00;0,00;10,00;4,03;0,00;4,03;5,97
210/9222A/22601;Atencions protocol·làries i representatives;1.700,00;0,00;1.700,00;1.968,51;1.968,51;0,00;-268,51
