PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
100;9120A;10000;100/9120A/10000;Retribucions bàsiques  ;652.210,60
100;9120A;16000;100/9120A/16000;Seguretat social;195.788,67
100;9120A;23000;100/9120A/23000;Dietes dels membres dels òrgans de govern;232.704,00
100;9120A;48700;100/9120A/48700;Transferències grups municipals;392.280,00
100;9120B;11000;100/9120B/11000;Retribucions bàsiques;81.979,52
100;9120B;16000;100/9120B/16000;Seguretat social;25.331,68
110;9120C;12000;110/9120C/12000;Salaris del Grup A1;14.824,22
110;9120C;12001;110/9120C/12001;Salaris del Grup A2;19.553,40
110;9120C;12004;110/9120C/12004;Salaris del Grup C2;25.387,38
110;9120C;12005;110/9120C/12005;Salaris del Grup E;7.755,44
110;9120C;12006;110/9120C/12006;Triennis;8.921,59
110;9120C;12100;110/9120C/12100;Complement de destí;36.243,48
110;9120C;12101;110/9120C/12101;Complement  específic;70.526,96
110;9120C;12103;110/9120C/12103;Altres complements;25.287,88
110;9120C;15000;110/9120C/15000;Productivitat;869,26
110;9120C;15200;110/9120C/15200;Altres incentius;6.000,00
110;9120C;16000;110/9120C/16000;Seguretat social;51.830,59
110;9120C;22199;110/9120C/22199;Altres subministraments;500,00
110;9120C;22201;110/9120C/22201;Comunicacions postals;9.000,00
110;9120C;22699;110/9120C/22699;Altres despeses diverses;2.098,50
110;9120C;23001;110/9120C/23001;Dietes membres corporació;500,00
110;9120C;23100;110/9120C/23100;Locomoció dels membres dels òrgans de govern;501,00
110;9120C;48300;110/9120C/48300;Subvencions i aportacions institucionals;81.139,00
110;9200F;12003;110/9200F/12003;Salaris del Grup C1;9.983,82
110;9200F;12004;110/9200F/12004;Salaris del Grup C2;8.462,46
110;9200F;12006;110/9200F/12006;Triennis;4.696,44
110;9200F;12100;110/9200F/12100;Complement de destí;10.212,44
110;9200F;12101;110/9200F/12101;Complement  específic;17.208,66
110;9200F;12103;110/9200F/12103;Altres complements;6.090,24
110;9200F;15200;110/9200F/15200;Altres incentius;2.000,00
110;9200F;16000;110/9200F/16000;Seguretat social;14.959,08
110;9200F;2260200;110/9200F/2260200;Difusió d'activitats;1.000,00
110;9200F;22606;110/9200F/22606;Reunions, conferències i cursos;400,00
110;9200F;22799;110/9200F/22799;Altres treballs realitzats per altres empreses i prof.;2.035,50
110;9200F;23010;110/9200F/23010;Dietes del personal directiu;500,00
110;9200F;23020;110/9200F/23020;Dietes personal no directiu;3.500,00
110;9200F;23110;110/9200F/23110;Del personal directiu;500,00
110;9200F;23120;110/9200F/23120;Del personal no directiu;4.000,00
110;9221A;12003;110/9221A/12003;Salaris del Grup C1;9.983,82
110;9221A;12004;110/9221A/12004;Salaris del Grup C2;16.924,92
110;9221A;12005;110/9221A/12005;Salaris del Grup E;7.755,44
110;9221A;12006;110/9221A/12006;Triennis;7.020,90
110;9221A;12100;110/9221A/12100;Complement de destí;17.885,00
110;9221A;12101;110/9221A/12101;Complement  específic;32.007,64
110;9221A;12103;110/9221A/12103;Altres complements;3.845,82
110;9221A;15000;110/9221A/15000;Productivitat;3.898,08
110;9221A;15200;110/9221A/15200;Altres incentius;4.000,00
110;9221A;16000;110/9221A/16000;Seguretat social;26.367,62
110;9221A;20302;110/9221A/20302;Lloguers de maquinària, instal·lacions Departaments;10.000,00
