Districte;Sexe;Any_Naixement;Total;
"1";"D";"1906";"1";
"1";"D";"1909";"1";
"1";"D";"1911";"2";
"1";"D";"1912";"5";
"1";"D";"1913";"7";
"1";"D";"1914";"6";
"1";"D";"1915";"10";
"1";"D";"1916";"16";
"1";"D";"1917";"23";
"1";"D";"1918";"36";
"1";"D";"1919";"44";
"1";"D";"1920";"54";
"1";"D";"1921";"84";
"1";"D";"1922";"100";
"1";"D";"1923";"123";
"1";"D";"1924";"119";
"1";"D";"1925";"142";
"1";"D";"1926";"148";
"1";"D";"1927";"181";
"1";"D";"1928";"188";
"1";"D";"1929";"220";
"1";"D";"1930";"204";
"1";"D";"1931";"225";
"1";"D";"1932";"224";
"1";"D";"1933";"255";
"1";"D";"1934";"226";
"1";"D";"1935";"222";
"1";"D";"1936";"248";
"1";"D";"1937";"205";
"1";"D";"1938";"181";
"1";"D";"1939";"118";
"1";"D";"1940";"253";
"1";"D";"1941";"225";
"1";"D";"1942";"192";
"1";"D";"1943";"239";
"1";"D";"1944";"251";
"1";"D";"1945";"267";
"1";"D";"1946";"267";
"1";"D";"1947";"277";
"1";"D";"1948";"297";
"1";"D";"1949";"288";
"1";"D";"1950";"276";
"1";"D";"1951";"337";
"1";"D";"1952";"288";
"1";"D";"1953";"307";
"1";"D";"1954";"312";
"1";"D";"1955";"316";
"1";"D";"1956";"289";
"1";"D";"1957";"363";
"1";"D";"1958";"372";
"1";"D";"1959";"402";
"1";"D";"1960";"353";
"1";"D";"1961";"381";
"1";"D";"1962";"395";
"1";"D";"1963";"412";
"1";"D";"1964";"466";
"1";"D";"1965";"423";
"1";"D";"1966";"414";
"1";"D";"1967";"436";
"1";"D";"1968";"423";
"1";"D";"1969";"384";
"1";"D";"1970";"455";
"1";"D";"1971";"458";
"1";"D";"1972";"397";
"1";"D";"1973";"476";
"1";"D";"1974";"510";
"1";"D";"1975";"481";
"1";"D";"1976";"481";
"1";"D";"1977";"454";
"1";"D";"1978";"420";
"1";"D";"1979";"423";
"1";"D";"1980";"449";
"1";"D";"1981";"383";
"1";"D";"1982";"352";
"1";"D";"1983";"331";
"1";"D";"1984";"365";
"1";"D";"1985";"328";
"1";"D";"1986";"308";
"1";"D";"1987";"311";
"1";"D";"1988";"248";
"1";"D";"1989";"252";
"1";"D";"1990";"223";
"1";"D";"1991";"218";
"1";"D";"1992";"225";
"1";"D";"1993";"248";
"1";"D";"1994";"227";
"1";"D";"1995";"230";
"1";"D";"1996";"252";
"1";"D";"1997";"248";
"1";"D";"1998";"237";
"1";"D";"1999";"253";
"1";"D";"2000";"250";
"1";"D";"2001";"244";
"1";"D";"2002";"268";
"1";"D";"2003";"291";
"1";"D";"2004";"298";
"1";"D";"2005";"275";
"1";"D";"2006";"306";
"1";"D";"2007";"274";
"1";"D";"2008";"291";
"1";"D";"2009";"281";
"1";"D";"2010";"279";
"1";"D";"2011";"287";
"1";"D";"2012";"287";
"1";"D";"2013";"225";
"1";"H";"1914";"5";
"1";"H";"1915";"2";
"1";"H";"1916";"7";
"1";"H";"1917";"10";
"1";"H";"1918";"12";
"1";"H";"1919";"11";
"1";"H";"1920";"20";
"1";"H";"1921";"22";
"1";"H";"1922";"36";
"1";"H";"1923";"47";
"1";"H";"1924";"58";
"1";"H";"1925";"71";
"1";"H";"1926";"65";
"1";"H";"1927";"86";
"1";"H";"1928";"113";
"1";"H";"1929";"105";
"1";"H";"1930";"122";
"1";"H";"1931";"143";
"1";"H";"1932";"144";
"1";"H";"1933";"157";
"1";"H";"1934";"138";
"1";"H";"1935";"120";
"1";"H";"1936";"145";
"1";"H";"1937";"166";
"1";"H";"1938";"149";
"1";"H";"1939";"107";
"1";"H";"1940";"181";
"1";"H";"1941";"149";
"1";"H";"1942";"162";
"1";"H";"1943";"207";
"1";"H";"1944";"211";
"1";"H";"1945";"223";
"1";"H";"1946";"234";
"1";"H";"1947";"220";
"1";"H";"1948";"283";
"1";"H";"1949";"243";
"1";"H";"1950";"237";
"1";"H";"1951";"263";
"1";"H";"1952";"260";
"1";"H";"1953";"245";
"1";"H";"1954";"279";
"1";"H";"1955";"313";
"1";"H";"1956";"292";
"1";"H";"1957";"301";
"1";"H";"1958";"348";
"1";"H";"1959";"335";
"1";"H";"1960";"334";
"1";"H";"1961";"362";
"1";"H";"1962";"386";
"1";"H";"1963";"379";
"1";"H";"1964";"392";
"1";"H";"1965";"377";
"1";"H";"1966";"363";
"1";"H";"1967";"413";
"1";"H";"1968";"403";
"1";"H";"1969";"382";
"1";"H";"1970";"416";
"1";"H";"1971";"423";
"1";"H";"1972";"512";
"1";"H";"1973";"456";
"1";"H";"1974";"509";
"1";"H";"1975";"448";
"1";"H";"1976";"425";
"1";"H";"1977";"435";
"1";"H";"1978";"426";
"1";"H";"1979";"418";
"1";"H";"1980";"362";
"1";"H";"1981";"332";
"1";"H";"1982";"342";
"1";"H";"1983";"324";
"1";"H";"1984";"343";
"1";"H";"1985";"300";
"1";"H";"1986";"271";
"1";"H";"1987";"252";
"1";"H";"1988";"259";
"1";"H";"1989";"256";
"1";"H";"1990";"274";
"1";"H";"1991";"240";
"1";"H";"1992";"253";
"1";"H";"1993";"263";
"1";"H";"1994";"271";
"1";"H";"1995";"270";
"1";"H";"1996";"256";
"1";"H";"1997";"222";
"1";"H";"1998";"262";
"1";"H";"1999";"222";
