Districte;Sexe;Municipi_Naixement;Provincia_Naixement;Pais_Naixement;Total;
"1";"D";"";"";"ALEMANYA";"45";
"1";"D";"";"";"ALGÈRIA";"6";
"1";"D";"";"";"ANDORRA";"14";
"1";"D";"";"";"ARGENTINA";"153";
"1";"D";"";"";"ARMÈNIA";"6";
"1";"D";"";"";"AUSTRÀLIA";"5";
"1";"D";"";"";"ÀUSTRIA";"4";
"1";"D";"";"";"BANGLA DESH";"1";
"1";"D";"";"";"BÈLGICA";"9";
"1";"D";"";"";"BENÍN";"1";
"1";"D";"";"";"BIELORÚSSIA";"3";
"1";"D";"";"";"BOLÍVIA";"254";
"1";"D";"";"";"BÒSNIA I HERCEGOVINA";"2";
"1";"D";"";"";"BRASIL";"80";
"1";"D";"";"";"BULGÀRIA";"14";
"1";"D";"";"";"BURKINA FASO";"2";
"1";"D";"";"";"CAMERUN";"3";
"1";"D";"";"";"CANADÀ";"2";
"1";"D";"";"";"COLÒMBIA";"156";
"1";"D";"";"";"COREA";"2";
"1";"D";"";"";"COSTA RICA";"2";
"1";"D";"";"";"CROÀCIA";"1";
"1";"D";"";"";"CUBA";"66";
"1";"D";"";"";"DINAMARCA";"3";
"1";"D";"";"";"EGIPTE";"1";
"1";"D";"";"";"EL SALVADOR";"4";
"1";"D";"";"";"EQUADOR";"238";
"1";"D";"";"";"ESLOVÀQUIA";"1";
"1";"D";"";"";"ESTATS UNITS D'AMÈRICA";"16";
"1";"D";"";"";"ESTÒNIA";"1";
"1";"D";"";"";"ETIÒPIA";"2";
"1";"D";"";"";"FILIPINES";"6";
"1";"D";"";"";"FINLÀNDIA";"4";
"1";"D";"";"";"FRANÇA";"89";
"1";"D";"";"";"GÀMBIA";"19";
"1";"D";"";"";"GEÒRGIA";"8";
"1";"D";"";"";"GHANA";"4";
"1";"D";"";"";"GRÈCIA";"3";
"1";"D";"";"";"GUATEMALA";"2";
"1";"D";"";"";"GUINEA";"8";
"1";"D";"";"";"GUINEA EQUATORIAL";"7";
"1";"D";"";"";"HONDURES";"52";
"1";"D";"";"";"HONGRIA";"2";
"1";"D";"";"";"ÍNDIA";"7";
"1";"D";"";"";"IRAN";"2";
"1";"D";"";"";"IRAQ";"3";
"1";"D";"";"";"IRLANDA";"3";
"1";"D";"";"";"ISLÀNDIA";"1";
"1";"D";"";"";"ITÀLIA";"23";
"1";"D";"";"";"JAPÓ";"4";
"1";"D";"";"";"KAZAKHSTAN";"2";
"1";"D";"";"";"KIRGUIZISTAN";"1";
"1";"D";"";"";"LITUÀNIA";"2";
"1";"D";"";"";"MALI";"4";
"1";"D";"";"";"MARROC";"171";
"1";"D";"";"";"MAURITÀNIA";"1";
"1";"D";"";"";"MÈXIC";"50";
"1";"D";"";"";"MOÇAMBIC";"2";
"1";"D";"";"";"MOLDÀVIA";"6";
"1";"D";"";"";"NEPAL";"4";
"1";"D";"";"";"NICARAGUA";"7";
"1";"D";"";"";"NIGÈRIA";"5";
