Districte;Sexe;Nivell_Estudis;Total;
"1";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"43";
"1";"D";"Arquitecte, Enginyer Tècnic";"98";
"1";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"4334";
"1";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"3694";
"1";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"2457";
"1";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"555";
"1";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"1189";
"1";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"1435";
"1";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"3446";
"1";"D";"No sap llegir ni escriure";"147";
"1";"D";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"4753";
"1";"D";"Sense estudis";"5456";
"1";"D";"Títols d'estudis superiors no universitaris";"15";
"1";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"22";
"1";"H";"Arquitecte, Enginyer Tècnic";"453";
"1";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"4294";
"1";"H";"Batxillerat superior. BUP. Batxiller LOGSE.";"3656";
"1";"H";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"1429";
"1";"H";"Doctorat i estudis de post-grau o especialització per a llicenciats";"440";
"1";"H";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"1551";
"1";"H";"FP-1 grau. FP de grau mig. Oficialia industrial";"1497";
"1";"H";"Llicenciat universitari. Arquitecte, Enginyer superior.";"3166";
"1";"H";"No sap llegir ni escriure";"55";
"1";"H";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"3200";
"1";"H";"Sense estudis";"5222";
"1";"H";"Títols d'estudis superiors no universitaris";"12";
"2";"D";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"16";
"2";"D";"Arquitecte, Enginyer Tècnic";"24";
"2";"D";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"2150";
"2";"D";"Batxillerat superior. BUP. Batxiller LOGSE.";"1409";
"2";"D";"Diplomats en escoles universitàries (empresarials, professorat de primària, ATS";"825";
"2";"D";"Doctorat i estudis de post-grau o especialització per a llicenciats";"168";
"2";"D";"FP- 2 grau. FP de grau superior. Mestratge industrial.";"474";
"2";"D";"FP-1 grau. FP de grau mig. Oficialia industrial";"668";
"2";"D";"Llicenciat universitari. Arquitecte, Enginyer superior.";"1029";
"2";"D";"No sap llegir ni escriure";"217";
"2";"D";"Primària incompleta. 5 cursos d'EGB o equivalent o certificat escolaritat o equi";"2727";
"2";"D";"Sense estudis";"2856";
"2";"D";"Títols d'estudis superiors no universitaris";"6";
"2";"H";"Altres titulacions mitjanes (Aux. de clínica, secretariat, programador informàti";"6";
"2";"H";"Arquitecte, Enginyer Tècnic";"128";
"2";"H";"Batxillerat elemental. Graduat escolar. EGB completa. Primària completa. ESO";"2247";
