dc:identifier,dc:modified,rdf:type,callej:sigla,callej:tipo-via,callej:nombre-calle,callej:nombre-largo,callej:nombre-clasif,dc:date,uri
08754,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,AGUEDA,AGUEDA,AGUEDA,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08754.csv
08755,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,ANA,ANA,ANA,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08755.csv
08756,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,CLARA,CLARA,CLARA,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08756.csv
08757,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,INES,INES,INES,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08757.csv
08758,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,IRENE,IRENE,IRENE,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08758.csv
08759,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,LITUCA,LITUCA,LITUCA,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08759.csv
08760,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,NIEVES,NIEVES,NIEVES,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08760.csv
08761,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/PSJ,PASAJE,SILDA,SILDA,SILDA,2006-06-01,http://datos.santander.es/api/datos/callejero_calles/08761.csv
05580,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/SBD,SUBIDA,AL GURUGU,AL GURUGU,GURUGU (AL),,http://datos.santander.es/api/datos/callejero_calles/05580.csv
08826,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/TN,TUNEL,DE TETUAN,DE TETUAN,TETUAN (DE),,http://datos.santander.es/api/datos/callejero_calles/08826.csv
02430,2017-10-30T23:04:57.658Z,callej:Calle,http://datos.santander.es/api/rest/datasets/callejero_tipovia/TRV,TRAVESIA,ISABEL LA CATOLICA,ISABEL LA CATOLICA,ISABEL LA CATOLICA,,http://datos.santander.es/api/datos/callejero_calles/02430.csv
