dc:identifier,ayto:etiqLinea,ayto:fechActual,ayto:tiempo1,ayto:distancia1,ayto:paradaId,ayto:destino1,ayto:tiempo2,ayto:distancia2,ayto:destino2,dc:modified,uri
15,1,2017-10-31T16:54:03.727Z,292,1781,3,ODRIOZOLA,1494,2992,ODRIOZOLA,2017-10-31T16:54:07.741Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/15.csv
6,2,2017-10-31T16:54:03.677Z,849,1849,2,CONSUELO BERGES,2049,3798,CONSUELO BERGES,2017-10-31T16:54:07.741Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/6.csv
7,1,2017-10-31T16:54:03.677Z,204,1372,2,ODRIOZOLA,1406,2716,ODRIOZOLA,2017-10-31T16:54:07.741Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/7.csv
4,2,2017-10-31T16:54:03.647Z,770,1737,1,CONSUELO BERGES,1970,3605,CONSUELO BERGES,2017-10-31T16:54:07.741Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/4.csv
5,1,2017-10-31T16:54:03.647Z,210,1197,1,ODRIOZOLA,1334,2174,ODRIOZOLA,2017-10-31T16:54:07.741Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/5.csv
81,13,2017-10-31T16:54:04.037Z,1666,7087,10,CUETO por el SARDINERO,3424,16422,CUETO por el SARDINERO,2017-10-31T16:54:07.74Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/81.csv
82,12,2017-10-31T16:54:04.037Z,791,4572,10,SAN MARTIN DEL PINO,2497,11192,SAN MARTIN DEL PINO,2017-10-31T16:54:07.74Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/82.csv
83,3,2017-10-31T16:54:04.037Z,358,1827,10,PASEO PEREDA 35,1558,8739,PASEO PEREDA 35,2017-10-31T16:54:07.74Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/83.csv
84,2,2017-10-31T16:54:04.037Z,1524,4222,10,CONSUELO BERGES,2724,6103,CONSUELO BERGES,2017-10-31T16:54:07.74Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/84.csv
85,1,2017-10-31T16:54:04.037Z,975,4098,10,ODRIOZOLA,2153,5412,ODRIOZOLA,2017-10-31T16:54:07.74Z,http://datos.santander.es/api/datos/control_flotas_estimaciones/85.csv
