dc:identifier,dc:modified,ayto:Linea,dc:EtiquetaLinea,ayto:NombreSublinea,ayto:SentidoRuta,ayto:Ruta,ayto:Seccion,ayto:NParada,ayto:NombreParada,ayto:PuntoKM,ayto:PosX,ayto:PosY,uri
102-1-1-1-96-466-1110,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,466,BARRIO LA SIERRA,1110,430646.78125,4812565.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-466-1110.csv
102-1-1-1-96-467-1489,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,467,VICENTE TRUEBA 19,1489,4430790.0,4812465.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-467-1489.csv
102-1-1-1-96-1-1938,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,1,LOS CIRUELOS 47,1938,430890.84375,4812199.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-1-1938.csv
102-1-1-1-96-2-2206,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,2,LOS CIRUELOS 27,2206,431136.40625,4812263.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-2-2206.csv
102-1-1-1-96-3-2562,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,3,JOSE MARIA COSSIO 54,2562,431460.6875,4812345.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-3-2562.csv
102-1-1-1-96-4-2754,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,4,JOSE MARIA COSSIO 33,2754,431647.53125,4812391.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-4-2754.csv
102-1-1-1-96-5-3009,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,5,JOSE MARIA COSSIO 17,3009,431896.5625,4812418.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-5-3009.csv
102-1-1-1-96-6-3186,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,6,JOSE MARIA COSSIO 1,3186,432073.1875,4812419.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-6-3186.csv
102-1-1-1-96-7-3475,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,7,MANUEL LLANO,3475,432051.90625,4812219.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-7-3475.csv
102-1-1-1-96-8-3901,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,8,INSTITUTO TORRES QUEVEDO,3901,432426.96875,4812106.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-8-3901.csv
102-1-1-1-96-9-4529,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,9,VALDECILLA,4529,432950.0,4812158.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-9-4529.csv
102-1-1-1-96-10-4956,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,10,CUATRO CAMINOS,4956,433329.3125,4812294.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-10-4956.csv
102-1-1-1-96-11-5437,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,11,SAN FERNANDO,5437,433779.8125,4812456.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-11-5437.csv
102-1-1-1-96-12-6065,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,12,JESUS DE MONASTERIO 21,6065,434379.78125,4812618.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-12-6065.csv
102-1-1-1-96-13-6276,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,13,AYUNTAMIENTO,6276,434577.3125,4812588.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-13-6276.csv
102-1-1-1-96-14-6567,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,14,CORREOS,6567,434870.125,4812586.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-14-6567.csv
102-1-1-1-96-15-6806,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,15,JARDINES DE PEREDA,6806,435107.84375,4812616.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-15-6806.csv
102-1-1-1-96-16-7307,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,16,PUERTO CHICO,7307,435598.03125,4812655.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-16-7307.csv
102-1-1-1-96-17-7705,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,17,CASTELAR,7705,435957.46875,4812720.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-17-7705.csv
102-1-1-1-96-18-8092,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,18,REINA VICTORIA 18,8092,436336.42,4812785.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-18-8092.csv
102-1-1-1-96-19-8565,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,19,AVENIDA REINA VICTORIA,8565,436788.21875,4812905.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-19-8565.csv
102-1-1-1-96-20-8898,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,20,AVENIDA REINA VICTORIA 38,8898,437053.7,4813101.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-20-8898.csv
102-1-1-1-96-21-9313,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,21,LA MAGDALENA,9313,437299.15625,4813364.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-21-9313.csv
102-1-1-1-96-22-9642,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,22,LUIS MARTINEZ,9642,437134.34375,4813631.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-22-9642.csv
102-1-1-1-96-23-9970,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,23,PLAZA DE ITALIA 3,9970,436842.5,4813757.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-23-9970.csv
102-1-1-1-96-135-11044,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,135,MIRANDA,11044,436392.28125,4813301.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-135-11044.csv
102-1-1-1-96-136-11461,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,136,GENERAL DAVILA 28,11461,435974.0,4813365.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-136-11461.csv
102-1-1-1-96-137-11855,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,137,GENERAL DAVILA 58,11855,435590.125,4813362.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-137-11855.csv
102-1-1-1-96-138-12217,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,138,GENERAL DAVILA 84,12217,435243.90625,4813269.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-138-12217.csv
102-1-1-1-96-139-12515,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,139,GENERAL DAVILA 122,12515,434945.79,4813245.9,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-139-12515.csv
102-1-1-1-96-140-12820,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,140,LOS SALESIANOS,12820,434646.375,4813264.5,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-140-12820.csv
102-1-1-1-96-442-13091,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,442,GENERAL DAVILA 208,13091,434376.0,4813276.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-442-13091.csv
102-1-1-1-96-141-13276,2017-10-31T04:10:00.65Z,102,N2,COMPLEJO DEPORTIVO-CORBAN,1,80,96,141,GENERAL DAVILA 224,13276,434202.5625,4813244.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/102-1-1-1-96-141-13276.csv
