dc:modified,dc:title,dc:description,dc:source,dc:date,uri
2017-10-31T16:32:19.573Z,Trabajadores municipales aprenden lengua de signos para mejorar la atención ciudadana,"El Ayuntamiento y la Asociación de Sordos de Santander y Cantabria imparten este curso\, que consta de 30 horas de formación",http://santander.es/noticia/autonomia-personal/trabajadores-municipales-aprenden-lengua-signos-mejorar-atencion-ciudadana,07-11-2016 12:54,http://datos.santander.es/api/datos/noticias_autonomia_personal/trabajadores-municipales-aprenden-lengua-de-signos-para-mejorar-la-atencion-ciudadana.csv
2017-10-31T16:32:19.568Z,Santander reconoce a una veintena de particulares y asociaciones con los premios SOY CAPAZitado,"Las obras galardonadas se expondrán desde mañana en la sala ‘Ámbito Cultural’ de El Corte Inglés\, que acogerá posteriormente una selección de otros trabajos presentados al certamen",http://santander.es/noticia/autonomia-personal/santander-reconoce-veintena-particulares-asociaciones-premios-soy-capazitado,14-11-2016 17:05,http://datos.santander.es/api/datos/noticias_autonomia_personal/santander-reconoce-a-una-veintena-de-particulares-y-asociaciones-con-los-premios-soy-capazitado.csv
2017-10-31T16:32:19.564Z,Ayuntamiento y Fundación Síndrome de Down promueven la inserción laboral,La alcaldesa y la presidenta de la asociación han firmado un nuevo convenio que da continuidad al programa impulsado por ambas entidades,http://santander.es/autonomia-personal/ayuntamiento-fundacion-sindrome-down-promueven-insercion-laboral,27-11-2016 11:47,http://datos.santander.es/api/datos/noticias_autonomia_personal/ayuntamiento-y-fundacion-sindrome-de-down-promueven-la-insercion-laboral.csv
2017-10-31T16:32:19.56Z,El Ayuntamiento y CERMI renuevan su colaboración para la mejora de la accesibilidad,La alcaldesa y la presidenta de la entidad han firmado un nuevo convenio que establece compromisos para continuar trabajando en la supresión de barreras y fomentar actividades de ocio y tiempo libre dirigidas a las personas con discapacidad,http://santander.es/noticia/ayuntamiento-cermi-renuevan-colaboracion-mejora-accesibilidad,26-11-2016 11:58,http://datos.santander.es/api/datos/noticias_autonomia_personal/el-ayuntamiento-y-cermi-renuevan-su-colaboracion-para-la-mejora-de-la-accesibilidad.csv
2017-10-31T16:32:19.554Z,El Palacio de la Magdalena se dota de un nuevo acceso adaptado para personas con discapacidad,"Los trabajos han supuesto una inversión de casi 40.000 euros y permiten hacer más accesible este espacio\, uno de los recursos turísticos más visitados de la ciudad que alberga además gran cantidad de eventos",http://santander.es/contenido/noticia/palacio-magdalena-se-dota-nuevo-acceso-adaptado-personas-discapacidad,14-03-2017 12:31,http://datos.santander.es/api/datos/noticias_autonomia_personal/el-palacio-de-la-magdalena-se-dota-de-un-nuevo-acceso-adaptado-para-personas-con-discapacidad.csv
2017-10-31T16:32:19.551Z,Seis asociaciones participarán en la nueva edición del programa de Ocio y Cultura,"Las salidas\, dirigidas a personas con discapacidad\, se realizarán durante el mes de abril a distintos puntos de interés cultural y turístico\, o recursos de entretenimiento y tiempo libre",http://santander.es/contenido/noticia/seis-asociaciones-participaran-nueva-edicion-del-programa-ocio-cultura,01-04-2017 10:16,http://datos.santander.es/api/datos/noticias_autonomia_personal/seis-asociaciones-participaran-en-la-nueva-edicion-del-programa-de-ocio-y-cultura.csv
2017-10-31T16:32:19.548Z,Unas 150 personas han participado en la última edición de &#039;Ocio y Cultura para todos&#039;,"Se han realizado seis excursiones a diversos puntos de la región como el nacimiento del Ebro\, el bosque de Secuoyas de Cabezón de la Sal o el Centro de Interpretación del Asón",http://santander.es/contenido/noticia/150-personas-han-participado-ultima-edicion-ocio-cultura-todos,13-05-2017 19:14,http://datos.santander.es/api/datos/noticias_autonomia_personal/unas-150-personas-han-participado-en-la-ultima-edicion-de-039-ocio-y-cultura-para-todos-039-.csv
2017-10-31T16:32:19.373Z,Ayuntamiento y CERMI trabajarán juntos para mejorar la accesibilidad en la ciudad,"Con este objetivo\, la alcaldesa y la presidenta de la entidad\, Mar Arruti\, han firmado un convenio de colaboración\, dotado con una subvención municipal de 10.000 euros ",http://santander.es/contenido/noticia/ayuntamiento-cermi-trabajaran-juntos-mejorar-accesibilidad-ciudad,27-08-2017 17:05,http://datos.santander.es/api/datos/noticias_autonomia_personal/ayuntamiento-y-cermi-trabajaran-juntos-para-mejorar-la-accesibilidad-en-la-ciudad.csv
2017-10-31T16:32:19.362Z,El Ayuntamiento cede una parcela a AMPROS para construir un nuevo centro de día y una residencia,"La asociación invertirá 3 millones de euros en estas nuevas instalaciones\, que se ubicarán en El Alisal\, en un terreno de 3.550 metros cuadrados\n",http://santander.es/noticia/ayuntamiento-cede-parcela-ampros-construir-nuevo-centro-dia-residencia,20-09-2017 15:52,http://datos.santander.es/api/datos/noticias_autonomia_personal/el-ayuntamiento-cede-una-parcela-a-ampros-para-construir-un-nuevo-centro-de-dia-y-una-residencia.csv
2017-10-31T16:32:19.359Z,Más de 160 personas con discapacidad visitarán Cabárceno con el programa Ocio y Cultura,"Durante el mes de noviembre\, el Ayuntamiento ofrecerá seis excursiones gratuitas que incluirán el viaje de ida y vuelta\, entrada al parque y seguro de viaje  ",http://santander.es/noticia/mas-160-personas-discapacidad-visitaran-cabarceno-programa-ocio-cultura,24-10-2017 12:42,http://datos.santander.es/api/datos/noticias_autonomia_personal/mas-de-160-personas-con-discapacidad-visitaran-cabarceno-con-el-programa-ocio-y-cultura.csv
