dc:identifier,dc:modified,ayto:parada,ayto:numero,gn:coordX,gn:coordY,wgs84_pos:lat,wgs84_pos:long,vivo:address1,ayto:sentido,uri
42064,2017-10-30T23:20:00.223Z,Ortega y Gasset.28,500,430744.13,4810658.9,43.44375026592359,-3.8571753633683796,Ortega y Gasset.28,Centro,http://datos.santander.es/api/datos/paradas_bus/42064.csv
50693,2017-10-30T23:20:00.223Z,Avenida de Cantabria nº 35,505,434901.67,4814192.02,43.47593386282703,-3.8062240806383896,Avenida de Cantabria nº 35,Puertochico,http://datos.santander.es/api/datos/paradas_bus/50693.csv
50694,2017-10-30T23:20:00.223Z,Avenida de Cantabria nº 76,506,434868.33,4814190.43,43.47591664260901,-3.806636083030331,Avenida de Cantabria nº 76,Albericia,http://datos.santander.es/api/datos/paradas_bus/50694.csv
27853,2017-10-30T23:20:00.222Z,Ojaiz 89,446,428443.6,4810351,43.440761683356854,-3.8855615104988055,Ojaiz 89,Ojaiz,http://datos.santander.es/api/datos/paradas_bus/27853.csv
29519,2017-10-30T23:20:00.222Z,General Davila. 77,470,434429.06,4813260.58,43.467506389373405,-3.8119549066586558,General Davila. 77,Alto de Miranda,http://datos.santander.es/api/datos/paradas_bus/29519.csv
29520,2017-10-30T23:20:00.222Z,Calle Arriba Fte . 103,471,434748.01,4814533.04,43.47899081372329,-3.808164713857812,Calle Arriba Fte . 103,Lluja,http://datos.santander.es/api/datos/paradas_bus/29520.csv
29521,2017-10-30T23:20:00.222Z,Ricardo Leon,473,431429.33,4811975.58,43.45566794936998,-3.848874267092121,Ricardo Leon,LLuja - Cueto,http://datos.santander.es/api/datos/paradas_bus/29521.csv
30589,2017-10-30T23:20:00.222Z,Marques de Hazas - 1,479,434829.58,4814282.99,43.47674662282613,-3.8071262443397753,C/ Marques de Hazas,Monte,http://datos.santander.es/api/datos/paradas_bus/30589.csv
30590,2017-10-30T23:20:00.222Z,Marques de Hazas - 2,480,434828.59,4814297.28,43.476875195606866,-3.807140195361195,C/ Marques de Hazas,Las Estaciones,http://datos.santander.es/api/datos/paradas_bus/30590.csv
30597,2017-10-30T23:20:00.222Z,Jeronimo Sainz de la Maza ( Mercado Mexico ),481,433258.82,4812216.52,43.458002727560945,-3.8262929362908453,C/ Jeronimo Sainz de la Maza,Valdecilla,http://datos.santander.es/api/datos/paradas_bus/30597.csv
28284,2017-10-30T23:20:00.222Z,La Pereda,463,435031.38,4814426.15,43.47805312555713,-3.8046483849416797,C/ La Pereda,Bº La Torre,http://datos.santander.es/api/datos/paradas_bus/28284.csv
41658,2017-10-30T23:20:00.222Z,C/ Adarzo.48,490,430280.58,4811722.26,43.45328102335236,-3.8630392699566842,C/ Adarzo. 48,Lluja,http://datos.santander.es/api/datos/paradas_bus/41658.csv
42063,2017-10-30T23:20:00.222Z,Camarreal Peñacastillo,499,429986.36,4811045.72,43.44716242117678,-3.866588480444409,Avda severo Ochoa,Centro,http://datos.santander.es/api/datos/paradas_bus/42063.csv
34897,2017-10-30T23:20:00.221Z,Pctcan - 2,486,429594.59,4811685.3,43.45288400701219,-3.871512297660159,Avda Severo Ochoa,Lluja,http://datos.santander.es/api/datos/paradas_bus/34897.csv
42035,2017-10-30T23:20:00.221Z,Centro de Salud Nueva Montaña,492,430882.9,4810226.7,43.439871835691996,-3.855405851731732,Carmen Bravo Villasante,Centro,http://datos.santander.es/api/datos/paradas_bus/42035.csv
42036,2017-10-30T23:20:00.221Z,Gertrudis Gomez de Avellaneda,493,431031.6,4810089.12,43.43864686839228,-3.8535511421044575,Gertrudis Gomez de Avellaneda,Centro,http://datos.santander.es/api/datos/paradas_bus/42036.csv
42037,2017-10-30T23:20:00.221Z,Eusebio Santamaria.1,494,431214.96,4810372.49,43.441215035723104,-3.851321369429373,Eusebio Santamaria.1,Centro,http://datos.santander.es/api/datos/paradas_bus/42037.csv
42038,2017-10-30T23:20:00.221Z,Eusebio Santamaria.2,495,431198.55,4810377.51,43.441258724154714,-3.851524766370175,Eusebio Santamaria.2,Centro,http://datos.santander.es/api/datos/paradas_bus/42038.csv
42039,2017-10-30T23:20:00.221Z,Eusebio Santamaria,496,431056.73,4810106.58,43.438806383097365,-3.8532428540851553,Eusebio Santamaria s/n,Carrefour,http://datos.santander.es/api/datos/paradas_bus/42039.csv
42040,2017-10-30T23:20:00.221Z,Carmen Bravo Villasante,497,430885.55,4810202.89,43.43965770984218,-3.85537009105759,Carmen Bravo Villasante s/n,Carrefour,http://datos.santander.es/api/datos/paradas_bus/42040.csv
27847,2017-10-30T23:20:00.221Z,El Mazo S/N,443,429880.26,4813212.99,43.46666512750817,-3.86817851181443,Corban,Las Estaciones,http://datos.santander.es/api/datos/paradas_bus/27847.csv
27852,2017-10-30T23:20:00.221Z,Ojaiz 166,447,428421.5,4810362,43.44085860625788,-3.8858360196020816,Ojaiz 166,Ojaiz,http://datos.santander.es/api/datos/paradas_bus/27852.csv
29511,2017-10-30T23:20:00.22Z,Bº La Sierra,466,430643.78,4812565.33,43.460905242460115,-3.8586579772490195,Bº La Sierra,Consuelo Berges,http://datos.santander.es/api/datos/paradas_bus/29511.csv
29512,2017-10-30T23:20:00.22Z,Vicente Trueba,467,430790,4812465,43.460015483585174,-3.8568379382318847,Vicente Trueba,Consuelo Berges,http://datos.santander.es/api/datos/paradas_bus/29512.csv
29514,2017-10-30T23:20:00.22Z,Vicente Trueba,468,430801,4812461,43.45998048813603,-3.856701471143607,Avenida de Vicente Trueba,Corban,http://datos.santander.es/api/datos/paradas_bus/29514.csv
29515,2017-10-30T23:20:00.22Z,Bº La Sierra nº 10,469,430700.4,4812610.31,43.461315462100224,-3.857963871869228,Bº La Sierra nº 10,Corban,http://datos.santander.es/api/datos/paradas_bus/29515.csv
41659,2017-10-30T23:20:00.219Z,C/ Adarzo.117,491,430295.92,4811715.91,43.45322528174538,-3.862848878099827,C/ adarzo . 117,Cueto,http://datos.santander.es/api/datos/paradas_bus/41659.csv
42041,2017-10-30T23:20:00.219Z,Carmen Bravo Villasante.1,498,431053.56,4810521.18,43.442538895911696,-3.8533344443100264,Carmen Bravo Villasante.1,Carrefour,http://datos.santander.es/api/datos/paradas_bus/42041.csv
50669,2017-10-30T23:20:00.219Z,Tetuan . 41,504,435915.29,4813077.82,43.46598979279549,-3.793561195733062,C/ Tetuan,Puertochico,http://datos.santander.es/api/datos/paradas_bus/50669.csv
50836,2017-10-30T23:20:00.219Z,Virgen del Mar,507,429134.14,4814193.03,43.47541835800871,-3.8775290153310893,C/ Virgen del Mar,Estaciones,http://datos.santander.es/api/datos/paradas_bus/50836.csv
51025,2017-10-30T23:20:00.219Z,Calle Rucandial,508,429993.42,4811879.78,43.45467240841975,-3.866608375322345,C/ Rucandial s/n,Lluja,http://datos.santander.es/api/datos/paradas_bus/51025.csv
26398,2017-10-30T23:20:00.219Z,Campo de Futbol,453,436187.69,4814251.57,43.47658093036815,-3.7903315557106905,Avenida de Pontejos,Alisal,http://datos.santander.es/api/datos/paradas_bus/26398.csv
26414,2017-10-30T23:20:00.219Z,Pctcan - 1,454,429706.9,4811675,43.452801835162845,-3.8701229961950556,Pctcan,Valdenoja,http://datos.santander.es/api/datos/paradas_bus/26414.csv
26416,2017-10-30T23:20:00.219Z,Adarzo,455,430062.6,4811870,43.454590827509264,-3.865752139138853,Joaquin Rodrigo,Pctcan,http://datos.santander.es/api/datos/paradas_bus/26416.csv
27854,2017-10-30T23:20:00.219Z,Valdecilla Sur,448,433142,4811851,43.45470136191628,-3.827691928994386,Jeronimo Sainz de la Maza,Carrefour,http://datos.santander.es/api/datos/paradas_bus/27854.csv
27855,2017-10-30T23:20:00.219Z,Valdecilla Sur,449,433159.7,4811840,43.45460390621078,-3.8274718267970034,Jeronimo Sainz de la Maza,Puertochico,http://datos.santander.es/api/datos/paradas_bus/27855.csv
27860,2017-10-30T23:20:00.219Z,Hermanos Calderon,451,430952.7,4810525.9,43.44257209182277,-3.854581304043007,Hermanos Calderon,San Martin,http://datos.santander.es/api/datos/paradas_bus/27860.csv
27861,2017-10-30T23:20:00.219Z,Cervantes 29,456,434489.52,4812852.88,43.463840985157354,-3.811158479288463,Cervantes 29,Miranda,http://datos.santander.es/api/datos/paradas_bus/27861.csv
29510,2017-10-30T23:20:00.219Z,Avenida del Deporte . 9,465,431437.01,4812565.2,43.4609772211122,-3.848853555513574,Avenida del Deporte . 9,Estaciones,http://datos.santander.es/api/datos/paradas_bus/29510.csv
31907,2017-10-30T23:20:00.218Z,Jose Ortega y Gasset - 2,477,430278.01,4810933.95,43.446183351964635,-3.8629701883836987,Jose Ortega y Gasset,Camarreal - Peñacastillo,http://datos.santander.es/api/datos/paradas_bus/31907.csv
27862,2017-10-30T23:20:00.218Z,Calle del Monte 12,457,434240.42,4812863.5,43.46391473486838,-3.8142388422604183,Calle del Monte 12,Plaza de los Remedios,http://datos.santander.es/api/datos/paradas_bus/27862.csv
