dc:identifier,dc:modified,ayto:tipo,ayto:modelo,ayto:servicio,uri
15435649,2017-10-31T01:22:06.81Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435649.csv
15435648,2017-10-31T01:22:06.81Z,Decapadora - Fregadora,W350H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435648.csv
15435647,2017-10-31T01:22:06.81Z,Decapadora - Fregadora,W350H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435647.csv
15435646,2017-10-31T01:22:06.81Z,Decapadora - Fregadora,W350H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435646.csv
15435645,2017-10-31T01:22:06.81Z,Baldeadora de acera,W200H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435645.csv
15435644,2017-10-31T01:22:06.81Z,Baldeadora de acera,W200H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435644.csv
15435643,2017-10-31T01:22:06.81Z,Baldeadora de acera,W200H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435643.csv
15435642,2017-10-31T01:22:06.81Z,Baldeadora de acera,W200H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435642.csv
15435641,2017-10-31T01:22:06.81Z,Baldeadora de acera,W200H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435641.csv
15435640,2017-10-31T01:22:06.81Z,Baldeadora de acera,W200H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435640.csv
15435639,2017-10-31T01:22:06.81Z,Barredora de acera,B400H,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435639.csv
15435638,2017-10-31T01:22:06.81Z,Barredora de acera,850 mini,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435638.csv
15435637,2017-10-31T01:22:06.81Z,Barredora de acera,850 mini,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435637.csv
15435636,2017-10-31T01:22:06.81Z,Barredora de acera,850 mini,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435636.csv
15435635,2017-10-31T01:22:06.81Z,Barredora de acera,B400H,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435635.csv
15435634,2017-10-31T01:22:06.81Z,Barredora de acera,850 mini,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435634.csv
15435633,2017-10-31T01:22:06.81Z,Recolector,TGM 18.290,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435633.csv
15435632,2017-10-31T01:22:06.81Z,Recolector,TGM 18.290,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435632.csv
15435631,2017-10-31T01:22:06.81Z,Baldeadora de acera,W200H,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435631.csv
15435677,2017-10-31T01:22:06.809Z,Furgón,Transit,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435677.csv
15435676,2017-10-31T01:22:06.809Z,Furgón,Transit,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435676.csv
15435675,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435675.csv
15435674,2017-10-31T01:22:06.809Z,"Equipo Mixto Succión Impulsión ",Equipo Mixto Succión Impulsión,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435674.csv
15435673,2017-10-31T01:22:06.809Z,Barredora de acera,B200H,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435673.csv
15435672,2017-10-31T01:22:06.809Z,Barredora de acera,B200H,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435672.csv
15435671,2017-10-31T01:22:06.809Z,Barredora de acera,B200H,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435671.csv
15435670,2017-10-31T01:22:06.809Z,Succionadora,Equipo Mixto Succión Impulsión VEAP,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435670.csv
15435669,2017-10-31T01:22:06.809Z,Lavacontenedores,Lavacontenedores OMB,Limpieza contenedores,http://datos.santander.es/api/datos/residuos_vehiculos/15435669.csv
15435668,2017-10-31T01:22:06.809Z,Barredora de acera,Swingo 200 plus,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435668.csv
15435667,2017-10-31T01:22:06.809Z,Barredora de acera,Swingo 200 plus,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435667.csv
15435666,2017-10-31T01:22:06.809Z,Barredora de acera,Swingo 200 plus,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435666.csv
15435665,2017-10-31T01:22:06.809Z,Baldeadora de acera,3t5,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435665.csv
15435664,2017-10-31T01:22:06.809Z,Recolector,ROS ROCA 2554,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435664.csv
15435663,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435663.csv
15435662,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435662.csv
15435661,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435661.csv
15435660,2017-10-31T01:22:06.809Z,Baldeadora de acera,3t5,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435660.csv
15435659,2017-10-31T01:22:06.809Z,Recolector,TGM 18.290,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435659.csv
15435658,2017-10-31T01:22:06.809Z,Furgoneta,GEESINK,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435658.csv
15435657,2017-10-31T01:22:06.809Z,Barredora de acera,SOMA FICO,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435657.csv
15435656,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435656.csv
15435655,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435655.csv
15435654,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435654.csv
15435653,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435653.csv
15435652,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435652.csv
15435651,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435651.csv
15435650,2017-10-31T01:22:06.809Z,Furgoneta,PORTER ELECTRIC S9E,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435650.csv
15435706,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435706.csv
15435705,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435705.csv
15435704,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435704.csv
15435703,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435703.csv
15435702,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435702.csv
15435701,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435701.csv
15435700,2017-10-31T01:22:06.808Z,Baldeadora de acera,3t5,Baldeadora,http://datos.santander.es/api/datos/residuos_vehiculos/15435700.csv
15435699,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435699.csv
15435698,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435698.csv
15435697,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435697.csv
15435696,2017-10-31T01:22:06.808Z,Barredora de Calzada,TGM 15 2504x2 BB - SCHMIDT,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435696.csv
15435695,2017-10-31T01:22:06.808Z,Recolector,AMS CL1 - Carga Lateral,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435695.csv
15435694,2017-10-31T01:22:06.808Z,Caja basculante y grua,MAN TGM - CCA PLAT GRUA 18,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435694.csv
15435693,2017-10-31T01:22:06.808Z,Furgón - Reparación contenedores,Transit,Otros,http://datos.santander.es/api/datos/residuos_vehiculos/15435693.csv
15435692,2017-10-31T01:22:06.808Z,Recolector,MAN TGS - Recolector trasero,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435692.csv
15435691,2017-10-31T01:22:06.808Z,Recolector,MAN TGS - Recolector trasero,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435691.csv
15435690,2017-10-31T01:22:06.808Z,Compactador con gancho grúa,Compactador Multilift,Recogida,http://datos.santander.es/api/datos/residuos_vehiculos/15435690.csv
15435689,2017-10-31T01:22:06.808Z,Barredora de acera,UNIECO Eléctrica 360,Barredora,http://datos.santander.es/api/datos/residuos_vehiculos/15435689.csv
15435688,2017-10-31T01:22:06.808Z,Lavacontenedores,Lavacontenedores OMB,Limpieza contenedores,http://datos.santander.es/api/datos/residuos_vehiculos/15435688.csv
