dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
488,2017-10-31T17:56:01Z,environment,43.46467,-3.80619,-48.51,73.0,172.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/488.csv
424,2017-10-31T17:56:01Z,environment,43.4615,-3.8093,,82.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/424.csv
415,2017-10-31T17:55:55Z,environment,43.46133,-3.80822,14.12,82.0,35.33,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/415.csv
215,2017-10-31T17:55:51Z,environment,43.46287,-3.81365,14.77,73.0,0.81,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/215.csv
514,2017-10-31T17:55:49Z,environment,43.464,-3.80939,-24.83,72.0,0.21,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/514.csv
481,2017-10-31T17:55:47Z,environment,43.46477,-3.8081,,69.0,,52.5,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/481.csv
223,2017-10-31T17:55:47Z,environment,43.46222,-3.81364,15.16,68.0,16.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/223.csv
329,2017-10-31T17:55:45Z,environment,43.46439,-3.80793,14.06,69.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/329.csv
737,2017-10-31T17:55:45Z,environment,43.45487,-3.81289,,71.0,,63.5,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/737.csv
497,2017-10-31T17:55:45Z,environment,43.46439,-3.80661,14.51,69.0,18.52,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/497.csv
207,2017-10-31T17:55:38Z,environment,43.46128,-3.80852,,81.0,,70.9,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/207.csv
432,2017-10-31T17:55:37Z,environment,43.46305,-3.81442,14.64,68.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/432.csv
686,2017-10-31T17:55:33Z,environment,43.46056,-3.81936,13.67,72.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/686.csv
351,2017-10-31T17:55:31Z,environment,43.4631,-3.80938,15.22,73.0,6.72,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/351.csv
205,2017-10-31T17:55:29Z,environment,43.46157,-3.80849,15.74,81.0,3.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/205.csv
217,2017-10-31T17:55:29Z,environment,43.46258,-3.81339,13.22,71.0,16.14,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/217.csv
214,2017-10-31T17:55:27Z,environment,43.46311,-3.81368,15.41,76.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/214.csv
357,2017-10-31T17:55:25Z,environment,43.46323,-3.80882,,69.0,,50.2,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/357.csv
673,2017-10-31T17:55:24Z,environment,43.45943,-3.82223,14.96,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/673.csv
735,2017-10-31T17:55:23Z,environment,43.45536,-3.81187,,71.0,,54.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/735.csv
613,2017-10-31T17:55:17Z,environment,43.4566,-3.81069,-47.54,68.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/613.csv
742,2017-10-31T17:55:17Z,environment,43.46078,-3.81848,,72.0,,63.3,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/742.csv
606,2017-10-31T17:55:13Z,environment,43.45397,-3.81316,15.61,75.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/606.csv
623,2017-10-31T17:55:08Z,environment,43.45733,-3.80973,-42.58,54.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/623.csv
421,2017-10-31T17:55:06Z,environment,43.4615,-3.80862,13.29,78.0,0.64,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/421.csv
506,2017-10-31T17:55:06Z,environment,43.46385,-3.80545,15.09,71.0,2.37,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/506.csv
338,2017-10-31T17:55:04Z,environment,43.46365,-3.80696,14.51,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/338.csv
498,2017-10-31T17:55:04Z,environment,43.46434,-3.80725,,74.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/498.csv
486,2017-10-31T17:55:03Z,environment,43.46485,-3.80559,,69.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/486.csv
429,2017-10-31T17:55:03Z,environment,43.46168,-3.81093,,71.0,,71.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/429.csv
736,2017-10-31T17:55:02Z,environment,43.45466,-3.81251,,72.0,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/736.csv
