dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:NO2,ayto:ozone,ayto:odometer,ayto:altitude,ayto:temperature,ayto:CO,ayto:particles,ayto:course,ayto:speed,uri
3006,2017-10-31T17:56:59Z,mobile,43.4636,-3.78811,115.0,15.0,,11.0,14.0,0.1,0.32,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3006.csv
3029,2017-10-31T17:56:59Z,mobile,43.4616,-3.80964,999.0,999.0,,24.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3029.csv
3054,2017-10-31T17:56:59Z,mobile,43.4616,-3.80691,116.0,120.0,,3.0,14.5,0.1,0.1,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3054.csv
3038,2017-10-31T17:56:54Z,mobile,43.4554,-3.83317,114.0,15.0,,16.0,12.2,0.2,0.0,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3038.csv
3070,2017-10-31T17:56:54Z,mobile,43.4619,-3.80368,999.0,999.0,,0.0,200.0,99.9,0.99,,32,http://datos.santander.es/api/datos/sensores_smart_mobile/3070.csv
3059,2017-10-31T17:56:49Z,mobile,43.4603,-3.81994,115.0,82.0,,10.0,13.5,0.1,0.63,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3059.csv
3077,2017-10-31T17:56:49Z,mobile,43.4621,-3.80167,115.0,120.0,,1.0,14.8,0.1,0.37,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3077.csv
3071,2017-10-31T17:56:39Z,mobile,43.4554,-3.83435,999.0,999.0,,12.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3071.csv
3075,2017-10-31T17:56:39Z,mobile,43.4745,-3.81126,999.0,999.0,,35.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3075.csv
3010,2017-10-31T17:56:34Z,mobile,43.4554,-3.83333,999.0,999.0,,15.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3010.csv
3032,2017-10-31T17:56:34Z,mobile,43.4605,-3.81924,28.0,4.0,,17.0,14.3,0.2,0.07,,37,http://datos.santander.es/api/datos/sensores_smart_mobile/3032.csv
3005,2017-10-31T17:56:34Z,mobile,43.4636,-3.78768,114.0,41.0,,14.0,14.5,0.1,0.99,,8,http://datos.santander.es/api/datos/sensores_smart_mobile/3005.csv
3102,2017-10-31T17:56:34Z,mobile,43.4645,-3.83524,91.0,38.0,,0.0,24.8,0.2,0.53,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3102.csv
3055,2017-10-31T17:56:24Z,mobile,43.4638,-3.82252,114.0,63.0,,64.0,15.5,0.1,0.58,,4,http://datos.santander.es/api/datos/sensores_smart_mobile/3055.csv
3122,2017-10-31T17:56:24Z,mobile,43.3912,-3.90861,82.0,31.0,,165.0,22.2,0.2,0.5,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3122.csv
3068,2017-10-31T17:56:24Z,mobile,43.4553,-3.83369,83.0,70.0,,9.0,17.0,0.1,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3068.csv
3123,2017-10-31T17:56:24Z,mobile,43.4642,-3.53964,115.0,120.0,,26.0,22.0,0.1,0.03,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3123.csv
3001,2017-10-31T17:56:19Z,mobile,43.4636,-3.78831,116.0,120.0,,17.0,14.9,0.1,0.58,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3001.csv
3022,2017-10-31T17:56:19Z,mobile,43.4555,-3.86291,114.0,26.0,,36.0,15.0,0.1,0.15,,17,http://datos.santander.es/api/datos/sensores_smart_mobile/3022.csv
3020,2017-10-31T17:56:14Z,mobile,43.4513,-3.87705,116.0,22.0,,34.0,14.0,0.1,0.05,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3020.csv
3078,2017-10-31T17:56:13Z,mobile,43.4554,-3.83335,115.0,121.0,,16.0,15.5,0.1,0.37,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3078.csv
3042,2017-10-31T17:56:13Z,mobile,43.4554,-3.83346,864.0,327.0,,14.0,17.2,11.5,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3042.csv
3007,2017-10-31T17:56:13Z,mobile,43.4399,-3.84197,103.0,13.0,,-1.0,16.0,0.1,0.09,,20,http://datos.santander.es/api/datos/sensores_smart_mobile/3007.csv
3019,2017-10-31T17:56:08Z,mobile,43.4553,-3.83342,108.0,116.0,,14.0,13.3,0.1,-0.03,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3019.csv
3058,2017-10-31T17:56:08Z,mobile,43.4555,-3.83321,59.0,121.0,,14.0,14.9,0.3,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3058.csv
3119,2017-10-31T17:56:03Z,mobile,43.3525,-3.94624,116.0,15.0,,43.0,24.5,0.1,0.65,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3119.csv
3004,2017-10-31T17:56:03Z,mobile,43.4588,-3.82544,999.0,999.0,,33.0,200.0,99.9,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3004.csv
3047,2017-10-31T17:56:03Z,mobile,43.4598,-3.82172,115.0,120.0,,18.0,16.0,0.1,0.03,,26,http://datos.santander.es/api/datos/sensores_smart_mobile/3047.csv
3026,2017-10-31T17:56:03Z,mobile,43.4412,-3.84939,114.0,27.0,,9.0,14.6,0.1,0.05,,40,http://datos.santander.es/api/datos/sensores_smart_mobile/3026.csv
3003,2017-10-31T17:55:53Z,mobile,43.4604,-3.81973,999.0,999.0,,0.0,200.0,99.9,0.99,,28,http://datos.santander.es/api/datos/sensores_smart_mobile/3003.csv
3107,2017-10-31T17:55:43Z,mobile,43.4646,-3.83531,110.0,26.0,,28.0,25.0,0.2,0.67,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3107.csv
3052,2017-10-31T17:55:43Z,mobile,43.4678,-3.78777,115.0,121.0,,50.0,15.7,0.1,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3052.csv
3152,2017-10-31T17:55:43Z,mobile,43.4594,-3.81118,91.0,9.0,,0.0,43.1,66.6,0.99,,0,http://datos.santander.es/api/datos/sensores_smart_mobile/3152.csv
3021,2017-10-31T17:55:38Z,mobile,43.4636,-3.78783,114.0,119.0,,29.0,15.9,0.1,0.06,,11,http://datos.santander.es/api/datos/sensores_smart_mobile/3021.csv
3092,2017-10-31T17:55:33Z,mobile,43.4673,-3.8063,999.0,999.0,,74.0,200.0,99.9,0.99,,11,http://datos.santander.es/api/datos/sensores_smart_mobile/3092.csv
