dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3860,2017-10-31T17:56:05Z,parking,43.464473,-3.798218,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3860.csv
3775,2017-10-31T17:56:05Z,parking,43.462951,-3.798361,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3775.csv
3776,2017-10-31T17:55:59Z,parking,43.462913,-3.798354,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3776.csv
3690,2017-10-31T17:55:51Z,parking,43.46352,-3.797845,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3690.csv
3600,2017-10-31T17:55:44Z,parking,43.463046,-3.799029,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3600.csv
3686,2017-10-31T17:55:18Z,parking,43.463489,-3.79818,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3686.csv
3871,2017-10-31T17:55:14Z,parking,43.464603,-3.797393,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3871.csv
3890,2017-10-31T17:54:46Z,parking,43.464698,-3.797079,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3890.csv
3888,2017-10-31T17:54:26Z,parking,43.464681,-3.797204,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3888.csv
3689,2017-10-31T17:54:09Z,parking,43.463514,-3.797903,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3689.csv
3684,2017-10-31T17:53:49Z,parking,43.463473,-3.798286,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3684.csv
3836,2017-10-31T17:52:32Z,parking,43.46388,-3.798749,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3836.csv
3794,2017-10-31T17:52:30Z,parking,43.463476,-3.799647,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3794.csv
3607,2017-10-31T17:52:14Z,parking,43.463084,-3.79862,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3607.csv
3632,2017-10-31T17:52:05Z,parking,43.463131,-3.801096,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3632.csv
