dc:identifier,dc:modified,dc:titulo,dc:es_servicio_online,dc:extracto_resumen,dc:tramite_online,dc:enlace,dc:es_servicio_presencial,dc:tramite_presencial,dc:es_servicio_telefonico,dc:tramite_telefonico,dc:telefonos_contacto,dc:dirigido_a,dc:como_se_realiza_solicita,dc:plazos_solicitud,dc:normativa_procedimientos_reguladores,dc:preguntas_frecuentes,dc:objetivos,dc:adjuntos,dc:adjuntos_documentacion,dc:enlaces,dc:impresos,dc:registro_general,dc:para_personas,dc:urbanismo_ciudad,dc:tributos_negocios,dc:servicio_municipal,dc:impuesto,dc:autoliquidaciones,dc:tipo_tramite,uri
3675,2017-10-31T01:23:13.17Z,Alta en Padrón de Habitantes,false,"<p>Mediante este tramite\, un Ciudadano podrá inscribirse en el Padrón Municipal del Ayuntamiento de Santander.</p>\n",,,true,"<p>Para realizar este tramite deberá personarse  en la oficina de Padrón\, ubicada en calle los Escalantes Nº3\, 2ª planta\, en horario de oficina\, y presentar la siguiente documentación:</p>\n<ul><li><strong>Hoja padronal </strong>debidamente cumplimentada y firmada por todas las personas mayores de edad que se empadronan\, así como en el caso de menores e incapacitados debe firmar la persona que les represente.</li>\n<li><strong>Documento que acredite la identidad de las personas </strong>(original y fotocopia de los mismos):\n<ul><li>Documento Nacional de Identidad\, en el caso de extranjeros Tarjeta de Residencia\, Pasaporte en vigor\, etc.</li>\n<li>Los menores que no dispongan del DNI libro de familia\, en el supuesto de separación o divorcio copia de resolución judicial de la guarda y custodia del menor\, igualmente si se trata de tutela\, acogimiento\, etc.</li>\n</ul></li>\n<li><strong>Documento que acredite la ocupación de la vivienda </strong>(original y fotocopia de los mismos):\n<ul><li>Si es <u>propietario </u>uno de estos documentos: recibo expedido por compañía suministradora de agua\,  electricidad o  teléfono\, cédula de habitabilidad\, escritura de propiedad donde se detalle  correctamente  la  dirección  y nombre.</li>\n<li>Si es <u>arrendatario </u>contrato de alquiler en vigor.</li>\n<li>En el caso de que se empadrone en un <u>domicilio que no es de su propiedad ni alquilado por la persona a empadronarse</u>\, debe presentar una autorización firmada junto con la fotocopia del documento de identidad de la persona que autoriza y los documentos anteriormente señalados bien como propietario o arrendatario de la vivienda a ocupar.</li>\n</ul></li>\n</ul><p> </p>\n<p>Nota: Puede obtener instrucciones mas detalladas en la documentación anexa a este trámite.</p>\n",false,,,,,,,,,"https://sede.santander.es/sites/sede.santander.es/files/instrucciones_cumplimentacion_hoja.pdf\, https://sede.santander.es/sites/sede.santander.es/files/documentos_para_empadronarse_y_cambio_domicilio_0.pdf",,,"https://sede.santander.es/sites/sede.santander.es/files/hoja_de_inscripcion_padronal_0.pdf\, https://sede.santander.es/sites/sede.santander.es/files/autorizacion_empadronamiento_en_domicilio_interactiva_1.pdf",,"Alta\, baja y modificación de datos en el Padrón de Habitante",,,Estadística,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3675.csv
3663,2017-10-31T01:23:13.17Z,Tarjeta de autobus municipal para familias numerosas,false,<p>Esta tarjeta ofrece viajes ilimitados a miembros de familias numerosas.</p>\n,,,true,,false,,,Miembros de familias numerosas empadronados en Santander.,"Acudir a la Oficina de Atención ciudadana del Ayuntamiento y solicitar el impreso&nbsp;correspondiente.Hay que rellenar la solicitud y adjuntar fotocopia de la tarjeta de familia numerosa y&nbsp;fotos tamaño carné de los mayores de 4 años que quieran tarjeta. Las tarjetas se&nbsp;entregan en la oficina de Atención al Cliente de TUS en el&nbsp;plazo de una semana desde&nbsp;que se presenta la solicitud en el Ayuntamiento.El coste de adquisición de cada tarjeta es de 1\,20&euro;.Los requisitos para obtener dicha tarjeta son:Empadronados en SantanderTitulo de Familia numerosa en vigor",,,"<p><strong>Se me ha roto la tarjeta familia numerosa\, ¿qué pasos he de seguir?</strong></p>\n<p>Hay que entregar la tarjeta rota en la Oficina de Atención al Cliente de C/ Castilla nº 8 y se le hace una nueva en el momento . Tiene un coste 1\,20€.</p>\n<p> </p>\n<p><strong>He perdido la tarjeta familia numerosa\, ¿qué pasos he de seguir?</strong></p>\n<p>En caso de pérdida se apuntará para hacer otra tarjeta que se entregará en el plazo de un mes desde que el ciudadano lo comunica en la oficina de Atención al Cliente. Tiene un coste de 1\,20€.</p>\n<p> </p>\n<p><strong>He utilizado indebidamente una tarjeta personal que no es mía y me la han retirado\, ¿qué puedo hacer?</strong></p>\n<p>Si el conductor o inspector retira una tarjeta de familia numerosa por estar siendo utilizada por otra persona\, quedará 1 mes retenida en la oficina de Atención al Cliente.</p>\n<p> </p>\n<p><strong>¿Cómo se renueva la tarjeta de familia numerosa?</strong></p>\n<p>Para renovar las tarjetas de autobús de familia numerosa habrá que acudir a la oficina de Atención al Cliente con la tarjeta de familia numerosa en vigor\, la tarjeta de autobús caducada y fotos que necesiten actualización. Las nuevas tarjetas se hacen en el momento. Tienen un coste 1\,20€.</p>\n<p> </p>\n<p><strong>¿Hasta cuando dura la tarjeta del autobús?</strong></p>\n<p>Tiene la misma caducidad que la tarjeta de familia numerosa.</p>\n<p> </p>\n<p><strong>¿Por qué tengo que esperar un mes cuando me la han robado? ¿donde lo pone?</strong></p>\n<p>Según lo establecido en el vigente Acuerdo de precios públicos por la prestación de los servicios de Transporte urbano\, en caso de robo o extravío\, el plazo de entrega de la nueva tarjeta es de un mes desde su notificación.</p>\n<p> </p>\n<p><strong>¿Se la puedo dejar a alguien? </strong></p>\n<p>No\, es personal e intransferible.</p>\n<p> </p>\n<p><strong>Si aparece una tarjeta que había perdido y había comunicado dicha perdida en la Oficina de Atención al Cliente ¿qué tengo que hacer?</strong></p>\n<p>Debo acudir con la tarjeta encontrada a la citada oficina y aportarla. A continuación me dan una nueva.</p>\n<p> </p>\n<p><strong>¿Si la usaba el hermano\, que es de la misma familia\, por que se retiene un mes? </strong></p>\n<p>La tarjeta es personal e intransferible en cualquier caso.</p>\n",,,,,https://sede.santander.es/sites/sede.santander.es/files/solicitud_tarjeta_de_autobus_municipal_para_familias_numerosas.pdf,,,,,Transporte Urbano de Santander (TUS),,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3663.csv
3661,2017-10-31T01:23:13.17Z,Solicitud de abono al Palacio de Deportes,false,"<p style=""text-align: justify;"">Con la adquisición de este abono\, el usuario podrá disfrutar del acceso a la sala de fitness del Palacio de Deportes de Santander\, una sala equipada con las más modernas máquinas de trabajo cardiovascular (cintas para caminar y correr\, bicicletas\, elípticas y remos)\, máquinas de trabajo de fuerza\, zona para trabajo con peso libre y zona de autocargas y estiramientos\, además de unos vestuarios equipados con zona spa (sauna e hidromasaje).</p>\n<p style=""text-align: justify;"">Las modalidades de abono a esta instalación son las siguientes:</p>\n<ol><li style=""text-align: justify;"">Individual</li>\n<li style=""text-align: justify;"">Familiar</li>\n</ol>",,,true,"<p>Para abonarse a esta instalación realice los siguientes pasos:</p>\n<ol><li>Descargarse y cumplimente la solicitud adjunta a este tramite.</li>\n<li>Presente esta solicitud en las dependencias del Instituto Municipal de Deportes\, bien en el departamento de Administración (horario de atención al público: de lunes a viernes de 8.00 a 15.00 horas) o en la Recepción del Palacio de Deportes (horario de atención al público: de lunes a viernes de 8.00 a 22.00 horas).</li>\n</ol><p> </p>\n",false,,,,,,,<p>¿Cual es el horario del centro?</p>\n<p>De lunes a viernes de 8.00 a 22.00 horas. El mes de Agosto permanecerá cerrado por vacaciones.</p>\n<p> </p>\n,,,<p>Junto con la Solicitud deberá aportar la siguiente documentación:</p>\n<ol><li>Fotocopia del D.N.I. del titular del abono</li>\n<li>Fotografía de cada una de las personas que abonan a la instalación (titular y miembros familiares)</li>\n<li>Resguardo bancario de haber realizado el ingreso de la cuota correspondiente</li>\n</ol>,,https://sede.santander.es/sites/sede.santander.es/files/solicitud_de_abonado_palacio_de_deportes_2016_0.pdf,,,,,Instituto Municipal de Deportes (IMD),,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3661.csv
3660,2017-10-31T01:23:13.17Z,Solicitud de abono al Complejo Municipal de Deportes,false,"<p style=""text-align: justify;"">Cualquier ciudadano empadronado en el Ayuntamiento de Santander en posesión de un abono al Complejo Municipal de Deportes obtendrá los siguientes derechos:</p>\n<ol><li style=""text-align: justify;""><strong>Acceso ilimitado </strong>al Complejo Municipal de Deportes de La Albericia </li>\n<li style=""text-align: justify;""><strong>Importantes bonificaciones</strong> en el alquiler de diferentes instalaciones como pueden ser las pistas de tenis\, padel\, frontón\, campos de fútbol\, pabellones\, etc.</li>\n<li style=""text-align: justify;"">Acceso al <strong>aparcamiento de vehículos </strong>del Complejo Municipal de Deportes</li>\n<li style=""text-align: justify;""><strong>Adquisición los Bonos</strong> para hacer uso de las pistas de tenis\, padel y frontón con los que las personas que los adquieran disfrutarán de un 45% de descuento sobre el precio de alquiler/hora. </li>\n</ol><p style=""text-align: justify;"">Las diferentes modalidades de abono son las siguientes:</p>\n<ol><li style=""text-align: justify;"">Abono Individual Infantil</li>\n<li style=""text-align: justify;"">Abono Individual Adulto </li>\n<li style=""text-align: justify;"">Abono Individual Mayor</li>\n<li style=""text-align: justify;"">Abono Familiar</li>\n<li style=""text-align: justify;"">Abono Pareja Mayores (más de 65 años).</li>\n</ol>",,,true,"<p style=""text-align: justify;"">Para realizar las gestiones propias para abonarse a esta instalación descargue y cumplimente el formulario adjunto a este trámite\, y entregar en las dependencias del Instituto Municipal de Deportes\, bien en la Taquilla del Complejo Municipal de Deportes (horario de atención al público: de lunes a domingo de 8.00 a 21.30 horas) y/o en el departamento de Administración (horario de atención al público: de lunes a viernes de 8.00 a 15.00 horas -a excepción del horario de verano\, entre el 15 de junio y el 15 de septiembre que será de 8.00 a 14.00 horas ).</p>\n<p>Junto a la solicitud deberá aportar la siguiente documentación:</p>\n<ol><li>Fotocopia del D.N.I. del titular del abono</li>\n<li>Fotografía de cada una de las personas que abonan a la instalación (titular y miembros familiares)</li>\n<li>Resguardo bancario de haber realizado el ingreso de la cuota correspondiente\,</li>\n</ol>",false,,,,,,,,,,,,,,,,,Instituto Municipal de Deportes (IMD),,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3660.csv
3659,2017-10-31T01:23:13.17Z,"Reclamaciones\, quejas y sugerencias TUS",true,,,https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTQ1NyZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,false,,false,,,,,,,,,,,,,,,,,Registro General,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3659.csv
3652,2017-10-31T01:23:13.17Z,Comparto Parking,true,"<p>Queremos posibilitar que las personas que <strong>tienen una plaza de parking</strong> y que durante el día (la noche\, o parte del día o de la noche) la dejan <strong>libre</strong> para ir al trabajo o para estudiar fuera de los municipios\, la puedan <strong>intercambiar (alquilar o vender)</strong> con alguien que venga a trabajar/ estudiar a nuestra ciudad.</p>\n",,http://santander.compartirparquing.org/,false,,false,,,"Si necesitas una plaza de parking por la zona donde trabajas o estudias y\, por tanto\, solamente la piensas utilizar durante unas horas del día\, puedes acceder a buscar plaza e insertar tu búsqueda o intercambio.","Es muy fácil\, una vez dentro del servicio\, podrás ver las ofertas/demandas que otros usuarios/as han insertado y escoger las que más se ajusten a tus necesidades\, (intercambio\, alquiler o incluso compra).Todo completamente on-line y con la máxima rapidez\, eficacia y privacidad.&iquest;Buscar parking?Si necesitas una plaza de parking por la zona donde trabajas o estudias y\, por tanto\, solamente la piensas utilizar durante unas horas del día\, puedes acceder a buscar plaza e insertar tu búsqueda o intercambio.&iquest;Ofreces parking?Si dispones de una plaza de parking y durante el día o la noche la dejas libre para ir al trabajo o a estudiar y te interesa intercambiarla\, alquilarla o incluso venderla\, haz clic en crear plaza e inserta tu oferta.&iquest;Quieres modificar tus datos y/o anuncios?Si ya eres usuario/a del servicio y quieres modificar tus datos o tus anuncios\, haz clic en entrarBienvenido/a y gracias por utilizar este servicio que esperamos te sea útil.",,,"<p class=""cpkPregunta"">¿Es gratis?</p>\n<p class=""cpkRespuesta"">Sí\, 100% gratis!</p>\n<p class=""cpkPregunta"">¿Por qué es necesario registrarse?</p>\n<p class=""cpkRespuesta"">Porque así otros usuarios podrán contactar contigo.</p>\n<p class=""cpkPregunta"">¿Recibiré correo no deseado?</p>\n<p class=""cpkRespuesta"">En absoluto! Tu email no será utilizado con ningún otro fin. Odiamos tanto como tú el uso inadecuado del correo electrónico con otros fines que el deseado.</p>\n<p class=""cpkPregunta"">¿Qué beneficios tengo como usuario registrado?</p>\n<p class=""cpkRespuesta"">Si eres usuario registrado podrás:</p>\n<ol><li>1. Ponerte en contacto con otros miembros\,</li>\n<li>2. Recibir mensajes en tu buzón particular\,</li>\n</ol><p> </p>\n<p class=""cpkPregunta"">¿Mis datos confidenciales tales como teléfono de contacto\, email\, etc... son visibles a otros usuarios? Si no lo son\, ¿cómo se ponen en contacto conmigo?</p>\n<p class=""cpkRespuesta"">Tus datos confidenciales no son visibles a usuarios extraños. Así nadie podrá molestarte o enviarte correos no deseados. Cuando un usuario desea contactar contigo\, recibes un email con SUS DATOS particulares. Serás tu quien decidirá si deseas o no contactar con él</p>\n",,,,,,,Inscripciones a registros,,,Participación Ciudadana,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3652.csv
3651,2017-10-31T01:23:13.17Z,Comparto coche,true,"<p>El proyecto <strong>COMPARTIR COCHE</strong> nace de la voluntad del Ayuntamiento de Santander de fomentar entre la población un uso más racional del coche. El servicio consiste en facilitar el encuentro de personas que están interesadas <strong>en compartir el vehículo privado para realizar un viaje</strong>.</p>\n<p>CÓMO FUNCIONA?</p>\n<p>Mediante este servicio verás las personas que están inscritas para realizar un viaje parecido al tuyo. A través del <strong>correo electrónico</strong> podrás ponerte en contacto con ellas. Verás cuáles son sus preferencias\, si disponen o no de coche\, motivo del viaje y toda una serie de datos para hacer <strong>más fácil el encuentro de compañeros y compañeras de viaje</strong>. Podrás dejar un <strong>mensaje electrónico</strong> a aquellas personas que consideres que son adecuadas para compartir un mismo viaje. Todo de forma <strong>inmediata y sin intermediarios</strong>.</p>\n",,http://santander.compartir.org/,false,,false,,,A los ciudadanos y ciudadanas preocupados por la movilidad sostenible que deseen compartir coches en sus desplazamientos,"Para ir al trabajo&nbsp;Si vas a alguno de los centros de trabajo de los alrededores y tienes que realizar siempre un mismo itinerario con tu vehículo privado o buscas personas con quien compartir el coche puedes compartir coche para ir a trabajar.Para ir a la universidadSi estudias o trabajas en la universidad y buscas con quién compartir un mismo viaje hacia cualquiera de las universidades puedes compartir coche para ir a la universidad.Para ir de viajeSi haces viajes esporádicos o no regulares\, ya sea a otras ciudades o incluso al extranjero\, aquí podrás encontrar personas interesadas en compartir los gastos del viaje. Accede a compartir coche para ir a otros destinos&nbsp;",,,"<p class=""pregunta"">¿Es gratis?</p>\n<p class=""resposta"">Sí\, 100% gratis!</p>\n<p class=""pregunta"">¿Por qué es necesario registrarse?</p>\n<p class=""resposta"">Porque así otros usuarios podrán contactar contigo. Si indicas cuáles son tus aficiones\, tus gustos\, etc... es más fácil encontrar compañeros de viaje.</p>\n<p class=""pregunta"">¿Recibiré correo no deseado?</p>\n<p class=""resposta"">En absoluto! Tu email no será utilizado con ningún otro fin. Odiamos tanto como tú el uso inadecuado del correo electrónico con otros fines que el deseado.</p>\n<p class=""pregunta"">¿Qué beneficios tengo como usuario registrado?</p>\n<p class=""resposta"">Si eres usuario registrado podrás:</p>\n<ol><li>1. Ponerte en contacto con otros miembros\,</li>\n<li>2. Recibir mensajes en tu buzón particular\,</li>\n<li>3. Poder iniciar conversaciones online (chat).</li>\n</ol><p> </p>\n<p class=""pregunta"">¿Mis datos confidenciales tales como teléfono de contacto\, email\, etc... son visibles a otros usuarios? Si no lo son\, ¿cómo se ponen en contacto conmigo?</p>\n<p class=""resposta"">Tus datos confidenciales no son visibles a usuarios extraños. Así nadie podrá molestarte o enviarte correos no deseados. Cuando un usuario desea contactar contigo\, recibes un email con SUS DATOS particulares. Serás tu quien decidirá si deseas o no contactar con él.</p>\n",,,,,,,Inscripciones a registros,,,Participación Ciudadana,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3651.csv
3757,2017-10-31T01:23:13.169Z,Solicitud de tarjeta de estacionamiento de vehículos para personas con movilidad reducida,true,"<p>La tarjeta de estacionamiento de vehículos para personas con movilidad reducida es el documento acreditativo\, personal e intransferible que autoriza a sus titulares al estacionamiento del vehículo en las plazas habilitadas al efecto. Mediante este trámite\, el Ciudadano puede solicitar dicha tarjeta en el caso de reunir las condiciones requeridas.<br /><br />LA CONCESIÓN DE LA TARJETA FACULTA PARA:</p>\n<p style=""margin-left: 40px;"">1. Aparcar más tiempo que el autorizado en los lugares de tiempo limitado. (Máximo 4 horas en zona OLA\, previo pago del importe correspondiente).</p>\n<p style=""margin-left: 40px;"">2. Estacionar en las plazas de aparcamiento señalizadas como reservadas a personas con discapacidad.</p>\n<p style=""margin-left: 40px;"">3. Permitir estacionar en cualquier lugar de la vía pública\, durante el tiempo imprescindible y siempre que no se entorpezca la circulación de vehículos\, el paso de peatones\, las labores de carga y descarga o cualesquiera otras debidamente autorizadas</p>\n","<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>aquí</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTgwMSZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p>La presentación de la solicitud es en los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes.</p>\n<p>La documentación a aportar se indica dentro de la solicitud</p>\n",false,,,,,,,,,,,,https://sede.santander.es/sites/sede.santander.es/files/solicitud_tarjeta_estacionamiento_personas_movilidad_reducida_interactiva_0.pdf,,"Personas Mayores\, Personas Dependientes y Personas con Discapacidad",,,Licencias y Autorizaciones,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3757.csv
3755,2017-10-31T01:23:13.169Z,Solicitud de volante de Empadronamiento,true,"<p>Con este tramite el Ciudadano puede obtener un documento informativo sobre la situación de empadronamiento de un ciudadano y de sus circunstancias\, para su aportación en procesos o ante organismos que no requieran una prueba rigurosa\, etc.<br /> </p>\n<p><strong>¿Puedo obtener un volante de empadronamiento sin salir de casa?</strong></p>\n<p>Si\, desde su casa\, con su equipo informático y a través de este tramite se puede obtener un volante de empadronamiento. Existen 2 modalidades de obtención\, una en la que usted recibe el volante en el mismo momento que lo solicita\, y otra en la que la administración le envia el volante a su domicilio a traves del correo postal\, en el plazo aproximado de una semana.</p>\n<p>También se puede solicitar de forma presencial y a través del teléfono o del fax.</p>\n<p> </p>\n","<p><strong>Opcion 1: Obtener el volante en este mismo momento</strong></p>\n<p>Para poder realizar la tramitación Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. <u>Certificado Digital </u> admitido por <a href=""http://administracionelectronica.gob.es/ctt/afirma#.VqDRD7vnCWw"">@Firma</a> o <u>DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank"">enlace</a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <strong><a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank"">aquí</a></strong></p>\n<p><a class=""btn btn-xs btn-primary"" href=""https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&amp;entidad=&amp;redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTg1NiZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA="" target=""_blank"">Iniciar Trámite (Con certificado)</a></p>\n<p>NOTA: El volante se emitirá automáticamente y se depositará en sus Comunicaciones.</p>\n<p> </p>\n<p><strong>Opcion 2: Envio del Volante a mi domicilio</strong></p>\n<p>Si no se dispone de una identidad Digital (Certificado digital admitido por @Firma o DNIe)\, o su equipo no es compatible con la firma digital\, puede solicitar que el Ayuntamiento le envie un volante a su domicilio a traves del <u>Correo Postal</u>. Para ello debera completar el siguiente tramite:</p>\n<p><a class=""btn btn-xs btn-primary"" href=""http://sede.ayto-santander.es/3webc/inicioWebc.do?opcion=noreg&amp;entidad=&amp;redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTEzMzAmcnV0YT0vM3dlYmMvYXN1bnRvc01hc1VzdWFsZXMuZG8/b3BjaW9uPTAhcGVyaW9kbz0w"" target=""_blank"">Iniciar Trámite (Sin Certificado)</a></p>\n<p>En caso de que los datos introducidos\, correspondan con los datos que figuran en registro de Inscripciones Padronales del Ayuntamiento\, se le enviará a su domicilio dicho volante\, en el plazo aproximado de 1 semana.</p>\n<p> </p>\n",,true,"<p>Para poder realizar este tramite de forma presencial\, debe personarse en el Servicio de Estadistica situado en el Edificio Ribalaigua\, en la Calle los Escalantes 3\, 2ª planta.</p>\n<p> </p>\n<p>El horario de atención al publico es el siguiente:</p>\n<p>- Invierno: Del 15 de septiembre al 15 de junio de 8:30 a 14:00h.</p>\n<p>- Verano: Del 15 de junio al 15 de septiembre de 8:30 a 13.00.</p>\n<p> </p>\n<p>Debera disponer de la siguiente <u>documentación</u>:</p>\n<p>El DNI\, o Pasaporte\, o Tarjeta de Extranjero\, o Tarjeta de Identificación en caso de tener nacionalidad de la Unión Europea</p>\n<p> </p>\n",true,"Si la tramitación la realiza por teléfono se le atenderá en el 942 200 613.&nbsp;Si la tramitación la realiza por fax. El número es 942 200 709&nbsp;El horario de atención al publico es el siguiente:-&nbsp;Invierno:&nbsp;Del 15 de septiembre al 15 de junio de 8:30 a 14:00h.-&nbsp;Verano:&nbsp;Del 15 de junio al 15 de septiembre de 8:30 a 13.00.&nbsp;Debera disponer de la siguiente documentación:El DNI\, o Pasaporte\, o Tarjeta de Extranjero\, o Tarjeta de Identificación en caso de tener nacionalidad de la Unión Europea&nbsp;",,,,,,"<p><strong>¿Existe otros tramites que puedan estar relacionados con este?</strong></p>\n<p><a href=""https://sede.santander.es/tramites/solicitud-certificado-empadronamiento"">Certificado de Empadronamiento</a> - Este tramite tiene mayor valor legal que el volante de Empadronamiento frente a  procesos judiciales\, o que requieran de una mayor rigurosidad ya que lleva la firma de la Secretaria Municipal. </p>\n<p><a href=""https://sede.santander.es/tramites/solicitud-certificado-convivencia"" target=""_blank"">Certificado de Convivencia</a> - Mientras que el Volante de Empadronamiento informa en base a los datos que figuran en el Registro de Empadronamiento\, el certificado de convivencia constituye una prueba fehaciente de las personas que conviven en una vivienda\, en base a datos recabados por la Policia Local . </p>\n",,,,,,,"Certificados\, volantes y documentos",,,Estadística,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3755.csv
3742,2017-10-31T01:23:13.169Z,Solicitud de Duplicado de Recibos,true,"<p><strong>¿Puedo solicitar mi duplicado de pago de un recibo sin salir de casa?</strong></p>\n<p>Sí\, desde su casa\, con su equipo informático y a través de una Solicitud o Instancia Genérica\, se puede solicitar al Servicio de Recaudación\, duplicado de los recibos de IBI\, IAE y el Impuesto de Circulación (IVTM)\, y cualquier otro impuesto.</p>\n<p>También se puede solicitar el duplicado de forma presencial y a través del teléfono.</p>\n<p><strong>¿Qué necesito?</strong></p>\n<p>Que los datos que aparezcan en el formulario que tiene que rellenar sean coincidentes con los que figuran en los registros municipales.</p>\n<p>Los datos a rellenar aparecen en los recibos de años anteriores</p>\n<p><strong>¿Cómo recibiré el duplicado?</strong></p>\n<p>Por correo ordinario enviado a la dirección del sujeto pasivo.</p>\n<p>La solicitud realizada a través de Internet o Teléfono serán recibidas en el domicilio en los 15 días siguientes a su solicitud.</p>\n<p> </p>\n","<p>En este momento no existe un trámite especifico para solicitar un duplicado de recibo. Pero a través de una solcitud o instancia genérica puede solicitar el duplicado de una forma sencilla\, cómoda y segura.</p>\n<p>Los datos del formulario que Ud. tiene que rellenar tienen que ser coincidentes con los que figuran en los registros municipales. Si no está seguro de los datos que Usted ha registrado\, puede consultar un recibo de años anteriores.</p>\n<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>Aqui</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTY0NiZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p>Si acude presencialmente debe personarse en:</p>\n<p>- Servicio de Recaudación</p>\n<p>- Calle Antonio López num. 6\, bajo\, 39009 Santander</p>\n<p>- e-mail:<a href=""mailto:recaudacion@ayto-santander.es"">recaudacion@ayto-santander.es</a></p>\n<p>- Horario de 08:30 a 14:00</p>\n<h4><strong>Documentación a Presentar</strong></h4>\n<ol><li>Presentación del Carnet de Identidad o autorización de representación.</li>\n</ol><p>Se le entregará el duplicado en el acto o en su caso en el menor plazo posible.</p>\n",true,Póngase en contacto con el Servicio de Recaudación a través del Telefono 942 200 691,,,,,,,,,,,,,,,Impresión de recibos,Recaudación,"IAE\, IBI\, ICIO\, IVTM\, Tasas y Precios Publicos\, Plusvalía",,Pago,http://datos.santander.es/api/datos/tramites_sede_electronica/3742.csv
