"CATEGORÍA","SITUACIÓN RPT","SUELDO"
"ALTA DIRECCION","ALTA DIRECCION",56112.20
"JEFE NEGOCIADO ","FIJO",39126.24
"JEFE OBRERO","FIJO",44006.68
"CAPATAZ","VACANTE",27661.55
"CAPATAZ","JUBILADO PARCIAL",11600.78
"TECNICO AUX.ACD","FIJO",32051.35
"TECNICO AUX.ACD","FIJO",33087.58
"JEFE NEGOCIADO","FIJO",42857.59
"OFICIAL 1 MANTENIMIENTO","FIJO",28493.11
"OFICIAL 1 JARDINERO","FIJO",32568.61
"OFICIAL 1 JARDINERO","FIJO",33148.41
"OFICIAL 1 JARDINERO","FIJO",32858.51
"OFICIAL 1 JARDINERO","FIJO",32278.71
"OFICIAL 1 JARDINERO","FIJO",28493.11
"JEFE GRUPO AUX.","FIJO",33942.06
"JEFE GRUPO AUX.","FIJO",29587.19
"JEFE GRUPO PORTERO","JUBILADO PARCIAL",8965.05
"OFICIAL 2 MANTENIMIENTO","FIJO",30104.20
"OFICIAL 2 MANTENIMIENTO","FIJO",26210.44
"OFICIAL 2 JARDINERO","FIJO",26445.48
"OFICIAL 2 JARDINERO","FIJO",26915.56
"OFICIAL 2 JARDINERO","FIJO",26680.52
"OFICIAL 2 JARDINERO","FIJO",26066.65
"OFICIAL 2 JARDINERO","FIJO",26680.52
"OFICIAL 2 JARDINERO","VACANTE",21306.63
"OFICIAL 2 JARDINERO","JUBILADO PARCIAL",8107.18
"OFICIAL 2 FONTANERO","FIJO",27150.60
"OFICIAL 2 ALBAÑIL","FIJO",26915.56
"AUX.ADMINISTRATIVO","FIJO",26177.03
"PORTERO-VIGILANTE","FIJO",29694.44
"PORTERO-VIGILANTE","FIJO",29164.04
"PORTERO-VIGILANTE","FIJO",29399.08
"PORTERO-VIGILANTE","INTERINO",29164.04
"PORTERO-VIGILANTE","INTERINO",29164.04
"PORTERO-VIGILANTE","VACANTE",21957.63
"PEON","FIJO",24177.18
"PEON","FIJO",24178.76
"PEON","FIJO",25982.64
"PEON","FIJO",24178.76
"PEON","FIJO",24355.56
"PEON","INTERINO",24355.56
"PEON","INTERINO",24178.76
"PEON","INTERINO",24178.76
"PEON","INTERINO",24355.56
"AUX.ADMINISTRATIVO ","TEMPORAL 9 meses",19380.07
"PEON","TEMPORAL 9 meses",17783.77
"PEON ","TEMPORAL 9 meses",17783.77
"PEON ","TEMPORAL 9 meses",17783.77
