"CÓDIGO PUESTO","DENOMINACIÓN","TOTAL RETRIBUCIONES"
"50000-02","ASESOR JURIDICO",60834.00
"50500-04","ANALISTA PROGRAMADOR",38757.30
"50500-02","ANALISTA PROGRAMADOR",38757.30
"50500-03 ","ANALISTA PROGRAMADOR",38757.30
"50500-05","ANALISTA PROGRAMADOR",38757.30
"50314-01","J. NEG. ADMVO O.A.C. CENTRO",37087.02
"50331-01","J. NEG. ADMVO REC. EJEC. PROCSOS MASV.",39195.34
"50322-01","J. NEG. ADMVO REC. EJEC. PROCESOS ESP.",38876.38
"50313-01","J. NEG. ADMVO O.A.C. SEVILLA ESTE",38876.38
"50312-01","J. NEG. ADMVO O.A.C. MACARENA",38511.50
"50311-01","J. NEG. ADMVO O.A.C. TRIANA",38511.50
"50321-01","J. NEG. ADMVO REC. EJEC. PROCSOS MASV.",39241.26
"50341-01","J. NEG. ADMVO RECUR. Y RCLA. ECO. ADMVAS.",36536.08
"50341-01","JEFE NEG.  ADVO. DE CONTABILIDAD",38876.38
"50422-01","JEFE NEG. ADMVO. DE CONTRATACION ",35939.22
"50315-01","J. NEG. ADMVO O.A.C. SUR",38360.48
"50315-01","JEFE NEG. ADMVO. GESTION PRESUPUESTARIA",36536.08
"50421-01","JEFE NEG.  ADVO. NOMINAS T REG. INT.",37051.98
"50342-01","J. NEG. ADMVO  RCLA. Y DEV. ING. INDB.",36171.20
"50422-02","JEFE Gr.  ADVO. DE INGRESOS",33979.36
"50322-04","JEFE Gr. ADVO. CONTROL PROCESOS INF.",35851.26
"50342-02","J. GRP. ADMVO  RCLA. Y DEV. ING. INDB.",36533.52
"50331-06","J. Gr. ADMVO.  NOTIFICACIONES CENRT. OF.",36168.64
"50341-05","J. Gr. ADVO.  TRAM. DE RECLM. ECO. ADVAS.",34756.62
"50341-03","JEFE Gr.  ADVO. DE CONTABILIDAD",35121.50
"50322-02","JEFE Gr. ADVO. EMB. BIENES MB. E INMB.",36168.64
"50322-03","JEFE GRUPO ADMVO. REGISTRO ",35851.26
"50321-04","JEFE Gr. ADVO. EMB. SUELDOS Y SALARIOS",36170.22
"50321-02","JEFE Gr. ADVO. EMB. CTAS. CORRIENTES",37263.28
"50331-02","JEFE Gr. ADVO. NOTF. Y TRATAMIENTO DOC.",34756.62
"50341-02","J. Gr. ADMVO.  TRAMITACION DE RECURSOS",35074.00
"50500-07","PROGRAMADOR",31360.54
"50500-08","PROGRAMADOR",30995.66
"50500-09","PROGRAMADOR",30995.66
"50500-10","PROGRAMADOR",31360.54
"50500-02","ADMINISTRATIVO DE CONTRATACION",29278.06
"50341-07"," ADVO.  TRAM. DE RECLM. ECO. ADVAS.",31467.34
"50341-03","ADMVO.  TRAMITACION DE RECURSOS",31832.22
"50342-03"," ADMVO  RCLA. Y DEV. ING. INDB.",32197.10
"50331-03","ADMVO. DE PROCESOS DOCUMENTALES",32926.86
"50331-04"," ADVO. DE CONTABILIDAD",32514.62
"50422-05"," ADVO. DE CONTABILIDAD",32383.16
"50321-03","ADVO.  EMB. CTAS. CORRIENTES",30737.58
"50322-03"," ADVO. EMB. BIENES MB. E INMBLES.",31706.56
"50321-05","ADVO.  EMB. CTAS. SUELDOS Y SALARIOS",31832.22
"50341-06"," ADVO.  TRAM. DE RECLM. ECO. ADVAS.",30737.58
"50341-02","ADMINISTRATIVO DE MANTENIMIENTO",31832.22
"50331-04","ADMVO. DE PROCESOS NOTIFICACIONES",30737.58
"50341-04","ADMVO.  TRAMITACION DE RECURSOS",31467.34
"50000-03","ADMINISTRATIVO GERENCIA",29595.58
"50322-05","ADMIVO.  CONTROL PROCESOS INFOR.",29278.06
"50322-04","ADMINISTRATIVO NOMINAS",29278.06
"50412-02","ADMINISTRATIVO GESTION PRESUPUESTARIA",29278.06
"50315-02","JEFE Gr. AUX. O.A.C. SUR",31076.46
"50313-02","JEFE Gr. AUX. O.A.C. SEVILLA ESTE",31076.46
"50314-02","JEFE Gr. AUX. O.A.C. CENTRO",30570.90
"50312-02","JEFE Gr. AUX. O.A.C. MACARENA",30968.32
"50312-06","JEFE Gr. AUX. ADVO. DE CONTABILIDAD",31076.46
"50311-02","JEFE Gr. AUX. O.A.C. TRIANA",30823.68
"50300-02","AUX. DIRECCION DPTO. RECAUDACION",29041.66
"50300-05","AUX. INF. REGISTRO",29800.00
"50315-03","AUX. INFOR. O.A.C. SUR",28788.88
"50314-04","AUX. INFOR. O.A.C. CENTRO",28536.10
"50314-06","AUX. INFOR. O.A.C. CENTRO",28536.10
"50315-04","AUX. INFOR. O.A.C. SUR",28879.28
"50312-06","AUX. INFOR. O.A.C. MACARENA",28788.88
"50312-04","AUX. INF. REGISTRO",29547.22
"50314-03","AUX. INFOR. O.A.C. CENTRO",28788.88
"50311-03","AUX. INFOR. O.A.C. TRIANA",28897.36
"50313-03","AUX. INFOR. O.A.C. SEVILLA ESTE",28879.28
"50313-05","AUX. INFOR. O.A.C. SEVILLA ESTE",28879.28
"50315-05","AUX. INFOR. O.A.C. SUR",28788.88
"50314-05","AUX. INFOR. O.A.C. CENTRO",29132.06
"50311-04","AUX. INFOR. O.A.C. TRIANA",28561.34
