"Economico","Descripcion Económico","Previsiones Iniciales"
10000,"IMPUESTO SOBRE LA RENTA DE LAS PERSONAS FÍSICAS",13945450.11
22000,"IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS",143868.37
22001,"IMPUESTO SOBRE LA CERVEZA",62242.49
21000,"IMPUESTO SOBRE EL VALOR AÑADIDO",10223989.04
22003,"IMPUESTO SOBRE LAS LABORES DEL TABACO",853407.15
22004,"IMPUESTO SOBRE HIDROCARBUROS",1932457.49
22006,"IMPUESTO SOBRE PRODUCTOS INTERMEDIOS",3387.91
38901,"REINTEGRO DE PAGOS INDEBIDOS EJERCICIOS CERRADOS",100333.32
39900,"OTROS INGRESOS IMPREVISTOS",2677322.00
39901,"ANUNCIOS DE PARTICULARES",35924.59
41101,"REINTEGRO REAL ALCAZAR PERSONAL ADSCRITO",350000.00
42010,"FONDO COMPLEMENTARIO DE FINANCIACIÓN",268827973.88
42090,"OTRAS TRANSFERENCIAS CORRIENTES DE LA ADMINISTRACIÓN GENERAL DEL ESTADO",5394763.01
45000,"PARTICIPACIÓN EN TRIBUTOS DE LA COMUNIDAD AUTÓNOMA",25349378.29
52000,"INTERESES DEPÓSITOS EN BANCOS",50000.00
54100,"ARRENDAMIENTOS DE FINCAS URBANAS",984327.00
55000,"CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACIÓN PERIÓDICA",5727076.00
83001,"REINTEGRO DE ANTICIPOS A FUNCIONARIOS",1101012.00
83002,"REINTEGRO DE ANTICIPOS A LABORALES",1101012.00
45002,"TRANSFERENCIAS CORRIENTES CONVENIOS CON LA C.A. SERVICIOS SOCIALES Y POLITICAS DE IGUALDAD",29448998.76
45030,"TRANSFERENCIAS CORRIENTES CONVENIOS CON LA C.A. EDUCACIÓN",280453.02
11300,"IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA",188653542.81
11500,"IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA",35010938.92
11600,"IMPUESTO SOBRE INCREMENTO VALOR TERRENOS DE NATURALEZA URBANA",31575304.42
13000,"IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS",43808849.55
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",6894893.06
30201,"TASA DE RECOGIDA DE BASURAS Y RESIDUOS SÓLIDOS VIVIENDAS",18152308.80
30202,"TASA RECOGIDA DE BASURAS Y RESIDUOS SÓLIDOS LOCALES COMERCIALES",21500000.38
30901,"TASA POR SERVICIOS FUNERARIOS",2037556.00
30902,"TASA POR AUTORIZACIONES Y SERVICIOS EN MERCADOS",887485.04
31901,"TASA POR CONTROL ESTABLECIMIENTOS CÁRNICOS Y OTROS SERVICIOS LABORATORIO",79497.00
32500,"TASA POR EXPEDICIÓN DE DOCUMENTOS",43868.00
32601,"TASA POR RETIRADA DE VEHÍCULOS",2033216.00
32902,"TASA POR RETIRADA DE LA VÍA PÚBLICA MERCANCÍAS U OTROS OBJETOS",1000.00
32903,"TASA POR DERECHO DE EXAMEN",1500.00
32905,"TASA LICENCIA AUTOTAXIS Y VEHÍCULOS ALQUILER",314714.46
32906,"TASA POR SERVICIO EXTINCIÓN DE INCENDIOS",4774.00
32907,"TASA POR SERVICIOS ESPECIALES DE LA POLÍCIA LOCAL",51500.00
33001,"TASA POR RESERVA VÍA PÚBLICA PARA APARCAMIENTO CARGA Y DESCARGA",1283606.72
33100,"TASA POR ENTRADA DE VEHÍCULOS",5048028.00
33200,"TASA POR OCUPACIÓN SUBSUELO POR SUMINISTRO DE ELECTRICIDAD Y GAS",5618723.28
33801,"TASA COMPENSACIÓN TELEFÓNICA DE ESPAÑA S.A.",2370402.00
33902,"TASA POR CASETAS, ATRACCIONES, ELECTRICIDAD Y OTROS FERIA DE ABRIL",4200760.56
33903,"TASA POR RODAJE Y ARRASTRE VEHÍCULOS TRACCIÓN ANIMAL FERIA DE ABRIL",157329.45
33905,"TASA POR OCUPACIÓN Y SERVICIOS EN COCHERAS MUNICIPALES",108810.80
33906,"TASA POR OCUPACIÓN PUESTOS Y OTROS USOS EN MERCADOS",1000.00
34201,"PRECIO PÚBLICO TALLERES DISTRITOS",403699.00
34400,"PRECIO PÚBLICO POR ENTRADA EN ESPACIOS MUSEÍSTICOS",1888.00
34900,"PRECIO PÚBLICO ANÁLISIS Y OTROS SERV. LABORAT. MUNPAL. A DOMICILIO O POR ENCARGO",10000.00
39120,"MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN",25729910.40
39190,"OTRAS MULTAS Y SANCIONES",1679217.00
39300,"INTERESES DE DEMORA",5445252.00
35100,"CONTRIBUCIÓN ESPECIAL SERVICIO PREVENCIÓN Y EXTINCIÓN DE INCENDIOS",2177285.00
51191,"INTERESES PRÉSTAMO A GMU. PAGO PROVEEDORES",247811.40
51195,"INTERESES PRÉSTAMO A IMD. PAGO PROVEEDORES",1389.79
51492,"INTERESES PRÉSTAMO A TUSSAM. PAGO PROVEEDORES",99600.99
