"Org.","Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
3300,430,16205,"Seguros",4416.55,4416.55,3947.23,3947.23,3947.23,3947.23
3300,430,16204,"Acción social",4166.20,4166.20,1816.76,1816.76,1816.76,1567.50
3300,430,16200,"Formación y perfeccionamiento del personal",1439.25,1439.25,0.00,0.00,0.00,0.00
3300,430,16008,"Asistencia médico-farmacéutica",2100.00,2100.00,2090.85,2090.85,1083.95,1083.95
3300,430,13109,"Recuperación paga",916.81,5672.46,5672.46,5672.46,5672.46,5672.46
3300,430,13102,"Otras remuneraciones personal laboral temporal",0.00,0.00,0.00,0.00,0.00,0.00
3300,430,13100,"Retribuciones básicas personal laboral temporal",24582.56,24582.56,14767.06,14767.06,14767.06,13182.38
3300,430,13002,"Otras remuneracxiones personal laboral fijo",10551.31,10551.31,6146.25,6146.25,6146.25,5266.97
3300,430,13000,"Retribuciones básicas del personal laboral fijo",104231.83,104231.83,59587.79,59587.79,59587.79,53486.21
3300,430,11009,"Recuperación paga",1540.86,1540.86,1540.86,1540.86,1540.86,1540.86
3300,430,10109,"Recuperación paga",2547.22,2547.22,2547.22,2547.22,2547.22,2547.22
3300,430,10100,"Retribuciones básicas del personal directivo",60429.55,60429.55,34452.58,34452.58,34452.58,30423.94
3300,430,16000,"Seguridad Social",56457.20,56457.20,22845.66,22845.66,22845.66,22845.66
3300,430,22799,"Otros trabajos especializados",2960.00,2960.00,0.00,0.00,0.00,0.00
3300,430,22706,"Servicios de profesionales independientes",84275.00,84275.00,63835.36,63835.36,20992.88,20992.88
3300,430,22700,"Limpieza y aseo",4000.00,4000.00,6639.40,6639.40,3677.32,3677.32
3300,430,22603,"Publicaciones diarios oficiales",500.00,500.00,312.70,312.70,312.70,312.70
3300,430,22601,"Atenciones protocolarias",6000.00,6000.00,0.00,0.00,0.00,0.00
3300,430,22500,"Tributos estatales",25000.00,25000.00,25554.52,25554.52,25554.52,12673.66
3300,430,22400,"Primas de seguros",4200.00,4200.00,1180.00,1180.00,1180.00,1180.00
3300,430,22201,"Servicio de mensajería/paquetería",15000.00,15000.00,15000.00,15000.00,5918.83,5606.41
3300,430,22200,"Telefonía móvil",15000.00,15000.00,15625.50,15625.50,7888.14,7321.17
3300,430,22199,"Otros suministros",200.00,200.00,0.00,0.00,0.00,0.00
3300,430,22111,"Suministros de repuestos",1000.00,1000.00,0.00,0.00,0.00,0.00
3300,430,22002,"Material informático no inventariable",8500.00,8500.00,8500.00,8500.00,585.74,585.74
3300,430,22000,"Material de oficina no inventariable",5000.00,5000.00,5000.00,5000.00,213.24,213.24
3300,430,21600,"De equipos informáticos",500.00,500.00,0.00,0.00,0.00,0.00
3300,430,21500,"De mobiliario urbano",6747.60,6747.60,2828.38,2828.38,831.88,831.88
3300,430,21300,"De maquinaria, inst.técnicas y utillaje",6443.68,6443.68,696.96,696.96,348.48,348.48
3300,430,21200,"De  edificios y construcciones",500.00,500.00,0.00,0.00,0.00,0.00
3300,430,20800,"Arrendamientos de otro inmovilizado material.",0.00,0.00,290.40,290.40,290.40,290.40
3300,430,20300,"De maquinaria",340.00,340.00,0.00,0.00,0.00,0.00
3300,430,20200,"De edficios y otras construcciones",7260.00,7260.00,7260.00,7260.00,2420.00,2420.00
3300,430,35900,"Otros gastos financieros",1000.00,1000.00,0.00,0.00,0.00,0.00
3300,430,6500714,"I.G.O.E.P. Centro Dinamización Alamillo",0.00,210672.00,199671.27,199671.27,108064.63,108064.63
3300,430,6500615,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,2303216.22,2303216.22,2303216.22,493023.31,493023.31
3300,430,6500614,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,603720.05,174054.46,174054.46,0.00,0.00
3300,430,6500613,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,209606.46,209606.46,209606.46,209606.46,209606.46
3300,430,6500612,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,626120.96,626120.96,626120.96,550842.21,550842.21
3300,430,65006,"IGOEP Centro Marqués del Contadero",273979.71,273979.71,161621.89,161621.89,0.00,0.00
3300,430,6500512,"INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS",0.00,17234.97,17232.82,17232.82,17232.82,0.00
3300,430,6500310,"INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS",0.00,25060.00,0.00,0.00,0.00,0.00
3300,430,65003,"IGOEP Centro Cerámica Triana",26020.29,26020.29,0.00,0.00,0.00,0.00
3300,430,6500010,"INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS",0.00,52506.52,52506.52,52506.52,0.00,0.00
3300,430,63300,"Maquinaria, instalaciones técnicas y utillaje",22000.00,22000.00,21997.58,0.00,0.00,0.00
3300,432,65003,"Gastos en inversiones gestionadas para otros entes públicos.",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,16205,"Seguros",4033.45,4033.45,1732.77,1732.77,1732.77,1732.77
3300,432,16204,"Acción social",14331.28,14331.28,8046.50,8046.50,8046.50,6897.00
3300,432,16200,"Formación y perfeccionamiento del personal",0.00,0.00,845.57,845.57,845.57,845.57
3300,432,16008,"Asistencia médico-farmacéutica",6720.00,6720.00,6690.72,6690.72,3468.64,3468.64
3300,432,13102,"Otras remuneraciones personal laboral temporal",21447.98,21447.98,12977.00,12977.00,12977.00,11270.15
3300,432,13100,"Retribuciones básicas personal laboral temporal",399740.80,399740.80,221064.33,221064.33,221064.33,197500.55
3300,432,13002,"Otras remuneraciones personal laboral fijo",40430.18,40430.18,26663.58,26663.58,26663.58,22687.70
3300,432,13000,"Retribuciones básicas personal laboral fijo",193445.65,193445.65,138336.34,138336.34,138336.34,123664.06
3300,432,16000,"Seguridad Social",190699.20,190699.20,75720.71,75720.71,75720.71,75720.71
3300,432,23120,"Gastos locomoción pers. no directivo",43000.00,43000.00,47812.23,47812.23,27142.54,26423.54
3300,432,23110,"Gastos locomoción personal directivo",25000.00,25000.00,25060.91,25060.91,16595.18,16447.61
3300,432,23020,"Dietas personal no directivo",45000.00,45000.00,38702.11,38702.11,24776.77,24283.38
3300,432,23010,"Dietas personal directivo",25000.00,25000.00,18820.93,18820.93,6659.18,6441.44
3300,432,22706,"Estudios y trabajos técnicos",168700.00,168700.00,35557.18,35557.18,25459.71,23523.71
3300,432,22606,"Reuniones, conferencias y cursos",536196.88,536196.88,254619.43,254619.43,224958.56,196783.50
3300,432,22602,"Publicidad y propaganda",218810.00,230054.35,49577.73,49577.73,49577.67,49577.67
3300,432,22601,"Atenciones protocolarias y representativas.",0.00,0.00,5215.93,5215.93,2675.93,2618.03
3300,432,22400,"PRIMAS DE SEGUROS",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,48010,"Cuotas de Asociaciones y Redes de Ciudades",69267.36,53267.36,30060.56,30060.56,30060.56,30060.56
3300,432,48003,"Colaboraciones Asociación de Hostelería de Sevilla",9500.00,9500.00,4500.00,4500.00,4500.00,4500.00
3300,432,48002,"Colaboraciones Asociación de Hoteles de Sevilla",8750.00,8750.00,1380.81,1380.81,1380.81,1380.81
3300,432,48001,"CONVENIO COLABORACIÓN CÁMARA DE COMERCIO SCCB",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,48000,"Subvenciones actividades turísticas",13000.00,13000.00,5460.00,5460.00,0.00,0.00
3300,432,6500714,"GASTOS EN INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS",0.00,0.00,0.20,0.20,0.20,0.20
3300,432,6500615,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,6500614,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,6500613,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,6500612,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,65006,"INV.GEST.PARA OTROS ENTES PÚBLICOS. MARQUÉS CONTADERO",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,6500512,"INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,6500310,"INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,6500010,"INVERSIONES GESTIONADAS PARA OTROS ENTES PÚBLICOS",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,64100,"Gastos en aplicaciones informáticas",0.00,0.00,0.00,0.00,0.00,0.00
3300,432,64000,"Gastos en inversiones de carácter inmaterial",4000.00,4000.00,0.00,0.00,0.00,0.00
3300,432,62600,"Equipamientos para proceso de información",1500.00,1500.00,0.00,0.00,0.00,0.00
3300,432,62500,"Mobiliario",32500.00,32500.00,0.00,0.00,0.00,0.00
3300,4320,6500714,"Gastos en inversiones gestionadas para otros entes públicos.",0.00,0.00,0.00,0.00,0.00,0.00
