"Org.","Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
0,110,31000,"INTERESES PRESTAMO ICO A AYUNTAMIENTO. PPP",292684.22,292684.22,106917.35,106917.35,106917.35,106917.35
0,110,91100,"AMORTIZACION DE PRESTAMOS A L/P DE ENTES DEL SECTOR PUBLICO",2676026.86,2676026.86,1338013.42,1338013.42,1338013.42,1338013.42
0,1500,12006,"TRIENIOS",73410.88,73410.88,35113.08,35113.08,35113.08,35113.08
0,1500,12003,"SUELDOS DEL GRUPO C1",34906.57,34906.57,16663.14,16663.14,16663.14,16663.14
0,1500,12700,"CONTRIBUCIONES A PLANES Y FONDOS PENSIONES",1.00,1.00,0.00,0.00,0.00,0.00
0,1500,12000,"SUELDOS DEL GRUPO A1",40325.06,40325.06,19962.90,19962.90,19962.90,19962.90
0,1500,12101,"COMPLEMENTO ESPECIFICO",408194.27,408194.27,215046.48,215046.48,215046.48,215046.48
0,1500,13002,"OTRAS REMUNERACIONES",2933019.46,2933019.46,1476493.61,1476493.61,1476493.61,1476493.61
0,1500,13102,"OTRAS REMUNERACIONES",543811.09,543811.09,317266.74,317266.74,317266.74,317266.74
0,1500,13700,"CONTRIBUCIONES A PLANES Y FONDOS PENSIONES",1.00,1.00,0.00,0.00,0.00,0.00
0,1500,13001,"HORAS EXTRAORDINARIAS",1499.70,1499.70,2197.05,2197.05,2197.05,2197.05
0,1500,13100,"RETRIBUCIONES BASICAS",637566.11,637566.11,313003.04,313003.04,313003.04,313003.04
0,1500,13101,"HORAS EXTRAORDINARIAS",396.98,396.98,2358.09,2358.09,2358.09,2358.09
0,1500,13000,"RETRIBUCIONES BASICAS",2610358.86,2610358.86,1192513.59,1192513.59,1192513.59,1192513.59
0,1500,15100,"GRATIFICACIONES",102.93,102.93,0.00,0.00,0.00,0.00
0,1500,16204,"ACCION SOCIAL",60888.82,60888.82,92483.75,92483.75,46639.14,46639.14
0,1500,16205,"SEGUROS",19339.45,19339.45,0.00,0.00,0.00,0.00
0,1500,16008,"Asistencia médico-farmacéutica",65356.11,65356.11,217356.18,178262.62,87172.96,61058.84
0,1500,16200,"FORMACION Y PERFECCIONAMIENTO DEL PERSONAL",10449.54,10449.54,12122.00,12122.00,4608.00,3318.00
0,1500,16000,"SEGURIDAD SOCIAL",1820072.30,1820072.30,2657716.36,2657716.36,2657716.36,2657716.36
0,1500,20300,"ARRENDAMIENTO EQUIPOS DE OFICINA, MAQUINARIA, INSTALACIONES",16200.00,16200.00,18551.15,18551.15,7457.92,7457.92
0,1500,20600,"RENTING EQUIPOS INFORMATICOS E IMPRESORAS",103869.96,103869.96,96030.60,96030.60,48015.30,40012.75
0,1500,21300,"CONSERVACION DE INSTALACIONES",140000.00,130000.00,97859.10,97859.10,32784.03,25671.37
0,1500,21200,"CONSERVACION SEDE G.U.",220000.00,220000.00,194542.42,194542.42,41313.34,28498.05
0,1500,21600,"MANTENIMIENTO EQUIPOS INFORMATICOS",100000.00,100000.00,24123.57,24123.57,5191.91,5191.91
0,1500,21500,"REPARACION DE MOBILIARIO Y ENSERES",13850.00,3850.00,2895.43,2895.43,2278.44,2171.96
0,1500,21400,"REPARACION DE VEHICULOS",12500.00,12500.00,22473.22,22473.22,15074.91,15074.91
0,1500,22300,"TRANSPORTES DE OBJETOS Y BIENES EN GENERAL",15000.00,15000.00,0.00,0.00,0.00,0.00
0,1500,22110,"PRODUCTOS DE LIMPIEZA Y ASEO",10000.00,10000.00,7040.75,7040.75,2636.12,2636.12
0,1500,22601,"ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS",3000.00,3000.00,911.76,911.76,911.75,180.39
0,1500,22706,"ESTUDIOS Y TRABAJOS TECNICOS",200000.00,216200.00,203021.92,203021.92,86856.22,86856.22
0,1500,22000,"ORDINARIO NO INVENTARIABLE",52000.00,47000.00,38795.06,38795.06,10290.30,6778.79
0,1500,22002,"MATERIAL INFORMATICO NO INVENTARIABLE",180600.00,165600.00,70709.58,70110.10,18267.06,17436.23
0,1500,22604,"JURIDICOS Y CONTENCIOSOS",200000.00,200000.00,245783.11,245783.11,245383.11,110656.41
0,1500,22603,"PUBLICACION EN DIARIOS OFICIALES",50000.00,50000.00,0.00,0.00,0.00,0.00
0,1500,22401,"SEGUROS DE RESPONSABILIDAD CIVIL",185000.00,185000.00,186603.36,186603.36,181030.47,181030.47
0,1500,22502,"TRIBUTOS DE LAS ENTIDADES LOCALES",4000.00,4000.00,13854.66,13854.66,3282.62,3282.62
