"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",221,"OTRAS PRESTACIONES ECONOMICAS A FAVOR DEL EMPLEADO",83000,"ANTICIPOS REINTEGRABLES",40000.00,40000.00,20700.00,20700.00,20700.00,20700.00
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",10100,"RETRIBUCIONES ALTOS CARGOS",60429.60,60429.60,30214.80,30214.80,30214.80,30214.80
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",11000,"RETRIBUCIONES PERSONAL EVENTUAL",0.00,0.00,0.00,0.00,0.00,0.00
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",13000,"RETRIBUCIONES BÁSICAS PERSONAL LABORAL",572000.00,572000.00,251419.46,251419.46,251419.46,251419.46
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",13001,"HORAS EXTRAS Y OTRAS REMUNERACIONES",50000.00,50000.00,17543.65,17543.65,17543.65,17543.65
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",13002,"OTRAS REMUNERACIONES PERSONAL LABORAL",800000.00,800000.00,390046.60,390046.60,390046.60,390046.60
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",13100,"Retribuciones personal laboral eventual",84433.81,84433.81,1419.43,1419.43,1419.43,1419.43
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",15000,"PRODUCTIVIDAD",248892.96,248892.96,63565.04,63565.04,63565.04,63565.04
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",16000,"SEGURIDAD SOCIAL",582699.60,582699.60,277483.67,277483.67,277483.67,277483.67
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",16105,"PENSIONES A CARGO E.L.",5000.00,5000.00,7892.76,7892.76,7892.76,7892.76
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",16200,"Formación y perfeccionamiento del personal.",8000.00,8000.00,0.00,0.00,0.00,0.00
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",16204,"Ayudas escolares, prótesis, etc.",35487.37,35487.37,12726.12,12726.12,12726.12,12726.12
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",21600,"Equipamiento procesos informáticos",8100.00,8100.00,2986.12,2986.12,2986.12,2986.12
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",22000,"MATERIAL DE OFICINA",6000.00,6000.00,3851.46,3851.46,3851.46,3680.24
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",22001,"Material oficina anuncios boletín",2000.00,2000.00,0.00,0.00,0.00,0.00
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",22104,"VESTUARIO",14000.00,14000.00,276.31,276.31,276.31,276.31
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",22200,"TELEFÓNICA",15000.00,15000.00,3222.67,3222.67,3222.67,3222.67
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",330,"ADMINISTRACION GENERAL DE CULTURA",22400,"PRIMAS DE SEGUROS",8000.00,8000.00,0.00,0.00,0.00,0.00
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",334,"PROMOCION CULTURAL",13002,"OTRAS RETRIBUCIONES COMPLEMENTARIAS (RPT)",100000.00,100000.00,0.00,0.00,0.00,0.00
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",334,"PROMOCION CULTURAL",22601,"ATENCIONES PROTOCOLARIAS",6000.00,6000.00,1058.75,1058.75,1058.75,1058.75
"","HABITAT URBANO, CULTURA Y TURISMO","","PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",0,"PATRONATO DEL REAL ALCAZAR Y DE LA CASA CONSISTORIAL",334,"PROMOCION CULTURAL",22602,"PUBLICIDAD Y PROPAGANDA",25000.00,25000.00,0.00,0.00,0.00,0.00
