"Org.","Eco.","Descripción","Previsiones Iniciales","Drchos Reconocidos Totales","Derechos Reconocidos Netos","Derechos Recaudados","Recaudación Líquida"
0,32100,"LICENCIAS URBANISTICAS.",5750000.00,3163358.17,3106022.73,3144166.60,3087678.08
0,32500,"VENTA DE TIMBRES",1100000.00,361390.39,360906.27,361390.39,360906.27
0,33400,"TASA POR APERTURA DE CALAS Y ZANJAS.",510000.00,40709.26,39223.69,32194.15,32194.15
0,33500,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON TERRAZAS.",1100000.00,808612.91,801957.90,274571.70,273636.69
0,33900,"OTRAS TASAS POR UTILIZACION PRIVATIVA DOMINIO PUBLICO.",3550000.00,664421.97,661879.14,253830.00,252218.96
0,33901,"OCUPACION VIA PBCA. CON MATERIALES DE CONSTRUCCION",3337000.00,1549421.55,1547339.22,822410.37,820328.04
0,33902,"POR OTROS APROVECHAMIENTOS CON INSTL. PERMANENTES",2304756.54,820146.57,813695.68,510476.81,510476.81
0,34900,"PRECIOS PUBLICOS POR CONSTRUCCION DE BADENES",1.00,0.00,0.00,0.00,0.00
0,36000,"VENTA DE PUBLICACIONES",3500.00,14.10,14.10,14.10,14.10
0,36200,"VENTA DE PLANOS, DOCUMENTOS Y MATERIAL CARTOGRAFICO",40000.00,888.15,888.15,888.15,888.15
0,38900,"REINTEGROS DE PRESUPUESTOS CERRADOS",300000.00,136707.52,136407.52,136707.52,136407.52
0,39100,"MULTAS POR INFRACCIONES URBANÍSTICAS.",1800001.00,624588.92,608226.41,39554.46,35624.16
0,39190,"MULTAS COERCITIVAS INCUMPL. ORDENES EJECUCION E ITE",0.00,0.00,0.00,0.00,0.00
0,39211,"RECARGO DE APREMIO.",10000.00,10303.47,10303.47,10303.47,10303.47
0,39300,"PRODUCTO DE LOS INTERESES DE DEMORA Y FRACCIONAMIENTO",350000.00,67686.29,67686.29,64157.21,64157.21
0,39901,"RECURSOS EVENTUALES",700000.00,24787.41,24787.41,20717.66,20717.66
0,39902,"REINTEGRO DE ANUNCIOS",50000.00,3191.90,3191.90,3191.90,3191.90
0,39904,"REINTEGRO DE GASTOS SUPLIDOS EN OBRAS SUBSIDIARIAS",750000.00,134548.85,132654.77,5152.56,3258.48
0,39905,"REINTEGRO DAÑOS EN INSTALACIONES DE USO GENERAL",200000.00,0.00,-7249.45,0.00,-7249.45
0,39909,"APORTACIONES PARA OBRAS DE URBANIZACION",1.00,0.00,0.00,0.00,0.00
0,40000,"DEL EXCMO AYUNTAMIENTO PARA ATENCIONES CORRIENTES",34781689.64,15393574.00,15393574.00,15393574.00,15393574.00
0,42002,"MINISTERIO ECONOMIA Y HACIENDA ,FEDER PYTO. URBAN",0.00,0.00,0.00,0.00,0.00
0,42090,"OTRAS TRANSF. CTES. DE LA ADMÓN. GENERAL DEL ESTADO",0.00,402466.24,402466.24,402466.24,402466.24
0,44000,"COLABORACION CON EL ENTOLDAMIENTO CIUDAD.",0.00,0.00,0.00,0.00,0.00
0,47000,"COLABORACIÓN CON EL ENTOLDAMIENTO",100000.00,0.00,0.00,0.00,0.00
0,47006,"APORTACIONES E.U.C. SUOI-DBP-01 PALMAS ALTAS NORTE",0.00,0.00,0.00,0.00,0.00
0,47007,"Aportaciones E.U.C. SUS-DBP-07 (Pítamo sur)",0.00,0.00,0.00,0.00,0.00
0,47008,"Aportación Cía. Seguros y Reaseguros S.A.,",0.00,0.00,0.00,0.00,0.00
0,52000,"INTERESES PRODUCIDOS PARA EL PRESUPUESTO ORDINARIO",100000.00,3223.84,3223.84,3223.84,3223.84
0,54100,"RENTAS DE VIVIENDAS.",50000.00,16537.11,16537.11,16537.11,16537.11
0,54101,"ARRENDAMIENTOS DE LOCALES COMERCIALES.",80000.00,41691.34,41076.34,40580.60,39965.60
0,54901,"OTRAS RENTAS PROCEDENTES DE BIENES INMUEBLES",1820000.00,1089322.28,1085381.57,1089322.28,1085381.57
0,60300,"DE TERRENOS Y DCHOS.REVERSION SOBRE TERRENOS DEL P.M.S.",4556572.12,746328.89,746328.89,283023.56,283023.56
0,68000,"REINTEGROS DE EJERCICIOS CERRADOS",0.00,0.00,0.00,0.00,0.00
0,68001,"DE EJERCICIOS CERRADOS",0.00,8737.18,8737.18,8737.18,8737.18
0,70000,"DE EXCMO AYUNTAMIENTO PARA ATENCIONES DE CAPITAL",16960855.00,0.00,0.00,0.00,0.00
0,70050,"APORTACIÓN LIPASAM SOTERRAMIENTO CONTENEDORES PROYECTO URBAN",0.00,0.00,0.00,0.00,0.00
0,72002,"DEL MINISTERIO ECONOMIA Y HACIENDA ,FEDER PYTO. URBAN",0.00,0.00,0.00,0.00,0.00
0,75082,"SUBVENCION CONSJ. OBRAS PUBLICAS J.ANDALUCIA",0.00,0.00,0.00,0.00,0.00
