"Org.","Eco.","Descripción","Previsiones Iniciales","Drchos Reconocidos Totales","Derechos Reconocidos Netos","Derechos Recaudados","Recaudación Líquida"
70000,34300,"Rendimiento de actividades del IMD",4440036.41,1739489.06,1736804.05,1739489.06,1736804.05
70000,38900,"OTROS REINTEGROS DE OPERACIONES CORRIENTES.",0.00,343.74,343.74,343.74,343.74
70000,39901,"Otros ingresos diversos",75000.00,7088.78,7088.78,7088.78,7088.78
70000,40000,"Transferencias corrientes del Ayuntamiento de Sevilla.",21328729.23,9228729.23,9228729.23,9228729.23,9228729.23
70000,52000,"Intereses en cuentas corrientes",400.00,198.47,198.47,198.47,198.47
70000,55001,"Concesiones Administrativas por Instalaciones",445312.49,420485.37,420485.37,186101.10,186101.10
70000,55002,"Concesiones Administrativas por Publicidad",284642.28,309727.80,309727.80,83143.26,83143.26
70000,70000,"Transferencia capital Ayuntamiento de Sevilla",3440000.00,0.00,0.00,0.00,0.00
70000,75060,"TRANSFERENCIAS DE CAPITAL EN CUMPLIMIENTO DE CONVENIOS CCAA",0.00,0.00,0.00,0.00,0.00
70000,83000,"Reint. Préstamos concedidos Personal Laboral fijo del I.D.",36097.00,36000.00,36000.00,4166.52,4166.52
70000,91100,"PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO. AYUNT",0.00,0.00,0.00,0.00,0.00
