"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales"
32100,"Licencias urbanísticas.",5750000.00
32500,"Timbres",1100000.00
33400,"Tasa por la apertura de calas y zanjas",510000.00
33500,"Tasa por la ocupación de la vía pública con terrazas",1100000.00
33900,"Otras tasas por la utilización privativa del dominio público",3550000.00
33901,"Ocupación vía pública con materiales de construcción, vallas",3337000.00
33902,"Por otros aprovechamientos con instalaciones permanentes",2304000.00
34900,"Precios Públicos por construcción de badenes",1
36000,"Venta de publicaciones",18.8
36200,"Reproducción de planos y documentos",1185.99
38900,"Reintegro de presupuestos cerrados",181876.68
39100,"Multas por infracciones urbanísticas.",1800000.00
39211,"Recargo de apremio.",15752.48
39300,"Producto de los intereses de demora y fraccionamiento.",350000.00
39901,"Recursos eventuales.",654035.51
39902,"Reintegro de anuncios.",4255.88
39904,"Reintegro de gastos suplidos en obras subsidiarias.",750000.00
39905,"Reintegro daños en instalaciones de uso general.",200000.00
39909,"Aportaciones para obras de urbanización.",1
40000,"Del Excmo. Ayuntamiento para atenciones corrientes",35468091.59
47000,"Colaboración con el entoldamiento",110000.00
52000,"Intereses producidos para el Presupuesto Ordinario.",4298.45
54100,"Rentas de viviendas y locales comerciales.",21047.88
54101,"Arrendamientos de locales comerciales.",54768.44
54901,"Otras rentas procedentes de bienes inmuebles.",3083448.71
60300,"De terrenos y derechos de reversión sobre terrenos del P.M.S.",4322325.00
70000,"Del Excmo. Ayuntamiento para atenciones de capital.",22734413.00
83100,"Reintegro anticipos concedidos al personal fijo.",350000.00
94001,"Depósitos cancelados Caja General de Depósitos.",1
