"Programa_de_Gasto;Denominación_del_Programa_de_Gasto;Clasificación_Económica;Descripción_de_la_Claasificación_Económica;Créditos_Iniciales","CAMPO_1","CAMPO_2","CAMPO_3","CAMPO_4"
"01101;;91100;AMORTIZACIÓN PRÉSTAMO;39.263","15","",,""
"01101;;31000;INTERESES PRESTAMOS AYUNTAMIENTO PAGO A PROVEEDORES;3.653","93","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;16000;SEGURIDAD SOCIAL;71.439","68","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;10100;RETRIBUCIONES BÁSICAS;249.979","44","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;20200;ARRENDAMIENTOS DE EDIFICIOS Y OTRAS CONSTRUCCIONES ;90.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;20300;ARREND. MAQUINA. INSTALACIÓN Y UTILLAJES;225.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;21200;REPARACIONES"," MANTENIMIENTO Y CONSERVACIÓN DE EDIFICIOS;81.752","32",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;21300;REPARACIÓN MAQINARIAS"," INSTALACIONES Y UTILLAJE;190.000","00",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;21500;CONSERVACIÓN MOBILIARIO Y ENSERES;3.500","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22000;MATERIAL DE OFICINA;17.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22001;PRENSA"," REVISTAS"," LIBROS Y OTRAS PUBLICACIONES;15.000",0,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22111;SUMINISTROS MATERIAL FUNGIBLE;37.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22400;SEGUROS;25.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22502;TRIBUTOS;7.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22601;ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS;12.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22602;PUBLICIDAD Y PROPAGANDA;504.750","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22699;GASTOS DIVERSOS;200.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22700;LIMPIEZA;395.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22701;SEGURIDAD;565.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22704;DEPÓSITOS ;16.500","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22706;ESTUDIOS Y TRABAJOS PLANES SEGURIDAD EDIFICIOS ICAS;5.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22708;GASTOS DE RECAUDACIÓN;185.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;22799;TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES;990.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;23010;DIETAS;7.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;23110;GASTOS DE LOCOMOCION;10.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;23310;OTRAS INDEMNIZACIONES;7.000","00","",,""
"33210;PROGRAMA DE FOMENTO LIBRO Y LECTURA;22609;ACTIVIDADES CULTURALES ;200.000","00","",,""
"33210;PROGRAMA DE FOMENTO LIBRO Y LECTURA;48952;SUBVENCIÓN A ACADEMÍA DE LAS BUENAS LETRAS;16.500","00","",,""
"33210;PROGRAMA DE FOMENTO LIBRO Y LECTURA;48965;SUBVENCIÓN A ASOCIACION FERIA DEL LIBRO DE SEVILLA;75.000","00","",,""
"33210;PROGRAMA DE FOMENTO LIBRO Y LECTURA;48966;SUBVENCIÓN A ASOCIACIÓN FERIAL DEL LIBRO ANTIGUO;25.000","00","",,""
"33210;PROGRAMA DE FOMENTO LIBRO Y LECTURA;48968;SUBVENCIÓN PARA EL FOMENTO DE LA LECTURA Y APOYO A LIBRERÍAS;95.000","00","",,""
"33300;PROGRAMA DE EXPOSICIONES;22609;ACTIVIDADES CULTURALES ;250.000","00","",,""
"33307;PROGRAMA DE DISTRITOS;22609;ACTIVIDADES CULTURALES ;115.000","00","",,""
"33400;PROGRAMA DE FOMENTO DE LA CULTURA;22609;ACTIVIDADES CULTURALES ;120.000","00","",,""
"33400;PROGRAMA DE FOMENTO DE LA CULTURA;48900;SUBVENCIÓN A INSTITUCIONES. OTRAS TRANSFERENCIAS;200.000","00","",,""
"33400;PROGRAMA DE FOMENTO DE LA CULTURA;48953;SUBVENCIÓN A ATENEO DE SEVILLA;15.000","00","",,""
"33400;PROGRAMA DE FOMENTO DE LA CULTURA;48968;SUBVENCIÓN A ACADEMIA DE BELLAS ARTES;15.000","00","",,""
"33401;PROGRAMA FESTIVAL DE CINE;20200;ARRENDAMIENTOS DE EDIFICIOS Y OTRAS CONSTRUCCIONES ;80.000","00","",,""
"33401;PROGRAMA FESTIVAL DE CINE;20300;ARREND. MAQUINA. INSTALACIÓN Y UTILLAJES;163.090","48","",,""
"33401;PROGRAMA FESTIVAL DE CINE;22400;SEGUROS;960","00","",,""
"33401;PROGRAMA FESTIVAL DE CINE;22601;ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS;200.000","00","",,""
"33401;PROGRAMA FESTIVAL DE CINE;22602;PUBLICIDAD;152.257","00","",,""
"33401;PROGRAMA FESTIVAL DE CINE;22609;ACTIVIDADES CULTURALES ;154.000","00","",,""
"33401;PROGRAMA FESTIVAL DE CINE;22799;TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES;312.354","00","",,""
"33402;PROGRAMA DE ARTE EMERGENTE Y NUEVOS MEDIOS;22609;ACTIVIDADES CULTURALES ;150.000","00","",,""
"33402;PROGRAMA DE ARTE EMERGENTE Y NUEVOS MEDIOS;48901;SUBVENCIÓN A NUEVAS PROPUESTAS CULTURALES;20.000","00","",,""
"33403;PROGRMA DEL AÑO MURILLO;22400;SEGUROS;80.000","00","",,""
"33403;PROGRMA DEL AÑO MURILLO;22602;PUBLICIDAD;125.000","00","",,""
"33403;PROGRMA DEL AÑO MURILLO;22606;REUNIONES Y CONFERENCIAS;60.000","00","",,""
"33403;PROGRMA DEL AÑO MURILLO;22609;ACTIVIDADES CULTURALES;472.000","00","",,""
"33403;PROGRMA DEL AÑO MURILLO;22799;TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES;400.000","00","",,""
"33403;PROGRMA DEL AÑO MURILLO;62900;INVERSIONES NUEVAS ASOCIADAS A MEJORAS DE FUNCIONAMIENTO;400.000","00","",,""
"33404;PROGRAMA DE ARTES ESCENICAS;22609;ACTIVIDADES CULTURALES ;775.000","00","",,""
"33404;PROGRAMA DE ARTES ESCENICAS;47900;SUBVENCIÓN A ACTIVIDAD ESPACIOS ESCENICOS Y SALAS;165.000","00","",,""
"33404;PROGRAMA DE ARTES ESCENICAS;47980;SUBVENCIÓN A NOLETIA CIRCADA;50.000","00","",,""
"33404;PROGRAMA DE ARTES ESCENICAS;48910;SUBVENCIÓN A TRANSFORM. MUESTRA INTERNACIONAL DE DANZA;75.000","00","",,""
"33404;PROGRAMA DE ARTES ESCENICAS;48967;SUBVENCIÓN A ASOCI. ESCENARIOS DE SEVILLA. FESTIVAL INTERN. TEATRO;95.000","00","",,""
"33405;PROGRAMA DE MUSICA;22609;ACTIVIDADES CULTURALES ;500.000","00","",,""
"33405;PROGRAMA DE MUSICA;47960;SUBVENCIÓN A LA MOTA EDICIONES S.C.A. MONKEY WEEK;50.000","00","",,""
"33405;PROGRAMA DE MUSICA;47970;SUBVENCIÓN A ORQUESTA BARROCA DE SEVILLA;85.000","00","",,""
"33405;PROGRAMA DE MUSICA;48930;SUVBENCIÓN A LAS JUVENTUDES MUSICALES;5.000","00","",,""
"33406;PROGRAMA DE FLAMENCO;22609;ACTIVIDADES CULTURALES ;200.000","00","",,""
"33406;;;;","","",,""
"33407;PROGRAMA CULTURA JOVEN;22609;ACTIVIDADES CULTURALES;80.000","00","",,""
"33601;PATRIMONIO HISTORICO;22706;ESTUDIOS Y TRABAJOS TÉCNICOS;40.750","00","",,""
"93400;;35900;OTROS GASTOS FINANCIEROS;16.000","00","",,""
"93400;;35200;INTERESES DE DEMORA;5.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;61900;INVERSIONES DE REPOSICIÓN EN BIENES Y EDIFICIOS;60.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;62600;EQUIPOS PROCESOS INFORMACIÓN;5.000","00","",,""
"33000;ADMINISTRACION GENERAL DE CULTURA;62900;INVERSIONES NUEVAS ASOCIADAS A MEJORAS DE FUNCIONAMIENTO;50.000","00","",,""
"33210;PROGRAMA DE FOMENTO LIBRO Y LECTURA;61900;INVERSIONES DIGITALIZACIÓN HEMEROTECA;60.000","00","",,""
"33210;PROGRAMA DE FOMENTO LIBRO Y LECTURA;62900;INVERSIONES FONDOS BIBLIOGRÁFICOS;175.250","00","",,""
"33400;PROGRAMA DE FOMENTO DE LA CULTURA;61900;INVERSIONES REHABILITACION EDIFICIOS ;365.000","00","",,""
