"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales"
34300,"Rendimiento de Actividades del IMD",4506926.53
38900,"Otros ingreos de operaciones corrientes",0.00
39300,"Intereses de demora",0.00
39901,"Otros Ingresos diversos",125000.00
40000,"Transferencias Corrientes del Ayuntamiento de Sevilla",21219737.32
52000,"Intereses en Cuentas Corrientes",400.00
55001,"Concesiones Administrativas por Instalaciones",461164.40
55002,"Concesiones Administrativas por Publicidad",284642.28
70000,"Transferencias Capital Ayuntamiento de Sevilla",3998991.91
83000,"Reint. Préstamos Concedidos Personal Laboral fijo del I.D.",36097.00
