"CÓDIGO VPT","GR.","NIV.","DENOMINACION","Nº TOTAL","OCUP.","VAC."
61100,"A1",29,"JEFE SERVICIO TAG",4,3,1
71300,"A1",29,"JEFE SERVICIO T.S.",1,1,0
61200,"A1",27,"ADJUNTO SERVICIO T.A.G.",3,3,0
78100,"A1",27,"JEFE INSPECCION TRIBUTOS",1,1,0
78200,"A1",26,"INSPECTOR DE TRIBUTOS",10,9,1
61300,"A1",25,"JEFE SECCION TAG",8,7,1
61400,"A1",24,"ADJUNTO SECCION TAG",3,3,0
61500,"A1",23,"JEFE NEGOCIADO TAG",3,3,0
61700,"A1",22,"T.A.G.",2,2,0
72200,"A2",23,"JEFE SECCIÓN   T.M.",1,1,0
72400,"A2",20,"TECNICO MEDIO",1,0,1
72402,"A2",20,"TECNICO MEDIO INFORMÁTICA",0,0,0
62000,"C1",22,"ADJUNTO SECCION ADMTVO.",2,1,1
78300,"C1",21,"INSPECTOR AUX. TRIBUTOS",2,2,0
62100,"C1",21,"JEFE NEGOCIADO. ADMTVO",7,6,1
62200,"C1",19,"JEFE GRUPO ADMINISTRATIVO",8,8,0
73201,"C1",19,"JEFE GR.TÉC.AUX.PROGRAMADOR",1,1,0
73202,"C1",19,"JEFE GRUPO TEC. AUX. DELINEANTE OFIC. TECNICA ",1,1,0
73404,"C1",18,"DELINEANTE",1,0,1
73400,"C1",18,"TÉCNICO AUXILIAR C",0,0,0
62300,"C1",17,"ADMINISTRATIVO",13,10,3
63300,"C2",18,"JEFE GR.AUX. ADMINISTRATIVO",9,9,0
63100,"C2",16,"SECRETARIA DIRECCIÓN",3,3,0
63200,"C2",16,"AUXILIAR DE INFORMACIÓN",53,53,0
63400,"C2",15,"AUXILIAR ADMINISTRATIVO",16,15,1
,"",,"",,,
