"CÓDIGO VPT","GR.","NIV.","DENOMINACION","Nº TOTAL","OCUP.","VAC."
81000,"A1",27,"ASESOR JURIDICO LAB.",1,1,0
81025,"A2",20,"TECNICO MEDIO INFORM. LAB",4,4,0
81050,"C1",21,"JEFE NEGOCIADO. ADMTVO LAB",14,14,0
81100,"C1",19,"JEFE ADMINISTRATIVO",12,12,0
81150,"C1",18,"TÉCNICO AUXILIAR INFORM. LAB",4,4,0
81200,"C1",17,"OFICIAL ADMINISTRATIVO",18,13,5
81250,"C2",18,"JEFE GR.AUX. ADMVO LAB",6,6,0
81276,"C2",16,"SECRETARIA DIRECCIÓN LAB",2,2,0
81275,"C2",16,"AUXILIAR DE INFORMACIÓN LAB",18,17,1
81300,"C2",15,"AUXILIAR ADMINISTRATIVO LAB",7,5,2
,"",,"",,,
