"FECHA Y HORA","DISTRITO","VOTOS","P01 VOTOS SI","P01 VOTOS NO","P02 VOTOS SI","P02 VOTOS NO","P01 SI (%)","P01 NO (%)","P02 SI (%)","P02 NO (%)","PARTICIPACION DISTRITO(%)","CENSADOS DISTRITO","DIST"
09/23/2016 15:01:00,1,4125,2154,1971,3038,1087,522,477,736,263,80,51199,"Distrito Casco Antiguo"
09/23/2016 15:01:00,10,2442,1357,1085,1906,536,555,444,780,219,73,33239,"Distrito Bellavista-La Palmera"
09/23/2016 15:01:00,11,2475,914,1561,1791,684,369,630,723,276,115,21446,"Distrito Los Remedios"
09/23/2016 15:01:00,2,3280,2291,989,2765,515,698,301,842,157,50,64880,"Distrito Macarena"
09/23/2016 15:01:00,3,4229,2063,2166,3195,1034,487,512,755,244,96,43745,"Distrito Nervión"
09/23/2016 15:01:00,4,3187,2482,705,2804,383,778,221,879,120,43,74008,"Distrito Cerro-Amate"
09/23/2016 15:01:00,5,3875,2089,1786,3035,840,539,460,783,216,65,59355,"Distrito Sur"
09/23/2016 15:01:00,6,3776,2163,1613,2992,784,572,427,792,207,89,42307,"Distrito Triana"
09/23/2016 15:01:00,7,3842,2992,850,3361,481,778,221,874,125,61,62033,"Distrito Norte"
09/23/2016 15:01:00,8,3737,2417,1320,3099,638,646,353,829,170,71,52573,"Distrito San Pablo-Santa Justa"
09/23/2016 15:01:00,9,5691,4211,1480,4977,714,739,260,874,125,68,83549,"Distrito Este-Alcosa-Torreblanca"
