"Org.","Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
0,221,83000,"ANTICIPOS REINTEGRABLES",60000.00,60000.00,18000.00,18000.00,18000.00,18000.00
0,330,10100,"RETRIBUCIONES ALTOS CARGOS",60429.60,63044.67,37146.27,37146.27,37146.27,32829.87
0,330,11000,"RETRIBUCIONES PERSONAL EVENTUAL",0.00,1420.86,1420.86,1420.86,1420.86,1420.86
0,330,13100,"Retribuciones personal laboral eventual",84433.81,84433.81,31289.15,31289.15,31289.15,24355.73
0,330,13002,"OTRAS REMUNERACIONES PERSONAL LABORAL",662000.00,662000.00,475523.84,475523.84,475523.84,420522.18
0,330,13001,"HORAS EXTRAS Y OTRAS REMUNERACIONES",50000.00,50000.00,21028.00,21028.00,21028.00,21028.00
0,330,13000,"RETRIBUCIONES BÁSICAS PERSONAL LABORAL",710000.00,710000.00,261784.31,261784.31,261784.31,232859.10
0,330,15000,"PRODUCTIVIDAD",131000.00,131000.00,68294.08,68294.08,68294.08,58911.31
0,330,16204,"Ayudas escolares, prótesis, etc.",35484.37,35484.37,18528.40,18528.40,18528.40,14704.79
0,330,16200,"Formación y perfeccionamiento del personal.",8000.00,8000.00,0.00,0.00,0.00,0.00
0,330,16103,"PRESTACIONES SOCIALES",5000.00,5000.00,0.00,0.00,0.00,0.00
0,330,16000,"SEGURIDAD SOCIAL",543794.93,543794.93,282737.37,282737.37,282737.37,282737.37
0,330,21600,"Equipamiento procesos informáticos",8000.00,8730.00,8727.27,8727.27,2833.27,2833.27
0,330,22400,"PRIMAS DE SEGUROS",9000.00,8270.00,339.30,339.30,339.30,339.30
0,330,22200,"TELEFÓNICA",20000.00,20000.00,6288.16,6288.16,6288.16,6288.16
0,330,22104,"VESTUARIO",14000.00,14000.00,14000.00,14000.00,0.00,0.00
0,330,22001,"Material oficina anuncios boletín",2000.00,2000.00,0.00,0.00,0.00,0.00
0,330,22000,"MATERIAL DE OFICINA",6000.00,6000.00,6000.00,6000.00,3032.73,2059.01
0,334,13002,"OTRAS RETRIBUCIONES COMPLEMENTARIAS (RPT)",100000.00,95964.07,0.00,0.00,0.00,0.00
0,334,22706,"ESTUDIOS Y TRABAJOS TÉCNICOS",300000.00,300000.00,233183.47,232941.47,48655.35,37224.16
0,334,22699,"OTROS GASTOS DIVERSOS",45000.00,45000.00,17333.34,17333.34,8730.32,7104.99
0,334,22609,"ACTIVIDADES CULTURALES Y DEPORTIVAS",440000.00,440000.00,361243.08,329783.08,31346.87,30835.52
0,334,22606,"REUNIONES Y CONFERENCIAS",3000.00,3000.00,1100.00,1100.00,1100.00,1100.00
0,334,22602,"PUBLICIDAD Y PROPAGANDA",28000.00,28000.00,19662.00,19662.00,14762.00,14762.00
0,334,22601,"ATENCIONES PROTOCOLARIAS",11500.00,11500.00,8609.15,8609.15,4191.68,4191.68
0,334,41000,"CONVENIO DE COLABORACIÓN CON ICAS",1000000.00,1000000.00,152540.00,152540.00,152540.00,152540.00
0,334,42000,"A LA ADMINISTRACIÓND EL ESTADO. CONVENIO CON PATRIMONIO",52000.00,52000.00,0.00,0.00,0.00,0.00
0,334,46200,"APORTACIÓN AL AYUNTAMIENTO FUNCIONARIOS",330000.00,330000.00,195634.99,195634.99,195634.99,195634.99
0,334,48100,"Premios, Becas, Est. E Investg.",10000.00,10000.00,0.00,0.00,0.00,0.00
0,334,64000,"INVERSIONES INMATERIALES",1000.00,1000.00,0.00,0.00,0.00,0.00
0,336,21300,"MAQUINARIA E INSTALACIONES",150000.00,150000.00,62156.62,62156.62,16194.19,10881.29
0,336,21200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",178000.00,278000.00,216756.94,113785.94,18437.94,18437.94
0,336,21000,"INFRAESTRUCTURAS Y BIENES NATURALES",200000.00,200000.00,176519.58,163814.58,61959.87,55942.87
0,336,22799,"OTROS TRABAJOS REALIZADOS POR OTRAS EMP. Y PROF.",7000.00,7000.00,5553.90,5553.90,2819.30,2364.34
0,336,22701,"SEGURIDAD",945000.00,1195000.00,1144046.12,901872.90,421993.72,409114.66
0,336,22700,"LIMPIEZA Y ASEO",260150.00,260150.00,286713.06,286713.06,139110.56,116322.87
0,336,22103,"COMBUSTIBLES Y CARBURANTE",3000.00,3000.00,955.87,955.87,955.87,955.87
0,336,22101,"AGUA",30000.00,30000.00,6972.69,6972.69,6972.69,6972.69
0,336,22100,"ENERGÍA ELÉCTRICA",110000.00,110000.00,76877.20,76877.20,76877.20,68027.49
0,336,62900,"OTRAS INVERSIONES NUEVAS ASOCIADAS AL FUNCIONAMIENTO OPERATI",88000.00,88000.00,59259.15,59259.15,59259.15,59259.15
0,336,62700,"PROYECTOS COMPLEJOS",800000.00,450000.00,151544.10,151544.10,135572.10,129048.99
0,336,62600,"EQUIPOS INFORMÁTICOS",15000.00,15000.00,9952.25,9952.25,9952.25,9952.25
0,336,62500,"MOBILIARIO Y ENSERES",50000.00,50000.00,34848.00,10269.88,0.00,0.00
0,336,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",60000.00,60000.00,32136.44,32136.44,19885.79,4389.32
0,336,62200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",685000.00,685000.00,294311.05,179113.99,148467.45,148467.45
