ID,ACTE,DESCRIPCIO,EMAIL_ACTE,WEB_ACTE,A_CARREC,LLOC,DATA_INI,DATA_FI,GRATUIT,PREU,HORA_INI,HORA_FI,IMATGE,DISTRICTE,TIPUS_ACTE,OBSERVACIONS,CICLE,DESCRIPCIOCICLE,CICLE_DATA_INI,CICLE_DATA_FI,DATA_PUB,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,URL,LOCALITZACIO
92200,Art a la ciutat Exposició guiada  Loop Doscovery ,Gent gran,gentgran@terrassa.cat                                                                               ,,GUIA EXPERT I/O AUTORS,Sala Muncunill,16/11/2017,16/11/2017,T,,10:00:00,12:00:00,,1,,Mostra col.lectiva que recull els videos finalistes del premi de video creació Discovery,ACTIVA +60                                                                                                                                                                                              ,,01/02/2017,31/12/2017,23/02/2017,417574.3624,4602036.1804,417480.3790,4601831.9617,2.0103327,41.5639065,http://www.terrassa.cat/veureacte?numActe=92200,"(41.56390648706584, 2.0103326857101815)"
95400,Club de Lectura de Teatre:  Maria Estuard  de F. von Schiller,Literatura i poesia,bct@terrassa.act                                                                                    ,http://www.terrassa.cat/ca/acostat                                                                  ,GUILLEM-JORDI GRAELLS,Biblioteca Central de Terrassa - BCT,16/11/2017,16/11/2017,F,"13,45 euros                                                                                                                                                                                                                                                    ",19:00:00,20:30:00,,1,,Places limitades. Cal inscripció prèvia a la Biblioteca Central de Terrassa a partir del 15 de setembre de 2017,ACOSTA T A LA LECTURA                                                                                                                                                                                   ,"Les biblioteques esdevenen llocs de trobada per a totes les persones ineressades en la literatura, en les seves manifestacions i amb ganes de comentar i intercanviar impressions sobre obres literàries, conduïts i animats per professionals. Cada biblioteca us informarà dels tallers que realitza (dates, horaris, llibres que es treballaran, període d inscripció...)",01/09/2016,30/06/2025,06/10/2017,417541.0011,4602607.8482,417447.0220,4602403.6307,2.0098541,41.5690515,http://www.terrassa.cat/veureacte?numActe=95400,"(41.56905149500609, 2.0098540804792115)"
95500,Curs: Iniciació a la informàtica inicial,Literatura i poesia,bd6@terrassa.cat                                                                                    ,http://www.terrassa.cat/bd6                                                                         ,JORDI GAMUNDI I PACO TRIVIÑO,Biblioteca Districte 6 - BD6,11/11/2017,11/11/2017,T,,10:00:00,11:00:00,,6,CURSOS,Activitat gratuïta. a la biblioteca. Telèfon 937 397 420,,,,,17/10/2017,418878.4684,4603502.4622,418784.4982,4603298.2359,2.0257725,41.5772454,http://www.terrassa.cat/veureacte?numActe=95500,"(41.57724535389211, 2.025772547231101)"
90419,Exposició permanent:  Joaquím Torres García. Pintures de Mon Repòs ,Exposicions,,http://www.fundacioct.cat/exposicio/joaquim-torres-garcia-pintures-de-mon-repos/                    ,,Centre Cultural Terrassa,,,F,,,,,1,,Col.lecció de la Fundació Antiga Caixa de Terrassa.,,,,,23/02/2017,417279.1250,4602301.0625,417185.1432,4602096.8465,2.0067559,41.5662615,http://www.terrassa.cat/veureacte?numActe=90419,"(41.56626150999005, 2.0067558628216884)"
91413,Estrelles del Ballet de la Ópera de París,Dansa,fundacioct@fundacioct.cat                                                                           ,http://www.fundacioct.cat/programacio/estrelles-del-ballet-de-lopera-de-paris/                      ,BALLET ÓPERA DE PARÍS,Centre Cultural Terrassa,16/12/2017,,F,30-40 euros                                                                                                                                                                                                                                                    ,20:00:00,,,1,,Venda d entrades online: https://centrecultural.koobin.com/index.php,34A TEMPORADA DE DANSA 2017 AL CENTRE CULTURAL                                                                                                                                                          ,,03/09/2017,13/01/2018,22/12/2016,417279.1250,4602301.0625,417185.1432,4602096.8465,2.0067559,41.5662615,http://www.terrassa.cat/veureacte?numActe=91413,"(41.56626150999005, 2.0067558628216884)"
91490,"Fira-mercat Intercanvi, promoció del col.leccionisme i antigüitats",Altres activitats,,,,Museu de la Ciència i de la Tècnica de Catalunya - mNACTEC,31/12/2016,31/12/2017,F,,10:00:00,14:00:00,,1,,,,,,,30/12/2016,417336.2188,4602169.1250,417242.2361,4601964.9084,2.0074587,41.5650792,http://www.terrassa.cat/veureacte?numActe=91490,"(41.56507918807833, 2.007458696947104)"
91570,"Ruta guiada: Fàbrica i Somnis, el somni d un obrer",Sortides/Excursions,turisme@terrassa.cat                                                                                ,http://www.visitaterrassa.cat                                                                       ,,Museu de la Ciència i de la Tècnica de Catalunya - mNACTEC,05/11/2017,05/11/2017,F,"6 euros (adults) 4,20 euros (persones majors de 65 anys, famílies nombroses i Carnet Jove) 3 euros (nens de 6 a 16 anys, persones a l atur i  persones amb discapacitat acreditada) Gratuït: menors de 6 anys                                               ",10:30:00,12:30:00,,1,,"Inclou: visita guiada al mNACTEC i a la Casa Alegre de Sagrera. Cal fer reserva prèvia. Informació  i inscripcions: Oficina de Turisme de l Ajuntament de Terrassa (Parc de Sant Jordi - pl. Josep Freixa i Argemí, 11). Tel. 937 397 019",,,,,24/02/2017,417336.2188,4602169.1250,417242.2361,4601964.9084,2.0074587,41.5650792,http://www.terrassa.cat/veureacte?numActe=91570,"(41.56507918807833, 2.007458696947104)"
91571,"Ruta guiada: Fàbrica i Somnis, el somni d un obrer",Sortides/Excursions,turisme@terrassa.cat                                                                                ,http://www.visitaterrassa.cat                                                                       ,,Museu de la Ciència i de la Tècnica de Catalunya - mNACTEC,03/12/2017,03/12/2017,F,"6 euros (adults) 4,20 euros (persones majors de 65 anys, famílies nombroses i Carnet Jove) 3 euros (nens de 6 a 16 anys, persones a l atur i  persones amb discapacitat acreditada) Gratuït: menors de 6 anys                                               ",10:30:00,12:30:00,,1,,"Inclou: visita guiada al mNACTEC i a la Casa Alegre de Sagrera. Cal fer reserva prèvia. Informació  i inscripcions: Oficina de Turisme de l Ajuntament de Terrassa (Parc de Sant Jordi - pl. Josep Freixa i Argemí, 11). Tel. 937 397 019",,,,,23/02/2017,417336.2188,4602169.1250,417242.2361,4601964.9084,2.0074587,41.5650792,http://www.terrassa.cat/veureacte?numActe=91571,"(41.56507918807833, 2.007458696947104)"
91591,"Ruta guiada: Seu d Ègara, un tresor amagat",Sortides/Excursions,turisme@terrassa.cat                                                                                ,http://www.visitaterrassa.cat                                                                       ,,Museu de Terrassa - Seu d Ègara. Esglésies de Sant Pere de Terrassa,19/08/2017,16/12/2017,F,"6 euros (adults) 4,20 euros (persones majors de 65 anys, famílies nombroses i Carnet Jove) 3 euros (nens de 6 a 16 anys, persones a l atur i  persones amb discapacitat acreditada) Gratuït: menors de 6 anys                                               ",11:00:00,12:30:00,,1,,"Inclou: visita guiada i entrada a la Seu d Ègara. Cal fer reserva prèvia. Informació  i inscripcions: Oficina de Turisme de l Ajuntament de Terrassa (Parc de Sant Jordi - pl. Josep Freixa i Argemí, 11). Tel. 937 397 019",,,,,30/08/2017,418240.8005,4602365.3248,418146.8207,4602161.1016,2.0182794,41.5669392,http://www.terrassa.cat/veureacte?numActe=91591,"(41.56693924016049, 2.0182793906980367)"
91594,"Ruta guiada: Seu d Ègara, un tresor amagat",Sortides/Excursions,turisme@terrassa.cat                                                                                ,http://www.visitaterrassa.cat                                                                       ,,Museu de Terrassa - Seu d Ègara. Esglésies de Sant Pere de Terrassa,18/11/2017,18/11/2017,F,"6 euros (adults) 4,20 euros (persones majors de 65 anys, famílies nombroses i Carnet Jove) 3 euros (nens de 6 a 16 anys, persones a l atur i  persones amb discapacitat acreditada) Gratuït: menors de 6 anys                                               ",11:00:00,12:30:00,,1,,"Inclou: visita guiada i entrada a la Seu d Ègara. Cal fer reserva prèvia. Informació  i inscripcions: Oficina de Turisme de l Ajuntament de Terrassa (Parc de Sant Jordi - pl. Josep Freixa i Argemí, 11). Tel. 937 397 019",,,,,23/02/2017,418240.8005,4602365.3248,418146.8207,4602161.1016,2.0182794,41.5669392,http://www.terrassa.cat/veureacte?numActe=91594,"(41.56693924016049, 2.0182793906980367)"
