ANY_TRIBUT,TAXES_IMPOSTOS,PERIODE_PAGAMENT,DATA_LIMIT_DOMICILIAR,PERCENTATGE_DESCOMPTE
2013,IBI CARACTERISTIQUES ESPECIALS,15/01/2013-14/03/2013,,
2014,TAXA HORTS MUNICIPALS,03/03/2014-02/05/2014,,
2015,IMPOST BENS IMMOBLES,15/01/2015-16/03/2015,,3% - 1%
2015,IMPOST VEHICLES TRACC.MECANICA,15/04/2015-15/06/2015,,1.5%
2015,TAXA MERCADAL MARTI L HUMA,01/06/2015-31/07/2015,,
2016,TAXA CONSERVACIO CEMENTIRI,02/05/2016-01/07/2016,,
2016,IMPOST BENS IMMOBLES,15/01/2016-14/03/2016,,2% - 1%
2017,QUOTA ACTIVITATS,22/05/2017-21/07/2017,03/01/2017,
2017,TAXA GESTIO RESIDUS DOMICILIS,01/06/2017-31/07/2017,,1.5%
2017,IBI CARACTERISTIQUES ESPECIALS,16/01/2017-15/03/2017,,
2013,TAXA ANIMALS COMPANYIA,01/10/2013-02/12/2013,,
2013,TAXA GESTIO RESIDUS ACTIVITATS,03/06/2013-02/08/2013,,1.5%
2015,TAXA GUALS,15/09/2015-16/11/2015,,1%
2016,IMPOST ACTIVITATS ECONOMIQUES,17/05/2016-18/07/2016,,1.5%
2016,TAXA GUALS,15/09/2016-14/11/2016,,1%
2015,TAXA HORTS MPALS. CONSUM AIGUA,01/03/2016-02/05/2016,,
2016,TAXA HORTS MUNICIPALS,01/03/2016-02/05/2016,,
2016,IMPOST BENS IMMOBLES RUSTICS,01/04/2016-31/05/2016,,
2017,TAULES I CADIRES A TERRASSES,01/06/2017-31/07/2017,,
2013,TAXA HORTS MUNICIPALS,01/03/2013-30/04/2013,,
2013,IMPOST BENS IMMOBLES RUSTICS,02/04/2013-03/06/2013,,
2014,IMPOST BENS IMMOBLES RUSTICS,02/04/2014-02/06/2014,,
2015,IMPOST ACTIVITATS ECONOMIQUES,15/05/2015-14/07/2015,,1.5%
2015,TAXA ANIMALS COMPANYIA,01/10/2015-30/11/2015,,
2015,TAXA GESTIO RESIDUS DOMICILIS,01/06/2015-31/07/2015,,1.5%
2016,TAXA GESTIO RESIDUS DOMICILIS,01/06/2016-01/08/2016,,1.5%
2016,TAXA HORTS MPALS. CONSUM AIGUA,01/03/2017-02/05/2017,,
2017,QUOTA ACTIVITATS,06/03/2017-05/05/2017,03/01/2017,
2017,TAXA CONSERVACIO CEMENTIRI,02/05/2017-04/07/2017,,
2017,TAXA ANIMALS COMPANYIA,02/10/2017-01/12/2017,,
2013,TAXA GUALS,16/09/2013-15/11/2013,,1%
2013,IMPOST VEHICLES TRACC.MECANICA,15/04/2013-14/06/2013,,1.5%
2013,IMPOST BENS IMMOBLES,15/01/2013-14/03/2013,,3% - 1%
2014,TAXA GESTIO RESIDUS ACTIVITATS,02/06/2014-01/08/2014,,1.5%
2015,TAXA CONSERVACIO CEMENTIRI,04/05/2015-03/07/2015,,
2016,IMPOST VEHICLES TRACC.MECANICA,15/04/2016-14/06/2016,,1.5%
2016,TAXA MUSICA PARA-ACADEMIQUES,20/05/2016-19/07/2016,,
2013,IMPOST ACTIVITATS ECONOMIQUES,15/05/2013-15/07/2013,,1.5%
2013,TAXA MERCADAL MARTI L HUMA,03/06/2013-02/08/2013,,
2014,IMPOST ACTIVITATS ECONOMIQUES,15/05/2014-14/07/2014,,1.5%
2014,IMPOST VEHICLES TRACC.MECANICA,15/04/2014-16/06/2014,,1.5%
2014,TAXA CONSERVACIO CEMENTIRI,02/05/2014-01/07/2014,,
2015,TAXA GESTIO RESIDUS ACTIVITATS,01/06/2015-31/07/2015,,1.5%
2014,TAXA HORTS MPALS. CONSUM AIGUA,02/03/2015-04/05/2015,,
2016,TAXA GESTIO RESIDUS ACTIVITATS,01/06/2016-01/08/2016,,1.5%
2017,TAXA GUALS,15/09/2017-14/11/2017,,1%
2017,TAXA HORTS MUNICIPALS,01/03/2017-02/05/2017,,
2017,IMPOST BENS IMMOBLES RUSTICS,03/04/2017-02/06/2017,,
2014,TAXA GUALS,15/09/2014-14/11/2014,,1%
2017,TAXA GESTIO RESIDUS ACTIVITATS,01/06/2017-31/07/2017,,1.5%
2014,TAXA ANIMALS COMPANYIA,01/10/2014-01/12/2014,,
2014,TAXA MERCADAL MARTI L HUMA,02/06/2014-01/08/2014,,
2014,IMPOST BENS IMMOBLES,15/01/2014-14/03/2014,,3% - 1%
2015,IBI CARACTERISTIQUES ESPECIALS,15/01/2015-16/03/2015,,
2015,IMPOST BENS IMMOBLES RUSTICS,01/04/2015-01/06/2015,,
2016,TAULES I CADIRES A TERRASSES,01/06/2016-01/08/2016,,
2017,IMPOST ACTIVITATS ECONOMIQUES,15/05/2017-14/07/2017,,1.5%
2017,IMPOST VEHICLES TRACC.MECANICA,18/04/2017-19/06/2017,,1.5%
2017,IMPOST BENS IMMOBLES,16/01/2017-15/03/2017,,2% - 1%
2013,TAXA GESTIO RESIDUS DOMICILIS,03/06/2013-02/08/2013,,1.5%
2014,TAXA GESTIO RESIDUS DOMICILIS,02/06/2014-01/08/2014,,1.5%
2013,TAXA HORTS MPALS. CONSUM AIGUA,03/03/2014-02/05/2014,,
2014,IBI CARACTERISTIQUES ESPECIALS,15/01/2014-14/03/2014,,
2015,TAXA HORTS MUNICIPALS,02/03/2015-04/05/2015,,
2016,TAXA ANIMALS COMPANYIA,03/10/2016-02/12/2016,,
2016,IBI CARACTERISTIQUES ESPECIALS,15/01/2016-14/03/2016,,
