CARRERS_CODI,CARRERS_TIPUS_VIA,CARRERS_NOM_OFICIAL,CARRERS_NOM18
300,PL,BALTASAR RAGON,DE BALTASAR RAGON
305,CA,BARACALDO,DE BARACALDO
310,AV,BARCELONA,DE BARCELONA
311,CA,BARDISSA,DE LA BARDISSA
315,CA,BARTOMEU AMAT,DE BARTOMEU AMAT
320,CA,BARTRINA,DE BARTRINA
325,PA,BASTARD,DE BASTARD
330,CA,BEETHOVEN,DE BEETHOVEN
335,AV,BÉJAR,DE BÉJAR
336,PA,BÉJAR,DE BÉJAR
340,PA,BÈLGICA,DE BÈLGICA
345,CA,BELLAVISTA,DE LA BELLAVISTA
350,CA,BERGA,DE BERGA
355,CA,BERGUEDÀ,DEL BERGUEDÀ
360,CA,BERNAT DE L OM,DE BERNAT DE L OM
365,CA,BESÒS,DEL BESÒS
370,CA,BIDASOA,DEL BIDASOA
385,CA,BISBAL,DE LA BISBAL
390,CA,BLANES,DE BLANES
391,CA,BLANCA DE CENTELLES,DE BLANCA DE CENTELLES
395,CA,BLASCO DE GARAY,DE BLASCO DE GARAY
396,CA,BOIX,DEL BOIX
405,CA,BONAVENTURA CASTELLET,DE BONAVENTURA CASTELLET
410,CA,BORGES BLANQUES,DE LES BORGES BLANQUES
411,CA,BÒBILA,DE LA BÒBILA
412,CA,BOSC,DEL BOSC
414,CA,BOSCH I GIMPERA,DE BOSCH I GIMPERA
415,CA,BRETÓN,DE BRETÓN
420,CA,BRUC,DEL BRUC
425,CA,BULGÀRIA,DE BULGÀRIA
430,CA,BURGOS,DE BURGOS
435,CA,CÀCERES,DE CÀCERES
440,PA,CADÍ,DEL CADÍ
445,CA,CADIS,DE CADIS
450,CA,CALAF,DE CALAF
451,CA,CALELLA,DE CALELLA
455,CA,CALDERÓN DE LA BARCA,DE CALDERÓN DE LA BARCA
461,CA,CAMAMILLA,DE LA CAMAMILLA
462,CA,CAMPIONES OLÍMPIQUES,DE LES CAMPIONES OLÍMPIQUES
465,CA,CAMBRILS,DE CAMBRILS
467,CM,,VELL DE TERRASSA A VACARISSES 
469,CA,CAMÍ DE LA SENYORA,DEL CAMÍ DE LA SENYORA
470,CA,CAMPRODON,DE CAMPRODON
471,CA,CAMÍ FONT DE LES CANYES,DEL CAMÍ FONT DE LES CANYES
472,DS,,CAN BARBA 
474,MA,,CAN FIGUERES 
