CODI_CARRER,NOM_CARRER,DISTRICTE,NUMERO_INICIAL,NUMERO_FINAL
0,FICTICI                       ,,0,38
5,"ABAT MARCET, DE L             ",5,0,368
15,"ABLA, D                       ",5,1,17
20,"ABRUCENA, D                   ",5,2,48
25,"ADRA, D                       ",5,1,107
26,"ÀFRICA,D                      ",3,13,105
30,"AGRICULTURA, DE L             ",3,0,307
45,"AGUT, DE L                    ",5,1,7
50,"ÀLABA, D                      ",2,10,358
55,"ALBACETE, D                   ",5,1,37
60,"ALBÉNIZ, D                    ",5,1,31
65,"ALCOI, D                      ",5,1,156
70,"ALEXANDER BELL, D             ",4,0,161
73,"ALEXANDRE DE RIQUER, D        ",5,1,51
75,"ALGESIRES, D                  ",5,2,6
77,"ALGUER, DE L                  ",6,14,56
84,"ALBÍ, D                       ",6,1,31
85,"ALACANT, D                    ",4,1,40
86,"ALBERT EINSTEIN, D            ",3,1,61
90,"ALMERIA, D                    ",6,2,157
95,"AMADEU DE SAVOIA, D           ",5,2,168
96,"AMETLLERS, DELS               ",5,11,73
97,"CAMÍ DE CAN PI, DEL           ",5,0,24
98,"JACINT BADIELLA, DE           ",5,4,18
100,"JOCS OLÍMPICS, DELS           ",5,5,122
105,"PAPAROLA, DE LA               ",3,1,32
115,"AMPOSTA, D                    ",6,2,109
125,"ANCIANITAT, DE L              ",5,2,120
130,AMPLE                         ,5,0,323
135,AMPLE                         ,5,3,13
145,"ANETO, DE L                   ",6,1,162
150,"ÀNGEL GUIMERÀ, D              ",3,1,235
155,"ÀNGEL SALLENT, D              ",4,0,200
156,"ANGOLA, D                     ",3,1,10
157,"ANTON FRANCH, D               ",4,1,22
160,"ANTONI BARATA, D              ",5,1,47
165,"ANTONI MAURA, D               ",5,1,18
175,"FRANCESC LAYRET, DE           ",4,1,22
176,"APOL.LO, D                    ",3,7,114
180,"ARAGÓ, D                      ",4,1,19
184,"ARIEJA, DE L                  ",6,1,40
185,"ARENYS DE MAR, D              ",5,0,36
186,"ÀRIES, D                      ",3,1,469
187,"ARGENTINA, DE L               ",4,0,20
195,"ARQUIMEDES, D                 ",4,0,267
200,"ARQ. PUIG I CADAFALCH, DE L   ",1,2,136
201,"ASSUTZENA, DE L               ",3,1,15
205,"ASTÚRIES, D                   ",2,28,70
210,"ATENES, D                     ",4,1,84
215,"ATLÀNTIDA, DE L               ",4,1,10
220,"AURORA, DE L                  ",1,1,44
225,"AUSIÀS MARC, D                ",4,1,60
230,"ÀVILA, D                      ",4,1,29
240,"AZORÍN, D                     ",3,1,19
250,"BADALONA, DE                  ",3,1,8
255,"BAEZA, DE                     ",5,1,30
260,"BAGES, DEL                    ",3,1,187
265,"BEGUR, DE                     ",6,1,69
270,"BAILÉN, DE                    ",4,0,87
275,"BAIX, DE                      ",1,0,67
285,"BALDRICH, DE                  ",1,0,285
290,"BALEARS, DE LES               ",6,1,20
295,"BALMES, DE                    ",5,0,69
300,"BALTASAR RAGON, DE            ",4,1,1
305,"BARACALDO, DE                 ",2,1,44
310,"BARCELONA, DE                 ",1,0,312
311,"BARDISSA, DE LA               ",5,2,17
315,"BARTOMEU AMAT, DE             ",5,0,137
320,"BARTRINA, DE                  ",5,0,254
325,"BASTARD, DE                   ",1,1,17
330,"BEETHOVEN, DE                 ",4,1,46
335,"BÉJAR, DE                     ",5,1,424
336,"BÉJAR, DE                     ",5,2,50
340,"BÈLGICA, DE                   ",3,1,25
345,"BELLAVISTA, DE LA             ",3,1,20
350,"BERGA, DE                     ",5,15,80
355,"BERGUEDÀ, DEL                 ",3,41,130
360,"BERNAT DE L OM, DE            ",1,1,36
365,"BESÒS, DEL                    ",6,1,204
370,"BIDASOA, DEL                  ",6,1,60
380,"BILBAO, DE                    ",2,1,47
385,"BISBAL, DE LA                 ",6,1,20
390,"BLANES, DE                    ",3,1,3
391,"BLANCA DE CENTELLES, DE       ",5,2,50
395,"BLASCO DE GARAY, DE           ",4,0,239
396,"BOIX, DEL                     ",5,1,6
405,"BONAVENTURA CASTELLET, DE     ",1,1,34
410,"BORGES BLANQUES, DE LES       ",6,1,172
411,"BÒBILA, DE LA                 ",3,2,40
412,"BOSC, DEL                     ",5,1,7
414,"BOSCH I GIMPERA, DE           ",3,1,59
415,"BRETÓN, DE                    ",4,1,37
420,"BRUC, DEL                     ",4,0,170
425,"BULGÀRIA, DE                  ",3,1,62
430,"BURGOS, DE                    ",2,1,154
435,"CÀCERES, DE                   ",4,1,12
440,"CADÍ, DEL                     ",6,1,33
445,"CADIS, DE                     ",6,0,90
450,"CALAF, DE                     ",6,1,85
455,"CALDERÓN DE LA BARCA, DE      ",4,1,193
460,"CALIFÒRNIA, DE                ",6,1,28
461,"CAMAMILLA, DE LA              ",5,2,15
462,"CAMPIONES OLÍMPIQUES, DE LES  ",5,7,54
465,"CAMBRILS, DE                  ",6,1,13
466,"CAMERUN, DEL                  ",3,1,28
467,VELL DE TERRASSA A VACARISSES ,5,0,39
469,"CAMÍ DE LA SENYORA, DEL       ",6,10,29
470,"CAMPRODON, DE                 ",6,0,65
471,"CAMÍ FONT DE LES CANYES, DEL  ",6,1,64
472,CAN BARBA                     ,3,1,4
474,CAN FIGUERES                  ,2,1,1
475,"AMAT, DE CA N                 ",,19,19
476,"ROMANÍ, DEL                   ",3,1,64
477,CAN GUITARD DE LA RIERA       ,3,0,33
478,CAN SUAS                      ,3,1,1
480,"CAN BOADA DEL PI, DE          ",5,0,26
481,CAN PI                        ,5,16,24
485,"CAN BOADA DEL PI, DE          ",5,0,13
486,"CAN GORGS, DE                 ",6,1,11
490,"CAN COLOMER, DE               ",5,2,36
491,"CAN CORBERA, DE               ",3,0,31
492,"CAN GONTERES, DE              ",,10,10
493,"CAN CARBONEL, DE              ",,3,3
495,"CAN FALGUERA, DE              ",3,2,16
496,"CAN PETIT, DE                 ",6,0,4
497,"CAN GONTERES, DE              ",5,1,223
498,"CAN PEPET, DE                 ",5,1,32
499,"CANAL DEL BOSC, DE LA         ",6,124,126
500,"CANIGÓ, DEL                   ",6,2,68
501,"CANAL FONDA, DE LA            ",6,60,62
502,"CANAL DEL FORN DEL CARGOL,DE L",6,127,129
503,"CANAL DE LA GUINEU, DE LA     ",6,130,132
504,"CANAL DEL LLOR, DE LA         ",6,64,67
505,"CANONGE RODÓ, DEL             ",1,1,77
507,"CANAL DEL PI TORT, DE LA      ",6,92,123
508,"CANAL DEL SOT, DE LA          ",6,57,58
511,"CAN ROCA, DE                  ",5,1,20
540,"CARDAIRE, DEL                 ",1,1,44
545,"CARDEDEU, DE                  ",5,1,31
550,"CARDENAL CISNEROS, DEL        ",5,1,73
551,"CARRASCO I FORMIGUERA, DE     ",4,1,124
555,"CARDENER, DEL                 ",3,1,8
560,"CARTOIXA DE VALLPARADÍS, DE LA",,1,6
565,"CARTOIXA DE VALLPARADÍS, DE LA",1,1,21
570,"CARTAGENA, DE                 ",2,1,22
575,"CASP, DE                      ",5,1,30
576,"CASTELLSAPERA, DEL            ",6,5,85
580,"CASTELLAR, DE                 ",5,0,999
585,"CAMÍ DE CASTELLAR, DEL        ",5,1,175
586,"CASTELLASSA, DE LA            ",6,0,60
590,"CASTELLBISBAL, DE             ",4,1,22
605,"CASTELL, DEL                  ",1,9,31
610,"CASTELLTERÇOL, DE             ",5,3,40
619,"CATALUNYA, DE                 ",1,1,153
620,"CATALUNYA, DE                 ",5,1,161
621,"CAVALL BERNAT, DEL            ",6,12,46
625,"CEMENTIRI VELL, DEL           ",1,2,66
626,"CENTRE, DEL                   ",3,1,3
630,CENTRAL DE LES FONTS          ,3,0,60
635,"CERDANYA, DE LA               ",6,0,31
640,"SARDENYA, DE                  ",,13,35
645,"CERVANTES, DE                 ",1,0,243
650,"CERVERA, DE                   ",6,0,159
655,"TURONET, DEL                  ",3,1,50
665,"CID CAMPEADOR, DEL            ",5,1,36
670,"JUAN DE LA CIERVA, DE         ",4,0,22
671,"CINCA, DEL                    ",3,0,44
675,"CIRCUMVAL.LACIÓ, DE           ",3,1,20
677,"CIRICI I PELLICER, DE         ",5,3,5
680,"ANTONI BROS, D                ",5,1,155
685,"CISTERNA, DE LA               ",1,1,111
690,"CIUTADELLA, DE                ",6,0,66
695,"CIUDAD REAL, DE               ",2,1,80
700,"CLAUSTRE, DEL                 ",1,1,64
705,"CLAVÉ, DE                     ",1,5,113
710,"CLAVELL, DEL                  ",3,1,15
711,"COLL DE BOIX, DEL             ",6,98,100
715,"COL.LEGI, DEL                 ",1,1,108
725,"COLOM, DE                     ",1,0,606
730,"COLUMEL.LA, DE                ",4,5,30
735,"COMERÇ, DEL                   ",4,1,19
736,COMERCIAL                     ,2,1,42
740,"COMPOSTEL.LA, DE              ",2,27,43
745,"COMTE D ÈGARA, DEL            ",1,0,30
750,"CONCEPCIÓN ARENAL, DE         ",3,1,183
755,"CONCILI EGARENC, DEL          ",4,2,96
760,"CONCÒRDIA, DE LA              ",2,0,3
770,"ÈGARA, D                      ",5,1,306
771,"CONFLENT, DEL                 ",6,2,18
775,"CONSELL DE CENT, DEL          ",6,1,146
780,"CONSTÀNCIA, DE LA             ",2,2,2
785,"CÒRDOVA, DE                   ",6,1,51
790,"CORUNYA, DE LA                ",2,1,47
795,"COSTA RICA, DE                ",4,1,51
796,"COVA DE L ÀNGEL, DE LA        ",6,55,56
797,"COVA DEL DRAC, DE LA          ",6,0,21
798,"COVA SIMANYA, DE LA           ",6,47,53
800,CREMAT                        ,1,1,30
801,"CREU DE CONILL, DE LA         ",4,0,288
805,"CREU, DE LA                   ",5,1,20
806,"CREU, DE LA                   ",,4,18
807,"CAN VILETA, DE                ",5,7,9
810,"CREU GRAN, DE LA              ",1,1,79
812,"CUBA, DE                      ",4,1,90
825,"CONCA, DE                     ",2,1,33
835,"CHURRUCA, DE                  ",5,1,63
840,"ALEMANYA, D                   ",3,0,146
845,"AMÈRICA, D                    ",3,0,62
850,"ANDORRA, D                    ",3,4,15
855,"ANGLATERRA, D                 ",3,1,350
860,"ANTONINUS PIUS, D             ",4,1,212
865,"ÀSIA, D                       ",3,1,24
870,"ÀUSTRIA, D                    ",3,3,11
875,"AVINYÓ ,D                     ",3,0,115
880,"EDISON, D                     ",4,2,142
885,"ÈGARA, D                      ",4,0,394
890,"PRIM, DE                      ",3,1,127
900,"ESCÒCIA, D                    ",3,1,20
905,"ESTANISLAU FIGUERAS ,D        ",1,0,130
910,"EUROPA, D                     ",3,0,340
915,"HOLANDA, D                    ",3,1,168
920,"IRENEU, D                     ",4,1,53
921,"ICÀRIA, D                     ",4,42,133
925,"IRLANDA, D                    ",3,1,14
930,"ISCLE SOLER, D                ",1,1,30
935,"ITÀLIA, D                     ",3,0,48
936,"IUGOSLÀVIA, DE                ",3,1,11
940,"OCEANIA, D                    ",3,1,103
945,"DÀLIA, DE LA                  ",3,1,32
950,"DIBUIXANT AVELLANEDA, DEL     ",5,2,117
955,"DINAMARCA, DE                 ",3,2,18
970,"ALBINYANA, D                  ",3,0,143
975,"DR. AYMERICH I GILABERTÓ, DEL ",2,2,136
980,"DOCTOR CABANES, DEL           ",1,0,50
985,"DOCTOR CADEVALL, DEL          ",1,1,2
990,"DOCTOR CALSINA, DEL           ",6,5,423
995,"DOCTOR CISTARÉ, DEL           ",5,1,168
1000,"DOCTOR FERRAN, DEL            ",6,0,198
1005,"DOCTOR FLEMING, DEL           ",5,1,6
1010,"DOCTOR MARTÍ I JULIÀ, DEL     ",1,1,23
1015,"DOCTOR PEARSON, DEL           ",1,1,163
1020,"DOCTOR ROBERT, DEL            ",1,1,15
1025,"DOCTOR TORRAS I BAGES, DEL    ",3,1,229
1030,"DOCTOR TURRÓ, DEL             ",4,0,67
1035,"DOCTOR ULLÉS, DEL             ",4,0,184
1040,"DOCTOR VENTALLÓ, DEL          ",1,1,26
1045,"DOCTOR ZAMENHOF, DEL          ",4,5,17
1050,"DOM BOSCO, DE                 ",4,0,219
1055,"SEVERO OCHOA, DE              ",4,1,160
1060,"DOS DE MAIG, DEL              ",5,8,77
1065,"DUERO, DEL                    ",3,0,62
1075,"GANDIA, DE                    ",4,2,39
1080,"DUQUESSA DE LA VICTÒRIA, DE LA",3,0,143
1085,"EBRE, DE L                    ",3,0,81
1095,"EDUARD MARQUINA, D            ",5,1,166
1100,"ÈGARA, D                      ",6,246,390
1101,"EGIPTE, D                     ",3,2,26
1105,"ELX, D                        ",2,1,6
1107,"ENRIC TORRELLA, D             ",3,1,2
1110,"EMPERADRIU EUGÈNIA, DE L      ",5,1,122
1115,"ERA, DE L                     ",1,1,63
1120,"ERMITA, DE L                  ",5,1,1
1124,LES CARBONELLES               ,,54,54
1125,"ESCALETES, DE LES             ",1,2,19
1130,"ESCUDÉ, D                     ",3,1,40
1135,"ESCULTOR ARMENGOL, DE L       ",1,8,105
1140,"ESCULTOR BLAY, DE L           ",5,1,31
1145,"ESCULTOR CLARÀ, DE L          ",4,2,60
1146,"ESLA, DE L                    ",3,0,106
1150,"ESPERANTO, DE L               ",3,1,33
1151,"ESQUIROLS, DELS               ",3,1,79
1155,"EUGENI D ORS, D               ",5,0,5
1160,"EUGENI FERRER DALMAU, D       ",3,1,36
1161,"FALCONERA, DE LA              ",6,69,69
1162,DIDÓ                          ,1,1,14
1170,"FALSET, DE                    ",6,1,11
1175,"FARADAY, DE                   ",4,0,175
1180,"FARELL, DEL                   ",6,1,2
1181,"FARIGOLA, DE LA               ",5,1,12
1185,"FÀTIMA, DE                    ",5,1,169
1186,"FEDERICO GARCÍA LORCA, DE     ",6,1,1
1190,"FREDERIC SOLER, DE            ",4,7,147
1195,"FELIP II, DE                  ",4,2,140
1200,"FERRAN CASABLANCAS, DE        ",,1,5
1201,"FERRER I GUÀRDIA, DE          ",4,1,29
1206,"FERRAN CASABLANCAS, DE        ",5,1,15
1210,"FERROCARRIL, DEL              ",5,1,30
1211,"FIGUERA, DE LA                ",5,1,1
1220,"FIGUERES, DE                  ",6,2,27
1221,"FILIPINES, DE LES             ",3,1,42
1222,"FINISTERRE, DE                ",3,0,26
1225,"FLORESTA, DE LA               ",3,1,3
1230,"FLUVIÀ, DEL                   ",6,2,60
1235,"FLANDES, DE                   ",4,1,28
1240,"CAMÍ FONDO, DEL               ",1,2,103
1241,"FENOLLEDA, DE LA              ",6,0,27
1243,"FONT DE LES CANYES, DE LA     ",,30,64
1244,"FONT FLÀVIA, DE LA            ",6,50,59
1245,"FONT TROBADA, DE LA           ",1,1,2
1246,"FONT FREDA, DE LA             ",6,95,100
1248,"FONT DE L OLLA, DE LA         ",6,79,79
1249,"FONT DE LA POLA, DE LA        ",6,1,118
1250,"FONT VELLA, DE LA             ",1,1,103
1251,"MIL.LENARI, DEL               ",6,28,37
1252,"FONT SOLEIA, DE LA            ",6,19,24
1253,"FONT DE LA TARTANA, DE LA     ",6,1,6
1254,"FONT LLICONA, DE LA           ",6,115,120
1255,"FONTANELLA, DE                ",4,0,61
1260,"FORJA, DE LA                  ",5,1,10
1265,"FORMENTERA, DE                ",6,1,17
1270,"FORN,DEL                      ",1,4,35
1275,"FORNOT, DEL                   ",3,1,46
1277,"FRANCISCO DE VITORIA, DE      ",,28,28
1280,"FRAGA, DE                     ",6,1,19
1285,"FRANÇA, DE                    ",3,1,51
1286,"FRANCESC MACIÀ, DE            ",6,1,278
1290,"FRANCISCO DE VITORIA, DE      ",5,1,86
1295,"FRANCESC OLLER, DE            ",5,1,118
1300,"FRANCESC SALVANS, DE          ",5,1,89
1305,"FRANC COMTAT, DEL             ",4,0,317
1310,"FRANCOLÍ, DEL                 ",6,4,61
1320,"FRATERNITAT, DE LA            ",5,1,34
1330,"FRA BONAVENTURA GRAN, DE      ",4,1,24
1335,"FRONTÓ, DEL                   ",1,1,18
1336,"GABON, DEL                    ",3,1,26
1337,"GABRIEL QUEROL, DE            ",1,2,35
1340,"GALÍCIA, DE                   ",3,0,129
1345,"GALILEU, DE                   ",4,2,365
1350,"PAÍS DE GAL.LES, DEL          ",3,0,14
1355,"GALVANI, DE                   ",4,2,169
1360,"GALLIFA, DE                   ",6,2,18
1365,"GANDESA, DE                   ",6,1,1
1366,"GARBÍ, DEL                    ",6,1,1
1370,"GARCIA HUMET, DE              ",1,0,98
1375,"JOSEP-VICENÇ FOIX, DE         ",5,1,45
1380,"GARONA, DE LA                 ",6,1,17
1395,"GASÒMETRE, DEL                ",3,0,150
1400,"GAUDÍ, DE                     ",1,1,15
1405,"TETE MONTOLIU, DE             ",1,1,26
1410,"GAVATXONS, DELS               ",1,2,24
1411,"GÈMINIS, DE                   ",3,1,97
1412,"GAIÀ, DEL                     ",5,0,16
1415,"ALEXANDRE GALÍ, D             ",5,0,138
1420,"GENERAL MILANS DEL BOSCH, DEL ",5,2,20
1425,"GENERAL MORAGUES, DEL         ",5,1,40
1430,"PARÍS, DE                     ",3,0,83
1446,"GENIL, DEL                    ",3,0,8
1450,"GERANI, DEL                   ",3,2,16
1455,"GIRONA, DE                    ",6,1,444
1460,"GIBERT, DE                    ",3,1,28
1465,"PONENT, DE                    ",4,0,366
1470,"GIJÓN, DE                     ",2,1,39
1475,"GINESTA, DE LA                ",3,1,32
1480,"GIRALT I SERRÀ, DE            ",1,1,32
1485,"GIRA-SOL, DEL                 ",3,1,32
1490,"GIRONÈS, DEL                  ",,114,114
1495,"GLÒRIES CATALANES, DE LES     ",3,0,234
1500,"GOLETA, DE LA                 ",1,1,29
1505,"GRÀCIA A MANRESA, DE          ",3,0,470
1510,"GRANADA, DE                   ",6,2,120
1520,"GRÀNIUS, DE                   ",4,1,35
1525,"GRANOLLERS, DE                ",5,0,4
1530,"GRÈCIA, DE                    ",3,1,121
1531,"GREGAL, DEL                   ",6,0,14
1535,"GUADALAJARA, DE               ",2,0,148
1545,"GUADALHORCE, DEL              ",3,0,61
1550,"GUADALQUIVIR, DEL             ",3,0,39
1555,"GUADARRAMA, DEL               ",6,7,32
1560,"GUADIANA, DEL                 ",3,0,30
1575,"GUILLEM DE MUNTANYANS, DE     ",3,0,208
1580,"GUINEA, DE LA                 ",3,1,40
1585,"GUIPÚSCOA, DE                 ",2,1,85
1590,"GUTENBERG, DE                 ",4,0,35
1591,"HÈRCULES, D                   ",3,2,49
1595,"GERMÀ JOAQUIM, DEL            ",3,0,230
1600,"GERMANS PINZÓN, DELS          ",5,1,37
1605,"HERNÁN CORTÉS, D              ",5,1,41
1610,"HISPANITAT, DE LA             ",5,2,101
1615,"HISTORIADOR CARDÚS, DE L      ",6,1,251
1620,"HOQUEI, DE L                  ",6,69,197
1630,"HORTÈNSIA, DE L               ",3,1,33
1635,"HOSPITALET DE LLOBREGAT, DE L ",5,0,17
1640,"HUELVA, DE                    ",6,0,50
1645,"OSCA,D                        ",4,1,36
1650,"IBÁÑEZ DE ALDECOA, D          ",6,0,82
1655,"EIVISSA, D                    ",6,3,60
1665,"IGNASI IGLÉSIAS, D            ",5,1,43
1670,"IGUALADA, D                   ",3,0,39
1675,"IGUALTAT, DE LA               ",1,2,65
1680,"INDEPENDÈNCIA, DE LA          ",5,0,401
1685,"INDÚSTRIA, DE LA              ",1,5,15
1690,"IMMACULADA, DE LA             ",6,1,15
1695,"ISAAC PERAL, D                ",4,1,92
1725,"JACINT ELIAS, DE              ",2,2,190
1730,"JACQUARD, DE                  ",1,1,107
1735,"JAÉN, DE                      ",6,2,103
1740,"JAUME I, DE                   ",5,0,354
1745,"JALÓN, DEL                    ",6,1,6
1750,"JAUME CANTARER, DE            ",1,0,14
1754,"JOAN MIRÓ, DE                 ",1,1,25
1755,"JEREZ, DE                     ",6,1,146
1756,"JILOCA, DEL                   ",3,2,12
1757,"JOAN MIRÓ, DE                 ",1,0,0
1760,"JOAQUIN COSTA, DE             ",1,0,183
1765,"JOAQUIM DE PAZ, DE            ",1,1,93
1770,"JOAQUIM DE SAGRERA, DE        ",4,1,149
1775,"JOSEP FREIXA I ARGEMÍ, DE     ",4,0,12
1780,"JOSEP MARIA PALAU, DE         ",6,2,35
1785,"JOSEP O. MAURI POAL, DE       ",5,1,23
1790,"JOSEP O. MAURI POAL, DE       ",5,1,7
1791,"JOSEP PLA, DE                 ",5,2,16
1795,"JOSEP TAPIOLAS, DE            ",6,1,245
1796,"JOSEP TARRADELLAS, DE         ",5,0,133
1800,"JOAN ABELLÓ I BUFÍ, DE        ",1,1,19
1805,"JOAN D ÀUSTRIA, DE            ",5,1,83
1810,"JOAN DUCH, DE                 ",1,2,91
1815,"JOAN MONPEÓ, DE               ",3,1,200
1816,"JOAN SANTAMARIA, DE           ",3,0,1
1825,"JOAN XXIII,  DE               ",6,1,74
1830,"XÚQUER, DEL                   ",3,0,35
1836,"JÚPITER, DE                   ",3,0,66
1837,"KENYA, DE                     ",3,1,21
1838,"ALZINA,DE L                   ",5,1,6
1840,"AUTONOMIA, DE L               ",5,1,161
1841,"AVET, DE L                    ",5,1,12
1842,AUTOPISTA C-58                ,3,0,23
1843,AUTOPISTA C-16                ,4,1,24
