CODI_NORMATIVA,TITOL,AMBIT,URL,DESCRIPCIO,DATA_INI_VIGENCIA,DATA_FI_VIGENCIA,WEB
01477,"OF núm.1.01 - Ordenança general de gestió, recaptació i inspecció dels tributs i altres ingressos de dret públic",Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01477
01307,OF núm.1.02 - Ordenança general de les contribucions especials,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2000 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01307
01775,OF núm.1.03 - Ordenança general reguladora dels preus públics,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01775
01479,OF núm.2.01 - Impost sobre béns immobles,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01479
01480,OF núm.2.02 - Impost sobre activitats econòmiques (IAE),Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01480
00161,OF núm.2.03 - Impost de vehicles de tracció mecànica,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2012 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00161
00005,OF núm.2.04 - Impost sobre l increment del valor dels terrenys de naturalesa urbana,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació. .",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=00005
01481,"OF núm.2.05 - Impost sobre construccions, instal·lacions i obres",Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01481
01482,OF núm.3.01 - Taxa per a l administració de documents,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01482
01485,OF núm.3.02 - Taxa per serveis urbanístics,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01485
01486,OF núm.3.03 - Taxa per a l atorgament de llicències i autoritzacions administratives d autotaxi i d altres vehicles de lloguer.,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01486
01487,OF núm.3.04 - Taxa per a les prestacions de la Policia Municipal i circulacions especials,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01487
01488,OF núm.3.05 - Taxa pel servei de tinença d animal de companyia,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01488
01489,OF núm.3.06 - Taxa per la retirada de vehicles i béns mobles de la via pública,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01489
01490,OF núm.3.07 - Taxa per l accés de vehicles des de la via pública a locals o recintes i reserves de la via pública,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01490
01491,OF núm.3.08 - Taxa per a la utilització de les instal·lacions esportives municipals,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01491
01321,"OF núm.3.09 - Taxa sobre tribunes, tendals o d altres instal·lacions similars, voladissos sobre la via pública o que sobresurtin de la línia",Local,,"Títol complet: Taxa sobre tribunes, tendals o d altres instal·lacions similars, voladissos sobre la via pública o que sobresurtin de la línia de la façana<br><br> <u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2000 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01321
01492,OF núm.3.10 - Taxa sobre els serveis prestats als mercats municipals,Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01492
01493,"OF núm.3.11 - Taxa per a l aprofitament del sòl, vol i subsòl de la via pública",Local,,"<u>Ordenança fiscal per l exercici 2017</u><br> Aprovada definitivament, per l Excm. Ajuntament en Ple, el 21 de desembre de 2016.<br> Publicada en el BOPB el 30 de desembre de 2016.<br> Entrada en vigor l 1 de gener de 2017, mantenint la seva vigència mentre no se n aprovi la seva modificació o derogació.",01/01/2017 0:00:00,31/12/2017 0:00:00,https://aoberta.terrassa.cat/normativa/detallNormativa.jsp?id=01493
