ADREÇA,NOM_BARRI,NIF_TITULAR,NOM_COMERCIAL,EPI_SECCIO,EPI_CODI_GRUP,EPIGRAF,TELEFON,WEB,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,EMAIL,LOCALITZACIO
"CA DE L AUTONOMIA, 138, BA",SANT PERE                               ,0B64037823,MILIAN RÈTOLS,1,474,ARTS GRAFIQUES (IMPRESSIO GRAFICA)      ,,www.milianretols.com,418226.9063,4603187.1250,418132.9327,4602982.9032,2.0180008,41.5743390,,"(41.57433897754211, 2.018000758428166)"
"CA NOU DE SANT PERE, 28",CENTRE                                  ,0J63287379,TAULA D ART SCP                         ,2,751,PROFESSIONALS PUBLICITAT RELACIONS PÚBLI,,,417838.2813,4602180.0000,417744.2994,4601975.7796,2.0134778,41.5652289,,"(41.565228910180494, 2.013477758561506)"
"CA DE SANT ANDREU, 2",LES FONTS                               ,0B63452726,ESPIVIMON SL                            ,1,6912,"REPARACIO AUTOMOBILS,BICICLETES I ALTRES",,,419743.6250,4598724.3750,419649.6199,4598520.1347,2.0367879,41.5343008,,"(41.534300801218706, 2.036787914924037)"
"CA DE SALMERÓN, 2, LO-1",VALLPARADÍS                             ,0A07042542,VIATGES BARTOLOSI,1,755,AGENCIES DE VIATGES                     ,,www.viajes-bartolosi.com,418339.5545,4602031.0982,418245.5723,4601826.8737,2.0195091,41.5639393,,"(41.56393927962615, 2.019509130342536)"
"CA DE GALILEU, 34, BA",CA N AURELL                             ,0A07300502,RALARSA,1,6912,"REPARACIO AUTOMOBILS,BICICLETES I ALTRES",,www.ralarsa.com,417150.0000,4601333.3125,417056.0106,4601129.0960,2.0053410,41.5575326,,"(41.55753256403344, 2.005341000810331)"
"CA AMPLE, 311, BA-L1",SANT PERE NORD                          ,0A08000143,BANC DE SABADELL ATLANTIC,1,811,BANCA                                   ,,,418953.8013,4603159.2423,418859.8286,4602955.0149,2.0267225,41.5741619,,"(41.574161946797076, 2.02672246321038)"
"AV D ÀNGEL SALLENT, 121, BA-1",LA MAURINA                              ,0A08000143,BANC DE SABADELL ATLANTIC,1,811,BANCA                                   ,,,416650.8750,4601515.0625,416556.8863,4601310.8500,1.9993312,41.5591175,,"(41.55911751112888, 1.9993311572450374)"
"CR DE CASTELLAR, 23, BA-1",VALLPARADÍS                             ,0A08000143,BANCO SABADELL ATLANTIC,1,811,BANCA                                   ,,,418610.2695,4602139.1974,418516.2885,4601934.9710,2.0227407,41.5649404,,"(41.56494044617905, 2.022740738198207)"
"AV DE JAUME I, 319, BA-1",SANT PERE                               ,0A08000143,BANC DE SABADELL ATLANTIC,1,811,BANCA                                   ,,,418256.8750,4603175.8750,418162.9013,4602971.6529,2.0183617,41.5742407,,"(41.5742407270852, 2.018361717296114)"
"AV DE JOSEP TARRADELLAS, 12, BA",TORRENT D EN PERE PARRES                ,0A08000143,BANC DE SABADELL ATLANTIC,1,811,BANCA                                   ,,,417031.8531,4602790.4178,416937.8746,4602586.2044,2.0037230,41.5706430,,"(41.57064300476086, 2.003722953928459)"
"RV DE MONTSERRAT, 35",CENTRE                                  ,0A08000143,BANC DE SABADELL ATLANTIC,1,811,BANCA                                   ,,,417480.3692,4601935.3411,417386.3849,4601731.1230,2.0092194,41.5629886,,"(41.56298862546873, 2.009219439621464)"
"CA NOU DE SANT PERE, 39",CENTRE                                  ,0A08000143,BANC DE SABADELL ATLANTIC,1,811,BANCA                                   ,,,417852.0923,4602204.3303,417758.1106,4602000.1098,2.0136400,41.5654494,,"(41.56544944954781, 2.013640044945418)"
