ID_ENTITAT,DESCRIPCIO,NOM,TELEFON,EMAIL,SIGLA,CARRER,NRO,BIS,ESCALA,PIS,PORTA,CODI_POSTAL,CIUTAT,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,ATENCIO_CIUTADANA,URL,SECTOR,LOCALITZACIO
8149,Sector público,010 Informació i Tràmits per Telèfon,010 -  - 900 922 010,010infotramits@terrassa.cat,PL,DIDÓ,5,,,,,8221,TERRASSA,417559.2813,4602032.7500,417465.2979,4601828.5314,2.0101523,41.5638740,T,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=8149,sector-publico,"(41.56387403706012, 2.0101523132364787)"
14237,Transport,Aparcament Avinguda Barcelona,937 369 025 -  - 937 880 106 (oficines),,AV,"BARCELONA, DE",245,,,SO,1  ,8222,TERRASSA,418934.9399,4602323.3720,418840.9608,4602119.1435,2.0266092,41.5666321,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=14237,transporte,"(41.56663213845659, 2.02660919498854)"
15218,Transport,Aparcament Plaça Lluís Companys,937 368 817 -  - 937 880 106 (oficines),,PL,DE LLUÍS COMPANYS,1,,,BA,1  ,8225,TERRASSA,416955.3744,4602823.5004,416861.3961,4602619.2877,2.0028012,41.5709330,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=15218,transporte,"(41.57093300019605, 2.0028011936397023)"
15186,Transport,Aparcament Plaça Progrés,937 338 554     -  - 937 880 106 (oficines),,PL,DEL PROGRÉS,1,,,,,8224,TERRASSA,417203.2813,4601676.0625,417109.2946,4601471.8461,2.0059326,41.5606249,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=15186,transporte,"(41.56062489782059, 2.005932580909501)"
59,Transport,Aparcament Plaça Vella,937 803 989      - 902 283 080 (Atenció al client - 24 hores) - ,,PL,VELLA,20,,,SO,1  ,8221,TERRASSA,417639.0940,4601807.7166,417545.1090,4601603.4971,2.0111403,41.5618556,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=59,transporte,"(41.561855610588694, 2.0111402607133853)"
4393,Transport,Aparcament Plaça del Dr Robert,937 318 508      - 902 283 080 (Atenció al client - 24 hores) - ,,PL,"DOCTOR ROBERT, DEL",10,,,,,8221,TERRASSA,418131.3079,4601974.5113,418037.3249,4601770.2883,2.0170197,41.5634083,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=4393,transporte,"(41.563408347349046, 2.0170196716408957)"
16610,Transport,Aparcament Plaça del Primer de Maig,937 352 684 -  - 937 880 106 (oficines),,CA,DEL DOCTOR CALSINA,370,,,,,8226,TERRASSA,418548.3750,4603514.1250,418454.4044,4603309.9012,2.0218118,41.5773168,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=16610,transporte,"(41.57731679511724, 2.0218118475337765)"
12969,Transport,Aparcament Rambla - Cervantes,937 397 700,,RM,D ÈGARA,352,,,BA,1  ,8221,TERRASSA,417199.4596,4602452.7936,417105.4788,4602248.5784,2.0057796,41.5676197,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=12969,transporte,"(41.56761974952059, 2.0057795915885586)"
16087,Transport,Aparcament Sant Leopold,937 894 430 -  - 937 880 106 (oficines),,CA,"SANT LEOPOLD, DE",33,,,SO,,8221,TERRASSA,417791.1033,4602384.2399,417697.1229,4602180.0201,2.0128840,41.5670634,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=16087,transporte,"(41.5670634475072, 2.0128840354345883)"
4038,Transport,Aparcament Vapor Universitari,937 843 885     -  - 937 880 106 (oficines),,CA,"MENÉNDEZ Y PELAYO, DE",41,,,BA,1  ,8222,TERRASSA,418619.7503,4601446.7762,418525.7641,4601242.5487,2.0229483,41.5587054,F,https://aoberta.terrassa.cat/oficines/infoEntitat.jsp?id=4038,transporte,"(41.55870542540869, 2.0229483120423937)"
