DATA_REFERENCIA,PAIS_DESTI,NACIONALITAT,POBLACIO
2011,ALEMANYA                      ,ESPANYA,12
2012,ALEMANYA                      ,ESPANYA,38
2013,ALEMANYA                      ,ESPANYA,38
2014,ALEMANYA                      ,ESPANYA,66
2015,ALEMANYA                      ,ESPANYA,54
2016,ALEMANYA                      ,ESPANYA,58
2017,ALEMANYA                      ,ESPANYA,26
2014,ALGÈRIA                       ,ESPANYA,1
2015,ALGÈRIA                       ,ESPANYA,1
2011,ANDORRA                       ,ESPANYA,14
2012,ANDORRA                       ,ESPANYA,7
2013,ANDORRA                       ,ESPANYA,12
2014,ANDORRA                       ,ESPANYA,11
2015,ANDORRA                       ,ESPANYA,8
2016,ANDORRA                       ,ESPANYA,17
2017,ANDORRA                       ,ESPANYA,2
2013,"ARÀBIA SAUDITA, L             ",ESPANYA,2
2015,"ARÀBIA SAUDITA, L             ",ESPANYA,3
2016,"ARÀBIA SAUDITA, L             ",ESPANYA,2
2011,"ARGENTINA, L                  ",ESPANYA,11
2012,"ARGENTINA, L                  ",ESPANYA,6
2013,"ARGENTINA, L                  ",ESPANYA,9
2014,"ARGENTINA, L                  ",ESPANYA,16
2015,"ARGENTINA, L                  ",ESPANYA,10
2016,"ARGENTINA, L                  ",ESPANYA,8
2017,"ARGENTINA, L                  ",ESPANYA,1
2013,AUSTRÀLIA                     ,ESPANYA,2
2014,AUSTRÀLIA                     ,ESPANYA,1
2015,AUSTRÀLIA                     ,ESPANYA,6
2016,AUSTRÀLIA                     ,ESPANYA,5
2017,AUSTRÀLIA                     ,ESPANYA,3
2012,ÀUSTRIA                       ,ESPANYA,2
2013,ÀUSTRIA                       ,ESPANYA,2
2014,ÀUSTRIA                       ,ESPANYA,1
2015,ÀUSTRIA                       ,ESPANYA,1
2016,ÀUSTRIA                       ,ESPANYA,2
2011,BÈLGICA                       ,ESPANYA,22
2012,BÈLGICA                       ,ESPANYA,21
2013,BÈLGICA                       ,ESPANYA,18
2014,BÈLGICA                       ,ESPANYA,23
2015,BÈLGICA                       ,ESPANYA,19
2016,BÈLGICA                       ,ESPANYA,16
2011,BOLÍVIA                       ,ESPANYA,7
2012,BOLÍVIA                       ,ESPANYA,1
2013,BOLÍVIA                       ,ESPANYA,7
2014,BOLÍVIA                       ,ESPANYA,6
2015,BOLÍVIA                       ,ESPANYA,7
2016,BOLÍVIA                       ,ESPANYA,4
2011,"BRASIL, EL                    ",ESPANYA,5
2012,"BRASIL, EL                    ",ESPANYA,3
2013,"BRASIL, EL                    ",ESPANYA,4
2014,"BRASIL, EL                    ",ESPANYA,2
2015,"BRASIL, EL                    ",ESPANYA,4
2016,"BRASIL, EL                    ",ESPANYA,2
2017,"BRASIL, EL                    ",ESPANYA,2
2012,BURKINA FASO                  ,ESPANYA,1
2011,"CANADÀ, EL                    ",ESPANYA,2
2012,"CANADÀ, EL                    ",ESPANYA,8
2013,"CANADÀ, EL                    ",ESPANYA,2
2014,"CANADÀ, EL                    ",ESPANYA,2
2016,"CANADÀ, EL                    ",ESPANYA,4
2016,CAP VERD                      ,ESPANYA,1
2011,COLÒMBIA                      ,ESPANYA,4
