DATA_REFERENCIA,NACIONALITAT,SEXE,POBLACIO
2011,ALBÀNIA                       ,Dona,2
2011,ALBÀNIA                       ,Home,3
2011,ALEMANYA                      ,Dona,8
2011,ALEMANYA                      ,Home,7
2011,ALGÈRIA                       ,Dona,5
2011,ALGÈRIA                       ,Home,7
2011,ANDORRA                       ,Dona,1
2011,ANDORRA                       ,Home,3
2011,"ARGENTINA, L                  ",Dona,44
2011,"ARGENTINA, L                  ",Home,36
2011,ARMÈNIA                       ,Dona,8
2011,ARMÈNIA                       ,Home,6
2011,AUSTRÀLIA                     ,Dona,2
2011,ÀUSTRIA                       ,Dona,3
2011,ÀUSTRIA                       ,Home,3
2011,BANGLA DESH                   ,Dona,1
2011,BANGLA DESH                   ,Home,4
2011,BÈLGICA                       ,Dona,2
2011,BÈLGICA                       ,Home,1
2011,BIELORÚSSIA                   ,Dona,2
2011,BOLÍVIA                       ,Dona,72
2011,BOLÍVIA                       ,Home,49
2011,"BRASIL, EL                    ",Dona,78
2011,"BRASIL, EL                    ",Home,32
2011,BULGÀRIA                      ,Dona,6
2011,BULGÀRIA                      ,Home,4
2011,"CAMERUN, EL                   ",Home,1
2011,"CANADÀ, EL                    ",Dona,1
2011,COLÒMBIA                      ,Dona,119
2011,COLÒMBIA                      ,Home,101
2011,"COSTA D IVORI, LA             ",Home,1
2011,CROÀCIA                       ,Home,1
2011,CUBA                          ,Dona,51
2011,CUBA                          ,Home,30
2011,DINAMARCA                     ,Home,1
2011,DOMINICA                      ,Dona,1
2011,EGIPTE                        ,Dona,2
2011,EGIPTE                        ,Home,4
2011,EL SALVADOR                   ,Dona,6
2011,EL SALVADOR                   ,Home,2
2011,"EQUADOR, L                    ",Dona,93
2011,"EQUADOR, L                    ",Home,86
2011,ESLOVÀQUIA                    ,Dona,2
2011,ESLOVÀQUIA                    ,Home,1
2011,ESLOVÈNIA                     ,Dona,1
2011,ESPANYA                       ,Dona,2608
2011,ESPANYA                       ,Home,2696
2011,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,8
2011,"ESTATS UNITS D AMÈRICA, ELS   ",Home,20
2011,"FILIPINES, LES                ",Dona,4
2011,FINLÀNDIA                     ,Dona,2
2011,FINLÀNDIA                     ,Home,1
2011,FRANÇA                        ,Dona,18
2011,FRANÇA                        ,Home,22
2011,GÀMBIA                        ,Dona,4
2011,GÀMBIA                        ,Home,11
2011,GEÒRGIA                       ,Dona,7
2011,GEÒRGIA                       ,Home,4
2011,GHANA                         ,Dona,2
2011,GHANA                         ,Home,3
2011,GRÈCIA                        ,Dona,1
2011,GRÈCIA                        ,Home,1
2011,GUATEMALA                     ,Dona,6
2011,GUATEMALA                     ,Home,6
2011,"GUINEA BISSAU, LA             ",Dona,2
2011,"GUINEA EQUATORIAL, LA         ",Dona,7
2011,"GUINEA EQUATORIAL, LA         ",Home,3
2011,"GUINEA, LA                    ",Dona,2
2011,"GUINEA, LA                    ",Home,5
2011,HONDURES                      ,Dona,56
2011,HONDURES                      ,Home,20
2011,HONGRIA                       ,Dona,3
2011,HONGRIA                       ,Home,1
2011,"ÍNDIA, L                      ",Dona,3
2011,"ÍNDIA, L                      ",Home,9
2011,"IRAN, L                       ",Dona,3
2011,"IRAN, L                       ",Home,6
2011,"IRAQ, L                       ",Home,1
2011,IRLANDA                       ,Dona,2
2011,IRLANDA                       ,Home,1
2011,ISLÀNDIA                      ,Dona,1
2011,ISRAEL                        ,Home,2
2011,ITÀLIA                        ,Dona,33
2011,ITÀLIA                        ,Home,72
2011,"JAPÓ, EL                      ",Dona,4
2011,JORDÀNIA                      ,Home,2
2011,LETÒNIA                       ,Home,2
2011,MALÀISIA                      ,Dona,3
2011,MALÀISIA                      ,Home,2
2011,MALI                          ,Home,3
2011,"MARROC, EL                    ",Dona,410
2011,"MARROC, EL                    ",Home,561
2011,MÈXIC                         ,Dona,16
2011,MÈXIC                         ,Home,14
2011,MOLDÀVIA                      ,Dona,2
2011,"NEPAL,EL                      ",Dona,1
2011,NICARAGUA                     ,Dona,3
2011,NICARAGUA                     ,Home,6
2011,NIGÈRIA                       ,Dona,15
2011,NIGÈRIA                       ,Home,29
2011,NO CONSTA                     ,Dona,1
2011,NO CONSTA                     ,Home,1
2011,NORUEGA                       ,Home,1
2011,"PAÏSOS BAIXOS, ELS            ",Dona,3
2011,"PAÏSOS BAIXOS, ELS            ",Home,6
2011,"PAKISTAN, EL                  ",Dona,15
2011,"PAKISTAN, EL                  ",Home,98
