DATA_REFERENCIA,DISTRICTE,BARRI,NACIONALITAT,SEXE,POBLACIO
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,Dona,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,Home,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,"MARROC, EL                    ",Dona,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,"MARROC, EL                    ",Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ALEMANYA                      ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,BOLÍVIA                       ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,COLÒMBIA                      ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,COLÒMBIA                      ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,CUBA                          ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"EQUADOR, L                    ",Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,Dona,42
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,Home,30
2011,DISTRICTE 1,CEMENTIRI VELL                ,"MARROC, EL                    ",Dona,4
2011,DISTRICTE 1,CEMENTIRI VELL                ,"MARROC, EL                    ",Home,5
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PARAGUAI, EL                  ",Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ROMANIA                       ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ROMANIA                       ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"XINA, LA                      ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,Dona,101
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,Home,106
2011,DISTRICTE 1,CENTRE                        ,"GUINEA EQUATORIAL, LA         ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,ITÀLIA                        ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,"MARROC, EL                    ",Dona,2
2011,DISTRICTE 1,CENTRE                        ,"MARROC, EL                    ",Home,7
2011,DISTRICTE 1,CENTRE                        ,"PARAGUAI, EL                  ",Dona,2
2011,DISTRICTE 1,CENTRE                        ,"REGNE UNIT, EL                ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,XILE                          ,Home,1
2011,DISTRICTE 1,CENTRE                        ,"XINA, LA                      ",Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,Dona,22
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,Home,23
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"MARROC, EL                    ",Dona,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"MARROC, EL                    ",Home,7
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,NIGÈRIA                       ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ROMANIA                       ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"XINA, LA                      ",Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ALEMANYA                      ,Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,BOLÍVIA                       ,Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,Dona,13
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,Home,13
2011,DISTRICTE 1,VALLPARADÍS                   ,"MARROC, EL                    ",Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"PARAGUAI, EL                  ",Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ALGÈRIA                       ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,BOLÍVIA                       ,Dona,4
2011,DISTRICTE 2,CA N ANGLADA                  ,COLÒMBIA                      ,Home,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"EQUADOR, L                    ",Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"EQUADOR, L                    ",Home,5
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,Dona,33
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,Home,31
2011,DISTRICTE 2,CA N ANGLADA                  ,"GUINEA EQUATORIAL, LA         ",Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"GUINEA, LA                    ",Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,HONDURES                      ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,JORDÀNIA                      ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"MARROC, EL                    ",Dona,47
2011,DISTRICTE 2,CA N ANGLADA                  ,"MARROC, EL                    ",Home,71
2011,DISTRICTE 2,CA N ANGLADA                  ,NIGÈRIA                       ,Home,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"PAKISTAN, EL                  ",Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"PARAGUAI, EL                  ",Home,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"PERÚ, EL                      ",Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"REPÚBLICA DOMINICANA, LA      ",Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"REPÚBLICA DOMINICANA, LA      ",Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ROMANIA                       ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"SENEGAL, EL                   ",Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"SENEGAL, EL                   ",Home,3
2011,DISTRICTE 2,CA N ANGLADA                  ,TUNÍSIA                       ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,TUNÍSIA                       ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,VENEÇUELA                     ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"XINA, LA                      ",Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"XINA, LA                      ",Home,2
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,Dona,8
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,Home,5
2011,DISTRICTE 2,MONTSERRAT                    ,"MARROC, EL                    ",Dona,8
2011,DISTRICTE 2,MONTSERRAT                    ,"MARROC, EL                    ",Home,6
2011,DISTRICTE 2,MONTSERRAT                    ,"SENEGAL, EL                   ",Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,Dona,56
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,Home,54
2011,DISTRICTE 2,TORRE-SANA                    ,"MARROC, EL                    ",Dona,8
2011,DISTRICTE 2,TORRE-SANA                    ,"MARROC, EL                    ",Home,7
2011,DISTRICTE 2,TORRE-SANA                    ,POLÒNIA                       ,Home,1
2011,DISTRICTE 2,TORRE-SANA                    ,PORTUGAL                      ,Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,PORTUGAL                      ,Home,1
2011,DISTRICTE 2,VILARDELL                     ,ESPANYA                       ,Dona,4
2011,DISTRICTE 2,VILARDELL                     ,ESPANYA                       ,Home,1
2011,DISTRICTE 3,CAN JOFRESA                   ,ESPANYA                       ,Dona,6
2011,DISTRICTE 3,CAN JOFRESA                   ,ESPANYA                       ,Home,8
2011,DISTRICTE 3,CAN JOFRESA                   ,"MARROC, EL                    ",Dona,2
2011,DISTRICTE 3,CAN JOFRESA                   ,"MARROC, EL                    ",Home,2
2011,DISTRICTE 3,CAN JOFRESA                   ,"SENEGAL, EL                   ",Home,1
2011,DISTRICTE 3,CAN PALET                     ,BÈLGICA                       ,Dona,1
2011,DISTRICTE 3,CAN PALET                     ,COLÒMBIA                      ,Home,1
2011,DISTRICTE 3,CAN PALET                     ,"EQUADOR, L                    ",Home,1
2011,DISTRICTE 3,CAN PALET                     ,ESPANYA                       ,Dona,64
