DISTRICTE,BARRI,SUPERFICIE_CONSTRUIDA,TOTAL
Districte 2,Torre-Sana                              ,117-157,40
Districte 3,Can Parellada                           ,67-116,35
Districte 5,Disseminats                             ,421-953,10
Districte 2,Torre-Sana                              ,421-953,99
Districte 3,Les Fonts                               ,236-295,68
Districte 4,La Maurina                              ,Fins 66,35
Districte 4,Can Palet De Vista Alegre               ,158-195,95
Districte 5,Can Gonteres                            ,196-235,29
Districte 4,Roc Blanc                               ,Solar,68
Districte 5,Can Boada Del Pi                        ,67-116,6
Districte 4,Ca N Aurell                             ,196-235,374
Districte 5,Can Boada Casc Antic                    ,421-953,42
Districte 4,Les Martines                            ,421-953,35
Districte 4,Les Martines                            ,67-116,59
Districte 5,Can Boada Casc Antic                    ,954 i mes,111
Districte 5,Poble Nou - Zona Esportiva              ,421-953,193
Districte 4,La Cogullada                            ,196-235,95
Districte 4,La Cogullada                            ,236-295,79
Districte 1,Centre                                  ,Solar,109
Districte 5,Torrent D En Pere Parres                ,954 i mes,107
Districte 1,Centre                                  ,296-420,405
Districte 5,Can Roca                                ,158-195,7
Districte 5,Can Roca                                ,236-295,20
Districte 5,Can Roca                                ,117-157,4
Districte 5,Can Roca                                ,Solar,31
Districte 5,Pla Del Bon Aire - El Garrot            ,421-953,17
Districte 3,Can Jofresa                             ,421-953,7
Districte 3,Can Palet                               ,117-157,114
Districte 1,Pl. Catalunya - Esc. Industrial         ,296-420,47
Districte 2,Ca N Anglada                            ,67-116,180
Districte 3,P.I. Can Parellada                      ,954 i mes,97
Districte 3,P.I. Santa Eulàlia                      ,421-953,19
Districte 3,P.I. Santa Eulàlia                      ,158-195,5
Districte 3,Xúquer                                  ,954 i mes,13
Districte 6,Font De L Espardenyera                  ,421-953,14
Districte 2,Montserrat                              ,296-420,1
Districte 2,Disseminats                             ,67-116,3
Districte 5,Pla Del Bon Aire - El Garrot            ,236-295,8
Districte 6,P.I. Nord                               ,296-420,6
Districte 3,Can Palet Ii                            ,Solar,1
Districte 2,Montserrat                              ,Solar,2
Districte 2,Montserrat                              ,954 i mes,22
Districte 5,Pla Del Bon Aire - El Garrot            ,Fins 66,3
Districte 3,Disseminats                             ,Fins 66,4
Districte 4,Vista Alegre                            ,67-116,4
Districte 5,Pla Del Bon Aire - El Garrot            ,954 i mes,3
Districte 6,Disseminats                             ,196-235,2
Districte 4,Disseminats                             ,954 i mes,5
Districte 3,Disseminats                             ,296-420,1
Districte 3,P.I. Santa Eulàlia                      ,117-157,1
Districte 6,Font De L Espardenyera                  ,954 i mes,1
Districte 2,Montserrat                              ,67-116,1
Districte 3,Guadalhorce                             ,421-953,2
Districte 2,Montserrat                              ,Fins 66,1
Districte 5,Disseminats                             ,236-295,7
Districte 6,Les Arenes - La Grípia - Can Montllor   ,296-420,164
Districte 6,Disseminats                             ,Fins 66,3
Districte 6,Les Arenes - La Grípia - Can Montllor   ,421-953,197
Districte 6,Les Arenes - La Grípia - Can Montllor   ,117-157,153
Districte 6,Les Arenes - La Grípia - Can Montllor   ,236-295,112
Districte 3,Les Fonts                               ,954 i mes,42
Districte 6,Disseminats                             ,67-116,6
Districte 6,Disseminats                             ,158-195,3
Districte 6,Disseminats                             ,421-953,11
Districte 3,Les Fonts                               ,67-116,89
Districte 4,Les Martines                            ,117-157,31
Districte 4,La Maurina                              ,158-195,133
Districte 4,Les Martines                            ,196-235,30
Districte 4,Can Palet De Vista Alegre               ,67-116,48
Districte 5,Can Boada Casc Antic                    ,117-157,63
Districte 4,Ca N Aurell                             ,117-157,254
Districte 5,Can Boada Del Pi                        ,421-953,11
Districte 4,Ca N Aurell                             ,954 i mes,407
Districte 4,Vista Alegre                            ,117-157,7
Districte 5,Can Boada Casc Antic                    ,196-235,36
Districte 5,Can Boada Casc Antic                    ,236-295,41
Districte 4,Vista Alegre                            ,236-295,7
Districte 5,Can Boada Casc Antic                    ,296-420,35
Districte 5,Poble Nou - Zona Esportiva              ,Fins 66,46
Districte 5,Poble Nou - Zona Esportiva              ,67-116,127
Districte 5,Poble Nou - Zona Esportiva              ,296-420,259
Districte 5,Can Roca                                ,296-420,20
Districte 5,Sant Pere                               ,117-157,157
Districte 5,Sant Pere                               ,158-195,155
Districte 3,Can Jofresa                             ,117-157,3
Districte 3,Can Palet                               ,Solar,60
Districte 3,Can Palet                               ,67-116,129
Districte 3,Can Palet                               ,296-420,184
Districte 1,Vallparadís                             ,421-953,69
Districte 3,Can Palet                               ,158-195,104
Districte 3,Can Palet                               ,954 i mes,224
Districte 1,Cementiri Vell                          ,67-116,22
Districte 6,P.I. Nord                               ,Fins 66,11
Districte 1,Pl. Catalunya - Esc. Industrial         ,117-157,21
Districte 6,Ègara                                   ,196-235,67
Districte 2,Ca N Anglada                            ,Solar,35
Districte 2,Ca N Anglada                            ,236-295,157
Districte 6,Ègara                                   ,236-295,74
Districte 3,Les Fonts                               ,196-235,61
Districte 3,P.I. Can Parellada                      ,236-295,4
Districte 2,Torre-Sana                              ,Fins 66,17
Districte 5,Els Caus - Els Pinetons                 ,Solar,8
Districte 5,Pla Del Bon Aire                        ,Solar,7
