DATA_REFERENCIA,DISTRICTE,BARRI,EDAT,SEXE,POBLACIO
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,0,Dona,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,0,Home,3
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,1,Dona,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,1,Home,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,10,Dona,6
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,10,Home,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,11,Dona,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,11,Home,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,12,Dona,5
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,12,Home,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,13,Dona,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,13,Home,6
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,14,Dona,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,14,Home,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,15,Dona,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,15,Home,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,16,Dona,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,16,Home,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,17,Dona,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,17,Home,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,18,Dona,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,18,Home,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,19,Dona,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,19,Home,3
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,2,Dona,4
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,2,Home,2
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,20,Dona,3
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,20,Home,2
