DATA_REFERENCIA,DISTRICTE,EDAT,SEXE,POBLACIO
2015,DISTRICTE 6,78,Dona,158
2011,DISTRICTE 2,34,Home,270
2016,DISTRICTE 2,42,Dona,140
2011,DISTRICTE 1,38,Home,313
2013,DISTRICTE 6,101,Dona,3
2016,DISTRICTE 5,98,Dona,8
2012,DISTRICTE 5,47,Dona,375
2011,DISTRICTE 2,39,Dona,144
2015,DISTRICTE 4,48,Dona,318
2013,DISTRICTE 1,76,Dona,166
2016,DISTRICTE 6,6,Dona,266
2017,DISTRICTE 2,32,Home,158
2011,DISTRICTE 3,93,Dona,13
2013,DISTRICTE 6,96,Home,1
2011,DISTRICTE 5,76,Dona,189
2016,DISTRICTE 5,10,Home,288
2017,DISTRICTE 4,53,Dona,267
2014,DISTRICTE 5,59,Home,252
2014,DISTRICTE 5,17,Dona,180
2016,DISTRICTE 5,15,Dona,216
2014,DISTRICTE 3,61,Dona,150
2011,DISTRICTE 6,39,Dona,298
2011,DISTRICTE 3,10,Dona,171
2015,DISTRICTE 6,73,Home,81
2011,DISTRICTE 3,5,Home,203
2014,DISTRICTE 3,56,Home,193
2017,DISTRICTE 3,11,Home,183
2013,DISTRICTE 4,15,Dona,194
2014,DISTRICTE 4,12,Dona,205
2016,DISTRICTE 1,102,Dona,4
2012,DISTRICTE 3,34,Dona,332
2016,DISTRICTE 5,22,Home,211
2016,DISTRICTE 3,20,Dona,156
2013,DISTRICTE 6,25,Home,233
2017,DISTRICTE 6,29,Dona,253
2011,DISTRICTE 3,88,Home,19
2011,DISTRICTE 1,40,Dona,316
2016,DISTRICTE 6,13,Home,211
2014,DISTRICTE 5,88,Dona,96
2017,DISTRICTE 2,25,Dona,110
2014,DISTRICTE 6,49,Home,307
2012,DISTRICTE 5,59,Dona,257
2015,DISTRICTE 5,71,Home,190
2013,DISTRICTE 2,82,Dona,66
2015,DISTRICTE 1,53,Dona,231
2016,DISTRICTE 6,18,Dona,195
2017,DISTRICTE 2,20,Home,103
2011,DISTRICTE 6,25,Home,283
2013,DISTRICTE 3,94,Home,3
2013,DISTRICTE 4,98,Dona,5
2017,DISTRICTE 5,88,Home,42
2013,DISTRICTE 2,77,Home,65
2012,DISTRICTE 4,58,Home,199
2015,DISTRICTE 1,48,Home,259
2012,DISTRICTE 4,1,Dona,238
2016,DISTRICTE 3,39,Home,347
2015,DISTRICTE 3,92,Home,7
2014,DISTRICTE 1,36,Home,280
2017,DISTRICTE 6,74,Home,106
2015,DISTRICTE 6,85,Home,49
2015,DISTRICTE 2,14,Home,121
2012,DISTRICTE 2,84,Dona,56
2014,DISTRICTE 4,36,Dona,431
2012,DISTRICTE 5,104,Home,1
2012,DISTRICTE 6,4,Dona,259
2012,DISTRICTE 1,51,Home,225
2015,DISTRICTE 4,36,Dona,362
2014,DISTRICTE 3,68,Home,157
2012,DISTRICTE 4,84,Dona,100
2011,DISTRICTE 1,26,Home,176
2013,DISTRICTE 4,34,Home,355
2017,DISTRICTE 1,46,Dona,298
2015,DISTRICTE 3,9,Home,184
2014,DISTRICTE 5,47,Home,385
2014,DISTRICTE 5,5,Dona,271
2012,DISTRICTE 2,82,Home,40
2016,DISTRICTE 1,49,Home,263
2016,DISTRICTE 1,7,Dona,207
2013,DISTRICTE 1,50,Home,255
2014,DISTRICTE 2,86,Home,24
2012,DISTRICTE 4,72,Dona,110
2017,DISTRICTE 2,13,Dona,108
2014,DISTRICTE 2,44,Dona,142
2012,DISTRICTE 6,87,Dona,69
2015,DISTRICTE 3,21,Home,147
2012,DISTRICTE 2,70,Home,45
2012,DISTRICTE 6,82,Home,66
2017,DISTRICTE 4,103,Dona,2
2017,DISTRICTE 3,64,Dona,155
2011,DISTRICTE 1,102,Dona,2
2017,DISTRICTE 4,98,Home,1
2012,DISTRICTE 3,91,Home,8
2011,DISTRICTE 6,13,Home,223
2013,DISTRICTE 3,82,Home,54
2016,DISTRICTE 1,90,Dona,62
2012,DISTRICTE 4,70,Home,120
2015,DISTRICTE 3,23,Dona,154
2015,DISTRICTE 5,64,Dona,254
2013,DISTRICTE 2,20,Dona,119
2017,DISTRICTE 5,31,Dona,296
