DATA_REFERENCIA,DISTRICTE,BARRI,SEXE,NIVELL_ESTUDI,POBLACIO
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,Dona,Altres titulacions mitjanes (A,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,Dona,Altres titulacions mitjanes (A,23
2011,DISTRICTE 1,CEMENTIRI VELL                ,Home,Altres titulacions mitjanes (A,17
2011,DISTRICTE 1,CENTRE                        ,Dona,Altres titulacions mitjanes (A,57
2011,DISTRICTE 1,CENTRE                        ,Home,Altres titulacions mitjanes (A,51
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,Dona,Altres titulacions mitjanes (A,16
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,Home,Altres titulacions mitjanes (A,14
2011,DISTRICTE 1,VALLPARADÍS                   ,Dona,Altres titulacions mitjanes (A,10
2011,DISTRICTE 1,VALLPARADÍS                   ,Home,Altres titulacions mitjanes (A,6
2011,DISTRICTE 2,CA N ANGLADA                  ,Dona,Altres titulacions mitjanes (A,26
2011,DISTRICTE 2,CA N ANGLADA                  ,Home,Altres titulacions mitjanes (A,11
2011,DISTRICTE 2,MONTSERRAT                    ,Dona,Altres titulacions mitjanes (A,1
2011,DISTRICTE 2,TORRE-SANA                    ,Dona,Altres titulacions mitjanes (A,22
2011,DISTRICTE 2,TORRE-SANA                    ,Home,Altres titulacions mitjanes (A,11
2011,DISTRICTE 3,CAN JOFRESA                   ,Dona,Altres titulacions mitjanes (A,3
2011,DISTRICTE 3,CAN PALET                     ,Dona,Altres titulacions mitjanes (A,30
2011,DISTRICTE 3,CAN PALET                     ,Home,Altres titulacions mitjanes (A,24
2011,DISTRICTE 3,CAN PALET II                  ,Dona,Altres titulacions mitjanes (A,3
2011,DISTRICTE 3,CAN PALET II                  ,Home,Altres titulacions mitjanes (A,1
2011,DISTRICTE 3,CAN PARELLADA                 ,Dona,Altres titulacions mitjanes (A,8
2011,DISTRICTE 3,CAN PARELLADA                 ,Home,Altres titulacions mitjanes (A,1
2011,DISTRICTE 3,GUADALHORCE                   ,Dona,Altres titulacions mitjanes (A,3
2011,DISTRICTE 3,GUADALHORCE                   ,Home,Altres titulacions mitjanes (A,2
2011,DISTRICTE 3,LES FONTS                     ,Dona,Altres titulacions mitjanes (A,3
2011,DISTRICTE 3,LES FONTS                     ,Home,Altres titulacions mitjanes (A,10
2011,DISTRICTE 3,P.I. SANTA EULÀLIA            ,Home,Altres titulacions mitjanes (A,1
2011,DISTRICTE 3,SEGLE XX                      ,Dona,Altres titulacions mitjanes (A,29
2011,DISTRICTE 3,SEGLE XX                      ,Home,Altres titulacions mitjanes (A,13
2011,DISTRICTE 3,XÚQUER                        ,Dona,Altres titulacions mitjanes (A,5
2011,DISTRICTE 4,CA N AURELL                   ,Dona,Altres titulacions mitjanes (A,53
2011,DISTRICTE 4,CA N AURELL                   ,Home,Altres titulacions mitjanes (A,41
2011,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,Dona,Altres titulacions mitjanes (A,2
2011,DISTRICTE 4,LA COGULLADA                  ,Dona,Altres titulacions mitjanes (A,39
2011,DISTRICTE 4,LA COGULLADA                  ,Home,Altres titulacions mitjanes (A,19
2011,DISTRICTE 4,LA MAURINA                    ,Dona,Altres titulacions mitjanes (A,28
2011,DISTRICTE 4,LA MAURINA                    ,Home,Altres titulacions mitjanes (A,23
2011,DISTRICTE 4,LES MARTINES                  ,Home,Altres titulacions mitjanes (A,1
2011,DISTRICTE 4,ROC BLANC                     ,Dona,Altres titulacions mitjanes (A,15
2011,DISTRICTE 4,ROC BLANC                     ,Home,Altres titulacions mitjanes (A,9
2011,DISTRICTE 5,CAN BOADA CASC ANTIC          ,Dona,Altres titulacions mitjanes (A,24
2011,DISTRICTE 5,CAN BOADA CASC ANTIC          ,Home,Altres titulacions mitjanes (A,5
2011,DISTRICTE 5,CAN BOADA DEL PI              ,Dona,Altres titulacions mitjanes (A,4
2011,DISTRICTE 5,CAN BOADA DEL PI              ,Home,Altres titulacions mitjanes (A,2
2011,DISTRICTE 5,CAN GONTERES                  ,Dona,Altres titulacions mitjanes (A,1
