ï»¿DATA_REFERENCIA,EDAT,SEXE,NIVELL_ESTUDI,POBLACIO
2011,0,Dona,"Batxiller Elemental, Graduat E",1
2011,0,Home,"Batxiller Elemental, Graduat E",1
2011,0,Home,Batxiller superior. BUP. Batxi,1
2011,0,Dona,Desconegut                    ,2
2011,0,Home,Desconegut                    ,1
2011,0,Dona,Ensenyament primari incomplert,1
2011,0,Home,Ensenyament primari incomplert,2
2011,0,Dona,"Llicenciat Universitari, Arqui",1
2011,0,Dona,No aplicable per ser més petit,1331
2011,0,Home,No aplicable per ser més petit,1462
2011,0,Home,No sap llegir ni escriure     ,2
2011,0,Home,Sense estudis                 ,1
2011,1,Home,Desconegut                    ,1
2011,1,Dona,Ensenyament primari incomplert,3
2011,1,Home,Ensenyament primari incomplert,5
2011,1,Dona,No aplicable per ser més petit,1427
2011,1,Home,No aplicable per ser més petit,1591
2011,1,Home,No sap llegir ni escriure     ,1
2011,1,Dona,Sense estudis                 ,1
2011,1,Home,Sense estudis                 ,3
2011,2,Dona,Batxiller superior. BUP. Batxi,1
2011,2,Dona,Desconegut                    ,4
2011,2,Home,Desconegut                    ,6
2011,2,Dona,Ensenyament primari incomplert,3
2011,2,Home,Ensenyament primari incomplert,2
2011,2,Dona,No aplicable per ser més petit,1480
2011,2,Home,No aplicable per ser més petit,1520
2011,2,Dona,No sap llegir ni escriure     ,2
2011,2,Dona,Sense estudis                 ,1
2011,3,Dona,"Batxiller Elemental, Graduat E",2
2011,3,Dona,Desconegut                    ,2
2011,3,Home,Desconegut                    ,1
2011,3,Dona,Ensenyament primari incomplert,12
2011,3,Home,Ensenyament primari incomplert,9
2011,3,Dona,No aplicable per ser més petit,1350
2011,3,Home,No aplicable per ser més petit,1461
2011,3,Dona,No sap llegir ni escriure     ,1
2011,3,Dona,Sense estudis                 ,1
2011,4,Dona,"Batxiller Elemental, Graduat E",1
2011,4,Home,"Batxiller Elemental, Graduat E",1
2011,4,Dona,Desconegut                    ,4
2011,4,Home,Desconegut                    ,6
2011,4,Dona,Ensenyament primari incomplert,12
2011,4,Home,Ensenyament primari incomplert,12
2011,4,Dona,No aplicable per ser més petit,1319
2011,4,Home,No aplicable per ser més petit,1420
2011,4,Dona,No sap llegir ni escriure     ,1
2011,4,Home,No sap llegir ni escriure     ,1
2011,4,Home,Sense estudis                 ,3
2011,5,Dona,Desconegut                    ,1
2011,5,Home,Desconegut                    ,3
2011,5,Dona,Ensenyament primari incomplert,11
2011,5,Home,Ensenyament primari incomplert,23
2011,5,Dona,No aplicable per ser més petit,1283
2011,5,Home,No aplicable per ser més petit,1343
2011,5,Dona,No sap llegir ni escriure     ,1
2011,5,Dona,Sense estudis                 ,1
2011,5,Home,Sense estudis                 ,1
2011,6,Dona,"Batxiller Elemental, Graduat E",3
2011,6,Home,Batxiller superior. BUP. Batxi,1
2011,6,Dona,Desconegut                    ,3
