DATA_REFERENCIA,PAIS_NAIXEMENT,SEXE,BARRI,POBLACIO
2011,ALBÀNIA                       ,DISTRICTE 1,CEMENTIRI VELL                ,1
2011,ALBÀNIA                       ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,4
2011,ALBÀNIA                       ,DISTRICTE 2,TORRE-SANA                    ,2
2011,ALBÀNIA                       ,DISTRICTE 3,CAN PALET                     ,5
2011,ALBÀNIA                       ,DISTRICTE 3,CAN PALET II                  ,4
2011,ALBÀNIA                       ,DISTRICTE 3,SEGLE XX                      ,1
2011,ALBÀNIA                       ,DISTRICTE 4,CA N AURELL                   ,1
2011,ALBÀNIA                       ,DISTRICTE 5,PLA DEL BON AIRE              ,1
2011,ALBÀNIA                       ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,6
2011,ALBÀNIA                       ,DISTRICTE 5,SANT PERE                     ,6
2011,ALBÀNIA                       ,DISTRICTE 6,SANT PERE NORD                ,2
2011,ALEMANYA                      ,DISTRICTE 1,CEMENTIRI VELL                ,22
2011,ALEMANYA                      ,DISTRICTE 1,CENTRE                        ,33
2011,ALEMANYA                      ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,7
2011,ALEMANYA                      ,DISTRICTE 1,VALLPARADÍS                   ,4
2011,ALEMANYA                      ,DISTRICTE 2,CA N ANGLADA                  ,17
2011,ALEMANYA                      ,DISTRICTE 2,TORRE-SANA                    ,7
2011,ALEMANYA                      ,DISTRICTE 3,CAN JOFRESA                   ,5
2011,ALEMANYA                      ,DISTRICTE 3,CAN PALET                     ,16
2011,ALEMANYA                      ,DISTRICTE 3,CAN PARELLADA                 ,16
2011,ALEMANYA                      ,DISTRICTE 3,GUADALHORCE                   ,5
2011,ALEMANYA                      ,DISTRICTE 3,LES FONTS                     ,11
2011,ALEMANYA                      ,DISTRICTE 3,SEGLE XX                      ,16
2011,ALEMANYA                      ,DISTRICTE 3,XÚQUER                        ,1
2011,ALEMANYA                      ,DISTRICTE 4,CA N AURELL                   ,27
2011,ALEMANYA                      ,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,4
2011,ALEMANYA                      ,DISTRICTE 4,LA COGULLADA                  ,5
2011,ALEMANYA                      ,DISTRICTE 4,LA MAURINA                    ,10
2011,ALEMANYA                      ,DISTRICTE 4,LES MARTINES                  ,2
2011,ALEMANYA                      ,DISTRICTE 4,ROC BLANC                     ,14
2011,ALEMANYA                      ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,5
2011,ALEMANYA                      ,DISTRICTE 5,CAN BOADA DEL PI              ,1
2011,ALEMANYA                      ,DISTRICTE 5,CAN ROCA                      ,7
2011,ALEMANYA                      ,DISTRICTE 5,PLA DEL BON AIRE              ,1
2011,ALEMANYA                      ,DISTRICTE 5,PLA DEL BON AIRE - EL GARROT  ,1
2011,ALEMANYA                      ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,23
2011,ALEMANYA                      ,DISTRICTE 5,SANT PERE                     ,14
2011,ALEMANYA                      ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,4
2011,ALEMANYA                      ,DISTRICTE 6,CAN TUSELL                    ,2
2011,ALEMANYA                      ,DISTRICTE 6,ÈGARA                         ,4
2011,ALEMANYA                      ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,20
2011,ALEMANYA                      ,DISTRICTE 6,SANT LLORENÇ                  ,2
2011,ALEMANYA                      ,DISTRICTE 6,SANT PERE NORD                ,15
2011,ALGÈRIA                       ,DISTRICTE 1,CENTRE                        ,2
2011,ALGÈRIA                       ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,4
2011,ALGÈRIA                       ,DISTRICTE 1,VALLPARADÍS                   ,2
2011,ALGÈRIA                       ,DISTRICTE 2,CA N ANGLADA                  ,5
2011,ALGÈRIA                       ,DISTRICTE 2,TORRE-SANA                    ,1
2011,ALGÈRIA                       ,DISTRICTE 3,CAN JOFRESA                   ,6
2011,ALGÈRIA                       ,DISTRICTE 3,CAN PALET                     ,2
2011,ALGÈRIA                       ,DISTRICTE 3,GUADALHORCE                   ,1
2011,ALGÈRIA                       ,DISTRICTE 3,SEGLE XX                      ,11
2011,ALGÈRIA                       ,DISTRICTE 4,CA N AURELL                   ,5
2011,ALGÈRIA                       ,DISTRICTE 4,LA COGULLADA                  ,10
2011,ALGÈRIA                       ,DISTRICTE 4,ROC BLANC                     ,3
2011,ALGÈRIA                       ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,1
2011,ALGÈRIA                       ,DISTRICTE 5,CAN BOADA DEL PI              ,1
2011,ALGÈRIA                       ,DISTRICTE 5,CAN ROCA                      ,2
2011,ALGÈRIA                       ,DISTRICTE 5,SANT PERE                     ,3
2011,ALGÈRIA                       ,DISTRICTE 6,CAN TUSELL                    ,7
2011,ALGÈRIA                       ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,5
2011,ALTRES PAÏSOS D ÀFRICA        ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2011,ALTRES PAÏSOS D ÀSIA          ,DISTRICTE 1,CEMENTIRI VELL                ,2
2011,ALTRES PAÏSOS D ÀSIA          ,DISTRICTE 2,CA N ANGLADA                  ,1
2011,ALTRES PAÏSOS D ÀSIA          ,DISTRICTE 4,CA N AURELL                   ,3
2011,ALTRES PAÏSOS D EUROPA        ,DISTRICTE 5,SANT PERE                     ,1
2011,ANDORRA                       ,DISTRICTE 1,CENTRE                        ,5
2011,ANDORRA                       ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2011,ANDORRA                       ,DISTRICTE 1,VALLPARADÍS                   ,1
2011,ANDORRA                       ,DISTRICTE 2,CA N ANGLADA                  ,4
2011,ANDORRA                       ,DISTRICTE 2,VILARDELL                     ,1
2011,ANDORRA                       ,DISTRICTE 3,CAN PALET                     ,2
2011,ANDORRA                       ,DISTRICTE 3,SEGLE XX                      ,1
2011,ANDORRA                       ,DISTRICTE 4,CA N AURELL                   ,6
2011,ANDORRA                       ,DISTRICTE 4,LA COGULLADA                  ,2
2011,ANDORRA                       ,DISTRICTE 4,LA MAURINA                    ,1
2011,ANDORRA                       ,DISTRICTE 4,ROC BLANC                     ,1
2011,ANDORRA                       ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,1
2011,ANDORRA                       ,DISTRICTE 5,CAN BOADA DEL PI              ,1
2011,ANDORRA                       ,DISTRICTE 5,CAN ROCA                      ,1
2011,ANDORRA                       ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2011,ANDORRA                       ,DISTRICTE 5,SANT PERE                     ,4
2011,ANDORRA                       ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,2
2011,ANDORRA                       ,DISTRICTE 6,CAN TUSELL                    ,1
2011,ANDORRA                       ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,3
2011,ANDORRA                       ,DISTRICTE 6,SANT PERE NORD                ,4
2011,ANGOLA                        ,DISTRICTE 1,CENTRE                        ,1
2011,ANGOLA                        ,DISTRICTE 3,CAN PALET                     ,1
2011,ANGOLA                        ,DISTRICTE 3,SEGLE XX                      ,1
2011,ANGOLA                        ,DISTRICTE 4,CA N AURELL                   ,2
2011,ANGOLA                        ,DISTRICTE 4,ROC BLANC                     ,1
2011,ANGOLA                        ,DISTRICTE 5,CAN ROCA                      ,2
2011,ANGOLA                        ,DISTRICTE 5,SANT PERE                     ,1
2011,APÀTRIDES                     ,DISTRICTE 1,CENTRE                        ,1
2011,"ARÀBIA SAUDITA, L             ",DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2011,"ARÀBIA SAUDITA, L             ",DISTRICTE 2,CA N ANGLADA                  ,1
2011,"ARÀBIA SAUDITA, L             ",DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,1
2011,"ARGENTINA, L                  ",DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,5
2011,"ARGENTINA, L                  ",DISTRICTE 1,CEMENTIRI VELL                ,58
2011,"ARGENTINA, L                  ",DISTRICTE 1,CENTRE                        ,154
2011,"ARGENTINA, L                  ",DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,66
2011,"ARGENTINA, L                  ",DISTRICTE 1,VALLPARADÍS                   ,37
2011,"ARGENTINA, L                  ",DISTRICTE 2,CA N ANGLADA                  ,98
2011,"ARGENTINA, L                  ",DISTRICTE 2,MONTSERRAT                    ,9
2011,"ARGENTINA, L                  ",DISTRICTE 2,TORRE-SANA                    ,37
2011,"ARGENTINA, L                  ",DISTRICTE 3,CAN JOFRESA                   ,9
2011,"ARGENTINA, L                  ",DISTRICTE 3,CAN PALET                     ,81
2011,"ARGENTINA, L                  ",DISTRICTE 3,CAN PALET II                  ,3
2011,"ARGENTINA, L                  ",DISTRICTE 3,CAN PARELLADA                 ,21
2011,"ARGENTINA, L                  ",DISTRICTE 3,GUADALHORCE                   ,6
2011,"ARGENTINA, L                  ",DISTRICTE 3,LES FONTS                     ,14
2011,"ARGENTINA, L                  ",DISTRICTE 3,P.I. SANTA EULÀLIA            ,1
2011,"ARGENTINA, L                  ",DISTRICTE 3,SEGLE XX                      ,50
2011,"ARGENTINA, L                  ",DISTRICTE 3,XÚQUER                        ,2
2011,"ARGENTINA, L                  ",DISTRICTE 4,CA N AURELL                   ,150
2011,"ARGENTINA, L                  ",DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,7
2011,"ARGENTINA, L                  ",DISTRICTE 4,LA COGULLADA                  ,38
2011,"ARGENTINA, L                  ",DISTRICTE 4,LA MAURINA                    ,21
2011,"ARGENTINA, L                  ",DISTRICTE 4,ROC BLANC                     ,33
2011,"ARGENTINA, L                  ",DISTRICTE 5,CAN BOADA CASC ANTIC          ,55
2011,"ARGENTINA, L                  ",DISTRICTE 5,CAN BOADA DEL PI              ,8
2011,"ARGENTINA, L                  ",DISTRICTE 5,CAN GONTERES                  ,2
2011,"ARGENTINA, L                  ",DISTRICTE 5,CAN ROCA                      ,12
2011,"ARGENTINA, L                  ",DISTRICTE 5,PLA DEL BON AIRE              ,8
2011,"ARGENTINA, L                  ",DISTRICTE 5,PLA DEL BON AIRE - EL GARROT  ,1
2011,"ARGENTINA, L                  ",DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,90
2011,"ARGENTINA, L                  ",DISTRICTE 5,SANT PERE                     ,100
2011,"ARGENTINA, L                  ",DISTRICTE 5,TORRENT D EN PERE PARRES      ,48
2011,"ARGENTINA, L                  ",DISTRICTE 6,CAN TUSELL                    ,10
2011,"ARGENTINA, L                  ",DISTRICTE 6,ÈGARA                         ,29
2011,"ARGENTINA, L                  ",DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,56
2011,"ARGENTINA, L                  ",DISTRICTE 6,SANT LLORENÇ                  ,32
2011,"ARGENTINA, L                  ",DISTRICTE 6,SANT PERE NORD                ,117
2011,ARMÈNIA                       ,DISTRICTE 1,CEMENTIRI VELL                ,9
2011,ARMÈNIA                       ,DISTRICTE 1,CENTRE                        ,1
2011,ARMÈNIA                       ,DISTRICTE 2,CA N ANGLADA                  ,4
2011,ARMÈNIA                       ,DISTRICTE 4,CA N AURELL                   ,6
2011,ARMÈNIA                       ,DISTRICTE 4,LA COGULLADA                  ,6
