COGNOM1,ANY_NAIXEMENT,SEXE,TOTAL
SANCHEZ,2016,H,29
GARCIA,2016,H,28
GARCIA,2016,D,27
LOPEZ,2016,H,24
PEREZ,2016,D,23
MARTINEZ,2016,D,22
MARTINEZ,2016,H,22
RODRIGUEZ,2016,D,18
LOPEZ,2016,D,17
GONZALEZ,2016,H,14
PEREZ,2016,H,14
FERNANDEZ,2016,D,13
RODRIGUEZ,2016,H,12
FERNANDEZ,2016,H,12
SANCHEZ,2016,D,11
HERNANDEZ,2016,H,10
GONZALEZ,2016,D,10
GOMEZ,2016,H,10
HERNANDEZ,2016,D,8
JIMENEZ,2016,H,8
RUIZ,2016,H,8
TORRES,2016,D,7
GOMEZ,2016,D,7
DURAN,2016,H,6
DIAZ,2016,H,6
NAVARRO,2016,D,6
JIMENEZ,2016,D,6
CORTES,2016,H,6
MORENO,2016,H,6
ORTIZ,2016,D,6
NDIAYE,2016,D,6
VAZQUEZ,2016,D,5
PUIG,2016,D,5
MORALES,2016,D,5
ALVAREZ,2016,H,5
RUIZ,2016,D,5
VAZQUEZ,2016,H,5
MORALES,2016,H,5
MORENO,2016,D,5
NAVARRO,2016,H,5
CONTRERAS,2016,H,5
MARIN,2016,D,4
CORTES,2016,D,4
DIAZ,2016,D,4
RAMOS,2016,H,4
SANTIAGO,2016,H,4
MUÑOZ,2016,H,4
NDIAYE,2016,H,4
ROMERO,2016,H,4
FLORES,2016,D,4
FUENTES,2016,D,4
CASADO,2016,H,4
FERRER,2016,D,4
MARTIN,2016,H,4
ARAUJO,2016,H,3
LUNA,2016,H,3
SERRANO,2016,H,3
OLIVE,2016,D,3
GUTIERREZ,2016,H,3
GUTIERREZ,2016,D,3
SANZ,2016,D,3
ARENAS,2016,D,3
VIDAL,2016,D,3
LOZANO,2016,D,3
GIMENEZ,2016,D,3
RAMIREZ,2016,D,3
MARTIN,2016,D,3
SOLE,2016,H,3
LAZARO,2016,H,3
MATEO,2016,H,3
MUÑOZ,2016,D,3
PINTO,2016,D,3
GUERRERO,2016,H,3
CASTRO,2016,D,3
AGUILAR,2016,D,3
TORRAS,2016,H,3
MEDINA,2016,H,3
VILLA,2016,D,3
RUBIO,2016,H,3
VARGAS,2016,D,3
REYES,2016,D,3
AVILES,2016,H,3
SIERRA,2016,H,3
TORRES,2016,H,3
ROJAS,2016,H,3
SANTOS,2016,D,3
BORREGO,2016,D,3
CANO,2016,D,3
SALVADOR,2016,D,3
ROMERO,2016,D,3
FERRON,2016,D,3
CARMONA,2016,H,3
TAGHI,2016,D,3
ALONSO,2016,H,3
MARQUEZ,2016,D,3
RAMIREZ,2016,H,3
MENDEZ,2016,H,2
CASTRO,2016,H,2
LUQUE,2016,H,2
ARANDA,2016,D,2
BERMUDEZ,2016,H,2
DIA,2016,H,2
