ï»¿NOM,TELEFON,EMAIL,HORARI,ADRECA,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,LOCALITZACIO
Restaurant Hotel Don Cándido,937 333 300,,,"RB DEL PARE ALEGRE, 98",417384.1870,4600772.0254,417290.1938,4600567.8062,2.0082262,41.5525018,"(41.55250183633363, 2.008226187054507)"
Bar Restaurante La Espuela,937 318 210,,De dimarts a diumenge de 9.00 a 00.00 h.,"CA DE SANTA LLÚCIA, 113",419373.8438,4601745.2500,419279.8610,4601541.0172,2.0319502,41.5614699,"(41.561469935168375, 2.031950194745903)"
El Rincon del Gato,937 848 414     ,,,"CA DE LA POETESSA CAPARÀ, 35",418730.5313,4602956.7500,418636.5567,4602752.5240,2.0240721,41.5723156,"(41.57231560786222, 2.0240721390610963)"
Leoman,937 330 775     ,, de dimarts a diumenge de 8 a 2 matinada,"AV DE L ABAT MARCET, 321",417136.7364,4603182.9506,417042.7611,4602978.7370,2.0049266,41.5741890,"(41.574189038314884, 2.0049265606766675)"
Café Kebab,937 368 393   661 058 099,raza_2009@hotmail.com,,"CA D ARQUIMEDES, 256",417267.5625,4602177.3125,417173.5797,4601973.0964,2.0066343,41.5651458,"(41.56514581924054, 2.0066342681042317)"
Restaurant Barbacoa,937 858 650     ,," de dilluns a dijous de 8 a 21 h, divendres i dissabte de 8 a 24 h (aproximadament) i diumenge de 8 a 18 h","CA DE PALÈNCIA, 9",419949.9679,4601713.4076,419855.9858,4601509.1704,2.0388628,41.5612411,"(41.56124107706305, 2.038862779116469)"
Restaurant Escorpion,937 832 314     ,,,"CA D IGUALADA, 3-D",418111.2827,4600472.5886,418017.2883,4600268.3634,2.0169844,41.5498799,"(41.54987990268625, 2.016984401949662)"
Restaurant La Botigueta,937 338 970,,Dilluns de 13.00 a 16.00 h. i de dimecres a diumenge de 13.00 a 16.00 h. i de 20.00 a 23.30 h.,"AV DE JOSEP TARRADELLAS, 8",417041.7527,4602774.6296,416947.7741,4602570.4161,2.0038439,41.5705018,"(41.57050184436396, 2.003843859347799)"
Mahia,937 841 271     ,, tots el dies de 9.30 a 24 h i dilluns no festius tancats,"CA DE HUELVA, 5",419374.7188,4602574.3750,419280.7423,4602370.1435,2.0318493,41.5689372,"(41.56893718793695, 2.031849291490239)"
Palau Orient,937 314 432     ,, de 13 a 16 h. i de 20.30 a 24 h.,"AV DEL TÈXTIL, 47",418836.5774,4599965.2353,418742.5803,4599761.0039,2.0257484,41.5453846,"(41.54538459521888, 2.025748422434433)"
Restaurant La Fama,937 884 645,,,"CR DE MONTCADA, 30",417440.6798,4601261.4898,417346.6904,4601057.2710,2.0088362,41.5569158,"(41.55691580496587, 2.0088361943177393)"
