VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CDS            ,CENTRO DEMOCRÁTICO Y SOCIAL                       ,1
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CENB           ,CIUDADANOS EN BLANCO                              ,4
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,554
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,DN             ,DEMOCRACIA NACIONAL                               ,1
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,EI             ,ESCONS INSUBMISOS-ALTERNATIVA DELS DEMÒCRATES DESC,3
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ERC            ,ESQUERRA REPUBLICANA DE CATALUNYA                 ,406
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,EV-AE          ,ELS VERDS-L ALTERNATIVA ECOLOGISTA                ,23
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,FDE            ,FRENTE DEMOCRÁTICO ESPAÑOL                        ,1
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,FE             ,LA FALANGE                                        ,0
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,FE DE LAS JONS ,FALANGE ESPAÑOLA DE LAS JONS                      ,1
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ICV-EUIA       ,INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I AL,166
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,IR-PRE         ,IZQUIERDA REPUBLICANA-PARTIT REPUBLICÀ D ESQUERRA ,1
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,LI-LITCI       ,LLUITA INTERNACIONALISTA                          ,0
G,Eleccions Generals                      ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,MSR            ,MOVIMENT SOCIAL REPUBLICÀ                         ,0
