ï»¿VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,SECCIO,PARTIT,NOM_PARTIT,VOTS
P,Eleccions al Parlament de Catalunya     ,2006,1,1,AES-DN         ,Plataforma Adelante Cataluña                      ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,1,C S            ,Ciutadans-Partido de la Ciudadania                ,3
P,Eleccions al Parlament de Catalunya     ,2006,1,1,CIU            ,Convergència i Unió                               ,463
P,Eleccions al Parlament de Catalunya     ,2006,1,1,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,1,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,1
P,Eleccions al Parlament de Catalunya     ,2006,1,1,ERC            ,Esquerra Republicana de Catalunya                 ,93
P,Eleccions al Parlament de Catalunya     ,2006,1,1,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,5
P,Eleccions al Parlament de Catalunya     ,2006,1,1,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,44
P,Eleccions al Parlament de Catalunya     ,2006,1,1,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,1,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,1,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,1,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,1,PFIV           ,Partit Familia i Vida                             ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,1,PH             ,Partit Humanista de Catalunya                     ,1
P,Eleccions al Parlament de Catalunya     ,2006,1,1,POSI           ,Partit Obrer Socialista Internacionalista         ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,1,PP             ,Partit Popular                                    ,62
P,Eleccions al Parlament de Catalunya     ,2006,1,1,PSC-PSOE-CPC   ,Partit dels Socialistes de Catalunya - Ciutadans p,61
P,Eleccions al Parlament de Catalunya     ,2006,1,1,RC             ,Partit Republicà Català                           ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,2,AES-DN         ,Plataforma Adelante Cataluña                      ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,2,C S            ,Ciutadans-Partido de la Ciudadania                ,19
P,Eleccions al Parlament de Catalunya     ,2006,1,2,CIU            ,Convergència i Unió                               ,379
P,Eleccions al Parlament de Catalunya     ,2006,1,2,DECIDEIX.CAT   ,Catalunya Decideix                                ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,2,EI             ,Escons Insubmisos - Alternativa dels Demòcrates De,5
P,Eleccions al Parlament de Catalunya     ,2006,1,2,ERC            ,Esquerra Republicana de Catalunya                 ,130
P,Eleccions al Parlament de Catalunya     ,2006,1,2,EV-EVC         ,Els Verds-Ecologistes i Verds de Catalunya        ,6
P,Eleccions al Parlament de Catalunya     ,2006,1,2,ICV-EUIA       ,Iniciativa per Catalunya Verds-Esquerra Unida i Al,69
P,Eleccions al Parlament de Catalunya     ,2006,1,2,MSR            ,Movimiento Social Republicano                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,2,PACMA          ,Partit Antitaurí Contra el Maltractament Animal   ,4
P,Eleccions al Parlament de Catalunya     ,2006,1,2,PAZUL          ,Carmel/Partido Azul                               ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,2,PCPC           ,Partit Comunista de Poble de Catalunya            ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,2,PFIV           ,Partit Familia i Vida                             ,10
P,Eleccions al Parlament de Catalunya     ,2006,1,2,PH             ,Partit Humanista de Catalunya                     ,0
P,Eleccions al Parlament de Catalunya     ,2006,1,2,POSI           ,Partit Obrer Socialista Internacionalista         ,1
