VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ARALAR         ,ARALAR                                            ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CDS            ,CENTRO DEMOCRÁTICO Y SOCIAL                       ,1
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CE             ,COALICIÓN EUROPEA                                 ,2
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CIU            ,CONVERGÈNCIA I UNIÓ-GALEUSCA POBLES D  EUROPA     ,221
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CL             ,COALICIÓN LIBERAL                                 ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CUP            ,CANDIDATURA D UNITAT POPULAR                      ,3
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,DN             ,DEMOCRACIA NACIONAL                               ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,EC             ,ESTAT CATALÀ                                      ,1
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ERC            ,ESQUERRA REPUBLICANA DE CATALUNYA                 ,159
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,EV-GV          ,ELS VERDS - GRUP VERD EUROPEU                     ,10
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,FA             ,FALANGE AUTÉNTICA                                 ,1
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,FE             ,LA FALANGE                                        ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,FE DE LAS JONS ,FALANGE ESPAÑOLA DE LAS JONS                      ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ICV-EUIA       ,INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I AL,112
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,LOS PARADOS    ,LOS PARADOS                                       ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,NIV            ,NUEVA IZQUIERDA VERDE                             ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,NÓS-UP         ,NÓS-UNIDADE POPULAR                               ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,P. CANNABIS    ,PARTIDO CANNABIS POR LA LEGALIZACIÓN Y NORMALIZACI,2
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PADE           ,PARTIDO DEMÓCRATA ESPAÑOL                         ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PASOC          ,PARTIDO DE ACCIÓN SOCIALISTA                      ,0
E,Eleccions al Parlament Europeu          ,2004,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PC             ,PARTIDO CARLISTA                                  ,0
