VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,SECCIO,PARTIT,NOM_PARTIT,VOTS
E,Eleccions al Parlament Europeu          ,2004,1,1,ARALAR         ,ARALAR                                            ,1
E,Eleccions al Parlament Europeu          ,2004,1,1,CDS            ,CENTRO DEMOCRÁTICO Y SOCIAL                       ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,CE             ,COALICIÓN EUROPEA                                 ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,CIU            ,CONVERGÈNCIA I UNIÓ-GALEUSCA POBLES D  EUROPA     ,252
E,Eleccions al Parlament Europeu          ,2004,1,1,CL             ,COALICIÓN LIBERAL                                 ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,CUP            ,CANDIDATURA D UNITAT POPULAR                      ,2
E,Eleccions al Parlament Europeu          ,2004,1,1,DN             ,DEMOCRACIA NACIONAL                               ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,EC             ,ESTAT CATALÀ                                      ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,ERC            ,ESQUERRA REPUBLICANA DE CATALUNYA                 ,63
E,Eleccions al Parlament Europeu          ,2004,1,1,EV-GV          ,ELS VERDS - GRUP VERD EUROPEU                     ,2
E,Eleccions al Parlament Europeu          ,2004,1,1,FA             ,FALANGE AUTÉNTICA                                 ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,FE             ,LA FALANGE                                        ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,FE DE LAS JONS ,FALANGE ESPAÑOLA DE LAS JONS                      ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,ICV-EUIA       ,INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I AL,31
E,Eleccions al Parlament Europeu          ,2004,1,1,LOS PARADOS    ,LOS PARADOS                                       ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,NIV            ,NUEVA IZQUIERDA VERDE                             ,2
E,Eleccions al Parlament Europeu          ,2004,1,1,NÓS-UP         ,NÓS-UNIDADE POPULAR                               ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,P. CANNABIS    ,PARTIDO CANNABIS POR LA LEGALIZACIÓN Y NORMALIZACI,0
E,Eleccions al Parlament Europeu          ,2004,1,1,PADE           ,PARTIDO DEMÓCRATA ESPAÑOL                         ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,PASOC          ,PARTIDO DE ACCIÓN SOCIALISTA                      ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,PC             ,PARTIDO CARLISTA                                  ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,PCPE-LI (LIT-CI,POR UNA EUROPA DE LOS TRABAJADORES Y LOS PUEBLOS  ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,PFYV           ,PARTIDO  FAMILIA Y VIDA                           ,14
E,Eleccions al Parlament Europeu          ,2004,1,1,PH             ,PARTIDO HUMANISTA                                 ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,POSI           ,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA       ,0
E,Eleccions al Parlament Europeu          ,2004,1,1,PP             ,PARTIDO POPULAR                                   ,99
E,Eleccions al Parlament Europeu          ,2004,1,1,PREPAL         ,"SALAMANCA, ZAMORA, LEÓN PREPAL                    ",0
E,Eleccions al Parlament Europeu          ,2004,1,1,PSC (PSC-PSOE) ,PARTIT DELS SOCIALISTES DE CATALUNYA              ,88
E,Eleccions al Parlament Europeu          ,2004,1,1,PUM+J          ,POR UN MUNDO MÁS JUSTO                            ,0
