COGNOM2,ANY_NAIXEMENT,SEXE,TOTAL
MARTINEZ,2016,D,25
GONZALEZ,2016,D,22
GARCIA,2016,H,22
GARCIA,2016,D,21
GONZALEZ,2016,H,21
SANCHEZ,2016,H,21
LOPEZ,2016,H,19
MARTINEZ,2016,H,19
PEREZ,2016,H,18
RODRIGUEZ,2016,D,16
PEREZ,2016,D,16
LOPEZ,2016,D,15
FERNANDEZ,2016,D,14
RUIZ,2016,D,13
JIMENEZ,2016,H,13
RODRIGUEZ,2016,H,12
SANCHEZ,2016,D,12
FERNANDEZ,2016,H,10
MORALES,2016,H,9
MORENO,2016,D,9
GOMEZ,2016,H,9
RAMIREZ,2016,H,8
DIAZ,2016,H,8
MUÑOZ,2016,H,8
MOLINA,2016,D,8
MORENO,2016,H,8
ROMERO,2016,D,8
VAZQUEZ,2016,H,8
HERNANDEZ,2016,H,7
GIMENEZ,2016,D,6
NAVARRO,2016,D,6
MARTIN,2016,D,6
JIMENEZ,2016,D,6
GOMEZ,2016,D,6
DELGADO,2016,H,6
ORTIZ,2016,H,6
ALVAREZ,2016,H,6
HERNANDEZ,2016,D,5
DIAZ,2016,D,5
CASTILLO,2016,H,5
CALVO,2016,D,5
MILAN,2016,H,5
MORALES,2016,D,5
SERRANO,2016,H,4
ALBA,2016,D,4
NOVELLON,2016,H,4
CORTES,2016,H,4
DOMINGUEZ,2016,D,4
RAMIREZ,2016,D,4
RUIZ,2016,H,4
VAZQUEZ,2016,D,4
CORTES,2016,D,4
MARTIN,2016,H,4
CASTRO,2016,D,4
SANTIAGO,2016,D,4
FUENTES,2016,D,4
CARRILLO,2016,H,4
BLANCO,2016,H,4
VIDAL,2016,H,3
SEGURA,2016,H,3
VIDAL,2016,D,3
SOLA,2016,H,3
MONTERO,2016,H,3
RAMON,2016,D,3
ESPINOSA,2016,H,3
PLAZA,2016,H,3
ORDOÑEZ,2016,D,3
PRIETO,2016,D,3
RAMOS,2016,H,3
PORRAS,2016,H,3
MOHAMED,2016,D,3
SEGURA,2016,D,3
GIMENEZ,2016,H,3
GIL,2016,H,3
CAMACHO,2016,D,3
FRANCO,2016,H,3
MEDINA,2016,H,3
ARENAS,2016,H,3
ALBA,2016,H,3
FLORES,2016,H,3
MOLINA,2016,H,3
ABAD,2016,D,3
DURAN,2016,D,3
MONTORO,2016,H,3
LARA,2016,H,3
ORDOÑO,2016,H,3
LUQUE,2016,D,3
COLOMER,2016,H,3
CANO,2016,D,3
TORRES,2016,D,3
IBAÑEZ,2016,D,3
MARIN,2016,H,3
RIOS,2016,H,3
CUBERO,2016,H,3
GUILLEN,2016,H,3
MONTAÑA,2016,D,2
ZAMBUDIO,2016,D,2
YERA,2016,D,2
MENDEZ,2016,H,2
ROLDAN,2016,H,2
ORTIZ,2016,D,2
GALVE,2016,H,2
VICENTE,2016,H,2
MERINO,2016,H,2
CAMPOS,2016,D,2
MILLO,2016,H,2
BARBERO,2016,H,2
GALVEZ,2016,D,2
SOLIS,2016,D,2
ANGUERA,2016,D,2
CUARTERO,2016,H,2
MENDEZ,2016,D,2
DOMINGUEZ,2016,H,2
CARMONA,2016,H,2
ROSA,2016,H,2
JURADO,2016,D,2
REYES,2016,H,2
ALONSO,2016,H,2
MARTOS,2016,D,2
MESA,2016,H,2
VIVES,2016,D,2
NAVARRO,2016,H,2
PALADINES,2016,H,2
CABRERA,2016,H,2
ROYO,2016,H,2
QUINTO,2016,H,2
GUERRERO,2016,D,2
RIVERA,2016,H,2
DURAN,2016,H,2
MARIN,2016,D,2
PEREIRA,2016,D,2
GALINDO,2016,D,2
ORTEGA,2016,H,2
MARTI,2016,D,2
MORAL,2016,H,2
CABRERA,2016,D,2
LAO,2016,D,2
CRUZ,2016,H,2
COLOMER,2016,D,2
FIGUERAS,2016,D,2
VILLEGAS,2016,D,2
RIERA,2016,H,2
AGUILERA,2016,H,2
PARRA,2016,H,2
CARMONA,2016,D,2
ARENAS,2016,D,2
OLIVARES,2016,H,2
MILLAN,2016,H,2
ANTON,2016,D,2
FABREGAS,2016,H,2
MESA,2016,D,2
GALVAN,2016,D,2
GUERRERO,2016,H,2
POLO,2016,H,2
CAMACHO,2016,H,2
VAZILCHUK,2016,H,2
MUÑOZ,2016,D,2
SALINAS,2016,H,2
ROMERO,2016,H,2
CALDERON,2016,D,2
ORDOÑEZ,2016,H,2
CANALES,2016,D,2
SILVA,2016,H,2
GAMEZ,2016,H,2
SANTAEULARIA,2016,D,2
GRAU,2016,D,2
LLEONART,2016,D,2
LEON,2016,H,2
NIETO,2016,H,2
MANSSOUR,2016,H,2
NARDIN,2016,H,2
VEGA,2016,D,2
ORTEGA,2016,D,2
COBO,2016,D,2
BURGOS,2016,H,2
GENE,2016,D,2
LORENZO,2016,D,2
RESTOY,2016,H,2
SANTOS,2016,H,2
RUBIO,2016,D,2
SOTO,2016,D,2
ARIAS,2016,H,2
SALMERON,2016,D,2
VILLALPANDO,2016,H,2
ALONSO,2016,D,2
PASTOR,2016,H,2
SUAREZ,2016,H,2
ALCARAZ,2016,H,2
TORRES,2016,H,2
AVILA,2016,D,2
DESCALS,2016,H,2
URBANO,2016,H,2
TENA,2016,H,1
TEJEIRA,2016,H,1
BARDAJI,2016,H,1
MADDAH,2016,D,1
FERREIRO,2016,H,1
GAVILAN,2016,D,1
MARS,2016,H,1
ROCA,2016,H,1
HIDRA,2016,H,1
LOBOS,2016,D,1
VILLANUEVA,2016,H,1
