DISTRICTE,BARRI,TIPUS_VEHICLE,TOTAL
Districte 5,Pla Del Bon Aire                        ,Turismes,1105
Districte 3,Can Jofresa                             ,Turismes,799
Districte 3,Segle Xx                                ,Camions,559
Districte 3,Segle Xx                                ,Remolcs,59
Districte 5,Can Boada Casc Antic                    ,Turismes,2842
Districte 1,Vallparadís                             ,Turismes,1975
Districte 1,Centre                                  ,Camions,818
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Motocicletes,914
Districte 3,Can Parellada                           ,Remolcs,98
Districte 4,Roc Blanc                               ,Camions,321
Districte 5,Torrent D En Pere Parres                ,Motocicletes,373
Districte 3,Can Parellada                           ,Camions,447
Districte 6,Sant Pere Nord                          ,Camions,772
Districte ,,Motocicletes,711
Districte 1,Pl. Catalunya - Esc. Industrial         ,Camions,186
Districte 1,Cementiri Vell                          ,Ciclomotors,123
Districte 1,Pl. Catalunya - Esc. Industrial         ,Motocicletes,294
Districte 3,Can Jofresa                             ,Ciclomotors,60
Districte 2,Vilardell                               ,Camions,46
Districte 4,Roc Blanc                               ,Ciclomotors,131
Districte 2,Vilardell                               ,Ciclomotors,22
Districte 2,Montserrat                              ,Camions,79
Districte 6,P.I. Can Petit                          ,Camions,187
Districte 3,Can Palet                               ,Tractors,57
Districte 2,Disseminats                             ,Tractors,7
Districte 4,Roc Blanc                               ,Remolcs,82
Districte 3,Can Palet Ii                            ,Remolcs,3
Districte 4,Disseminats                             ,Turismes,16
Districte 4,Les Martines                            ,Camions,82
Districte 3,P.I. Can Parellada                      ,Remolcs,57
Districte 1,Antic Poble De Sant Pere                ,Remolcs,4
Districte 5,Els Caus - Els Pinetons                 ,Turismes,8
Districte 3,Disseminats                             ,Camions,14
Districte 5,Els Caus - Els Pinetons                 ,Camions,7
Districte 3,Disseminats                             ,Turismes,18
Districte 6,Disseminats                             ,Camions,10
Districte 2,Montserrat                              ,Ciclomotors,24
Districte 1,Pl. Catalunya - Esc. Industrial         ,Tractors,10
Districte 3,P.I. Can Parellada                      ,Motocicletes,16
Districte 3,P.I. Els Bellots                        ,Remolcs,5
Districte 5,,Camions,1
Districte ,,Ciclomotors,403
Districte 1,Centre                                  ,Turismes,8102
Districte 5,Torrent D En Pere Parres                ,Turismes,2452
Districte 6,Les Arenes - La Grípia - Can Montllor   ,Remolcs,154
Districte 6,Ègara                                   ,Ciclomotors,120
Districte 5,Can Roca                                ,Camions,127
Districte 5,Pla Del Bon Aire                        ,Motocicletes,126
Districte 2,Vilardell                               ,Remolcs,5
Districte 2,Vilardell                               ,Turismes,234
Districte 6,Can Tusell                              ,Ciclomotors,93
Districte 1,Cementiri Vell                          ,Camions,288
Districte 1,Antic Poble De Sant Pere                ,Turismes,246
Districte 5,Pla Del Bon Aire - El Garrot            ,Turismes,56
Districte 3,Can Palet Ii                            ,Camions,51
Districte 5,Can Roca                                ,Motocicletes,252
Districte 3,Can Palet Ii                            ,Motocicletes,33
Districte 1,Vallparadís                             ,Ciclomotors,78
Districte 3,Can Parellada                           ,Ciclomotors,130
Districte 2,Montserrat                              ,Motocicletes,33
Districte 3,Xúquer                                  ,Ciclomotors,18
Districte 3,Guadalhorce                             ,Camions,50
Districte 4,Disseminats                             ,Tractors,1
Districte 5,Pla Del Bon Aire                        ,Remolcs,26
Districte 3,P.I. Santa Margarida                    ,Turismes,363
Districte 3,Guadalhorce                             ,Tractors,7
Districte 3,Segle Xx                                ,Tractors,56
Districte 6,P.I. Can Petit                          ,Motocicletes,11
Districte 3,P.I. Els Bellots                        ,Camions,95
Districte 2,Vilardell                               ,Motocicletes,13
Districte 5,Can Boada Casc Antic                    ,Tractors,16
Districte 6,Font De L Espardenyera                  ,Camions,12
Districte 4,Vista Alegre                            ,Remolcs,1
Districte 6,P.I. Nord                               ,Motocicletes,3
Districte 3,P.I. Can Guitard                        ,Camions,32
Districte 5,Els Caus - Els Pinetons                 ,Tractors,1
Districte 3,Can Parellada                           ,Desconegut,1
Districte 4,La Maurina                              ,Camions,433
Districte 3,Can Palet                               ,Ciclomotors,294
Districte 4,Ca N Aurell                             ,Camions,873
Districte 2,Montserrat                              ,Turismes,411
Districte 6,Ègara                                   ,Remolcs,49
Districte 3,Les Fonts                               ,Camions,128
Districte 5,Can Gonteres                            ,Camions,43
Districte 5,Pla Del Bon Aire                        ,Camions,114
Districte 4,Roc Blanc                               ,Motocicletes,429
Districte 3,Xúquer                                  ,Turismes,526
Districte 1,Cementiri Vell                          ,Remolcs,52
Districte 5,Poble Nou - Zona Esportiva              ,Remolcs,106
Districte 3,Can Parellada                           ,Tractors,53
Districte 2,Ca N Anglada                            ,Ciclomotors,293
Districte 1,Centre                                  ,Tractors,97
Districte 2,Ca N Anglada                            ,Motocicletes,483
Districte 4,Les Martines                            ,Tractors,25
Districte 5,Sant Pere                               ,Ciclomotors,283
