"NUM-REG","registro-entrada","CODPOS","MUNICIPIO","SECTOR","CAUSA","FECHA","AÑO","contestacion- CONSUMIDOR","MEDIACION-EMPRESA","ESTADO","INHIBICIÓN A"
"130","-2014006773","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","10/03/2014","/2014","","","ARCHIVO NO CONSUMO",""
"44","-2014001194","46900","TORRENT","ASISTENCIA MÉDICA","PRESTACIÓN DE SERVICIOS","29/01/2014","/2014","","25/03/2014","",""
"52","-36012014","46460","SILLA","OTROS","OTROS","30/01/2014","/2014","","","",""
"364","3652014","46900","TORRENT","MUEBLES","OTROS","","/2014","","20/08/2014","",""
"4","2014000043","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","02/01/2014","/2014","","24/02/2014","",""
"5","2014000053","46900","TORRENT","INFORMATICA","OTROS","02/01/2014","/2014","08/04/2014","24/02/2014","ARCHIVO POR NO RECOGER NOTIFICACIÓN",""
"6","2014000178","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","03/01/2014","/2014","28/03/2014","24/01/2014","",""
"7","2014000331","46900","TORRENT","OTROS","OTROS","08/01/2013","/2014","18/04/2014","24/02/2014","",""
"3","2014000335","46900","TORRENT","OTROS","OTROS","08/01/2014","/2014","","","",""
"8","2014000340","46900","TORRENT","MUEBLES","PRECIOS","08/01/2014","/2014","","24/02/2014","",""
"10","2014000363","46900","TORRENT","SEGUROS","PRECIOS","08/01/2014","/2014","17/04/2014","05/03/2014","",""
"9","2014000365","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","08/01/2014","/2014","","05/03/2014","",""
"11","2014000433","46900","TORRENT","S.A.T.","INCUMPLIMIENTO CONDICIONES VENTA","09/01/2014","/2014","","","",""
"12","2014000440","46900","TORRENT","TELEFONÍA E INTERNET","PRECIOS","09/01/2014","/2014","16/04/2014","05/03/2014","",""
"13","2014000456","46900","TORRENT","OTROS","OTROS","09/01/2014","/2014","29/04/2014","06/03/2014","",""
"14","2014000581","46900","TORRENT","BANCA","PRECIOS","10/01/2014","/2014","12/04/2014","05/05/2014","",""
"2","2014000594","46900","TORRENT","OTROS","OTROS","10/01/2014","/2014","","","",""
