Ed.,AÑO,ATLETA,CLUB,MARCA,CATEGORIA
I,2005,ABDERAHMAN CHMAITI,INDEPENDIENTE,"1h. 13' 07",Hombres
II,2006,ABDERRAHIM AIT BEN CHATOUI,C. A. TORRENT,"1h. 09' 57",Hombres
III,2007,ABDELHADI HABASSA,INDEPENDIENTE,"1h. 09' 38",Hombres
IV,2008,ABDELILA H ELMANAIA,C.D. ES POSIBLE,"1h. 10' 17",Hombres
V,2009,MJIBAR ABDELILAH,INDEPENDIENTE,"1h. 10' 17",Hombres
VI,2010,MIGUEL VÁZQUES,DELTA VALENCIA C.A.,"1h. 09' 59",Hombres
VII,2011,ADIL EL HAND,ES POSIBLE CD,"1h. 12' 53",Hombres
VIII,2012,JOSÉ L. DEL CAMPO,CÁRNICAS SERRANO,"1h. 12' 35",Hombres
IX,2013,ANDRÉS MICÓ MARTÍNEZ,NEW BALANCE,"1h. 09' 37",Hombres
X,2014,MANUEL HERRERO OLIVA,EVASIÓN RUNNING,"1h. 17' 49",Hombres
XI,2015,JOSÉ A. TELLER FERNÁNDEZ,SERRANO C.A.,"1h. 15' 07",Hombres
XII,2016,ADIL IBN SALAH,INDEPENDIENTE,"1h. 13' 53",Hombres
I,2005,CARMEN SALA FERRER,C. E. AMBRA,"1h. 23' 38",Mujeres
II,2006,PATRICIA MONTALVO,PUERTO DE ALICANTE,"1h. 26' 58",Mujeres
III,2007,ROSA TERESI MORALES,ASEFICAN PIELAGOS,"1h. 23' 04",Mujeres
IV,2008,PATRICIA MONTALVO,DIPUTACION ALBACETE,"1h. 31' 21",Mujeres
V,2009,MAXINE MCKINNON,C.A. DIANIUM,"1h. 22' 23",Mujeres
VI,2010,MAXINE MCKINNON,C.A. DIANIUM,"1h. 22' 31",Mujeres
VII,2011,Mª ÁNGELES TETUÁN,CORRECAMINOS SD,"1h. 23' 46",Mujeres
VIII,2012,AMPARO GALLENT,INDEPENDIENTE,"1h. 38' 13",Mujeres
IX,2013,TERESA GÓMEZ VIVES,TRIATLÓN,"1h. 38' 08",Mujeres
X,2014,MARIEMY AZORIA CORCOLES,LADYS & MR RUNNING,"1h. 37' 40",Mujeres
XI,2015,ALICIA GIL MARTÍNEZ,VILA DE ALAQUÀS,"1h. 44' 46",Mujeres
XII,2016,MARILÓ COLOMINO LECHUGA,TORRENT CORRE,"1h. 35' 00",Mujeres
