Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
SERVICIOS GENERALES,ES0021000008524067ZB,2.0A, ,6.267, , ,871,9.204, ,4.825, ,5.690, ,5.834,32.691
SERVICIOS GENERALES,ES0021000008524078ZE,2.0A, ,5.775, , ,4.912,3.533, ,4.126, ,4.882, ,5.483,28.711
ALUMBRADO PUBLICO,ES0021000008524145VC,2.0A, ,7.879, , ,6.994,4.685, ,4.913, ,6.941, ,3.891,35.303
ASOCIAC. DE VECINOS NICOLAS ANDREU,ES0021000008525851TR,2.0A, ,2.807, ,1.261, ,1.657, ,415, ,2.599, ,1.578,10.317
AYTO.TORRENT (CENTRO SALUD),ES0021000008526871KD,2.0A, ,0.00, ,0.00, ,0.00, ,7, ,6,3,4,20
AYTO.TORRENT CE.EDUCA.PERMA,ES0021000008528615MM,2.0A, ,0.00, ,0.00, ,0.00, ,0.00, ,0.00, , ,0.00
AYTO.TORRENT  CENTRO DE ADULTOS,ES0021000008528634YR,2.0A, ,0.00, ,0.00, ,0.00, ,0.00, ,0.00,0.00, ,0.00
ASOCIACION VECINOS PINTOR BENEDITO,ES0021000008528949LV,2.0A, ,1.299, ,2.666, ,2.319, ,2.418, ,2.338, ,2.073,13.113
AA.VV. DE LA MARXADELLA,ES0021000008531398BM,2.0A, ,3.052, ,2.385, ,2.205, ,3.106, ,2.839, ,2.397,15.984
AYTO.TORRENT HOGAR JUBILADO,ES0021000008536027MB,2.0A,1.276, , ,1.214, ,836,804, ,550, ,381, ,5.061
ALUMBRADO PUBLICO,ES0021000008536393KD,2.0A, ,4.423, ,3.502, ,3.257, ,3.184, ,3.845, ,3.919,22.130
ALUMBRADO PUBLICO,ES0021000008536467RZ,2.0A,9.112, ,7.008, ,3.923, ,5.225, ,5.540, , ,9.456,40.264
ASOCIAC. DE VECINOS CASTILLA LA MANCHA,ES0021000008537755BZ,2.0A, ,3.240, ,2.763, ,2.412, ,2.003, ,2.591, ,2.404,15.413
ALUMBRADO PUBLICO,ES0021000008538869ZR,2.0A, ,17.579, ,4.022, ,10.736, ,8.992, ,11.582, ,13.981,66.892
ALUMBRADO PUBLICO,ES0021000008539444QR,2.0A, ,5.526, , ,4.955,3.415, ,3.733, ,4.552, ,5.195,27.376
DEPENDENCIA MUNICIPAL,ES0021000008541045QS,2.0A,2, ,0.00, ,0.00, ,0.00, ,0.00, , ,0.00,2
"CENTRO JUVENIL 'LA TORTUGA'",ES0021000008542139HM,2.0A, ,363, ,145, ,104,0.00, ,125, ,146, ,883 
AYTO.TORRENT (ESC.CICLISMO),ES0021000008542672HD,2.0A,575, , ,632, ,562,727, ,801, ,628, ,3.925
AYTO.TORRENT C.SOCIAL CULTU,ES0021000008543518DG,2.0A, ,227, ,190, ,229, ,105, ,119,169, ,1.039
ASOCIACION DE DISCAPACITADOS,ES0021000008543671SL,2.0A, ,0.00, ,0.00, ,0.00, ,0.00, , ,1, ,1
LOCAL SOCIAL,ES0021000008544498MH,2.0A, ,112, ,29, ,6, ,19, ,24, ,55,245
ELEVACION CONTENEDORES RESIDUOS ORGAN.,ES0021000008548155AH,2.0A, ,160, ,154, ,80, ,135, ,127, ,139,795
BAR,ES0021000008550639LH,2.0A, ,313, , , ,292, ,358, ,306, ,258,1.527
ALUMBRADO PUBLICO,ES0021000008553770VK,2.0A, ,11.651, ,8.505, ,7.171, ,7.141, ,8.932, ,8.744,52.144
DEPEND.  MUNICIPALES  PROTECCION CIVIL,ES0021000008554451RN,2.0A, ,2.815, , ,2.124,1.054, ,1.522, ,1.081, ,935,9.531
ESCUELA M. PETRA,ES0021000008554903KG,2.0A, ,3.209, ,2.453, ,1.075, ,515, ,718, ,1.230,9.200
ALUMBRADO PUBLICO,ES0021000008554994WA,2.0A, ,2.136, ,1.609, ,1.502, ,1.500, ,1.762, ,1.905,10.414
ASOCIAC. VECINOS CAMI LA NORIA,ES0021000008558651TA,2.0A, ,525, ,0.00, ,679, ,329, ,151, ,307,1.991
ALUMBRADO PUBLICO,ES0021000008559868FR,2.0A, ,11.749, ,8.789, ,7.746, ,6.648, ,9.154, ,9.904,53.990
ALUMBRADO PUBLICO,ES0021000008562421AR,2.0A, ,8.230, ,6.174, ,5.631, ,5.435, ,6.142, ,7.258,38.870
