"Descripción Punto de Suministro","CUPS","Tarifa Acceso","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","Total"
"AA,VV, DE LA MARXADELLA","ES0021000008531398BM","2.0A",2.101,1.792,1.234,1.289,1.217,978,1.431,2.156,1.005,1.343,0,1.572,16.118
"ALMACEN- RECOGIDA RESIDUOS SOLIDOS","ES0021000011568539VL","3.1A",20.286,15.740,16.607,17.794,14.408,13.225,17.006,16.646,13.446,13.627,15.076,19.578,193.439
"ALMACEN-RIEGO, PARC CENTRAL, PASO INF.","ES0021000012001412RD","2.0A",0,179,0,163,0,142,0,108,149,0,239,0,980
"ALMACEN DEPENDENCIA MUNICIPAL","ES0021000010783064KV","2.0A",0,0,0,0,0,0,12,0,0,0,0,0,12
"ALUMB. PUBLICO, PARC CENTRAL FASE B","ES0021000011981274EL","3.0A",23.185,18.925,16.284,18.001,15.496,10.303,13.051,13.161,13.134,14.939,18.521,18.145,193.145
"ALUMB. PUBLICO, PARC CENTRAL, FASE B","ES0021000011981310RD","3.0A",14.694,10.523,10.389,10.989,8.381,7.399,8.077,8.252,7.854,9.949,10.913,13.421,120.841
"ALUMB. PUBLICO, PARQUE CENTRAL, FASE B","ES0021000012268255BY","2.0DHA",0,5.555,0,4.133,0,3.071,0,0,5.203,0,4.497,0,22.459
"ALUMB. PUBLICO, URB. MASIA PAVIA","ES0021000012712829CJ","2.0DHA",0,0,1.220,0,952,0,699,715,0,974,0,1.067,5.627
"ALUMB.PUBLICO","ES0021000008539311XY","3.0A",8.571,8.042,6.574,6.567,5.610,5.676,6.133,5.625,5.578,6.247,7.973,8.661,81.257
"ALUMB.PUBLICO","ES0021000008539370NL","2.1DHA",0,0,0,9.158,0,5.248,2.620,3.026,3.069,2.654,0,6.601,32.376
"ALUMBRADO","ES0021000008530746MC","3.0A",1.714,1.414,1.207,898,672,1.058,956,1.112,1.256,1.209,883,1.466,13.845
"ALUMBRADO","ES0021000013374733AT","2.0A",0,0,0,0,0,0,107,696,604,758,0,1.062,3.227
"ALUMBRADO","ES0021000013374733AT","2.0DHA",0,1.473,0,1.338,577,445,344,0,0,0,0,0,4.177
"ALUMBRADO","ES0021000016297908EJ","2.0DHA",0,1.469,0,3.212,1.577,1.295,1.257,1.437,1.434,1.960,0,3.433,17.074
"ALUMBRADO","ES0021000016576368PN","2.0A",0,5.929,0,5.312,0,4.019,2.022,2.748,2.401,2.944,0,4.651,30.026
"ALUMBRADO","ES0021000016713525ZC","2.0A",0,31,14,13,14,11,12,13,14,13,0,20,155
"ALUMBRADO PUBLICO","ES0021000008524145VC","2.0A",0,0,0,0,0,0,1.932,2.876,2.880,3.827,0,5.454,16.969
"ALUMBRADO PUBLICO","ES0021000008524145VC","2.0DHA",4.560,0,3.917,3.240,2.865,2.591,3.035,0,0,0,0,0,20.208
"ALUMBRADO PUBLICO","ES0021000008524994PH","3.0A",13.035,10.579,8.475,9.679,7.102,6.883,6.068,7.493,8.461,7.790,9.387,9.942,104.894
"ALUMBRADO PUBLICO","ES0021000008525073NM","2.1A",17.950,0,16.676,0,14.115,0,10.744,0,12.484,0,0,0,71.969
"ALUMBRADO PUBLICO","ES0021000008525243LZ","2.0DHA",0,0,7.590,0,5.343,0,4.762,3.538,0,4.963,1.932,0,28.128
"ALUMBRADO PUBLICO","ES0021000008525574BT","3.0A",8.419,6.584,5.146,5.968,4.700,4.325,3.716,4.885,5.345,4.855,5.923,6.186,66.052
"ALUMBRADO PUBLICO","ES0021000008527192NP","3.0A",8.599,6.443,5.795,6.057,5.374,3.615,4.703,4.710,4.829,5.871,6.245,6.135,68.376
"ALUMBRADO PUBLICO","ES0021000008530632TK","3.0A",7.599,6.276,5.332,6.418,4.484,4.277,3.818,784,0,2.521,6.021,6.865,54.395
"ALUMBRADO PUBLICO","ES0021000008531452JJ","3.0A",15.589,9.728,11.035,9.992,8.525,6.921,7.108,8.800,8.935,9.651,12.283,14.958,123.525
"ALUMBRADO PUBLICO","ES0021000008532456BM","3.0A",21.629,15.749,15.720,16.241,12.427,10.921,11.908,13.685,12.210,14.185,16.082,20.430,181.187
"ALUMBRADO PUBLICO","ES0021000008532843MR","3.0A",10.467,7.940,7.692,7.915,6.513,5.602,6.182,5.723,7.063,7.095,7.948,7.970,88.110
"ALUMBRADO PUBLICO","ES0021000008534241LL","2.1DHA",0,8.005,0,8.016,3.425,2.289,2.613,3.671,3.306,4.050,0,7.006,42.381
"ALUMBRADO PUBLICO","ES0021000008536393KD","2.0A",0,0,0,0,0,0,0,1.783,1.706,2.120,0,3.178,8.787
"ALUMBRADO PUBLICO","ES0021000008536393KD","2.0DHA",0,4.795,0,3.585,0,3.054,714,0,0,0,0,0,12.148
"ALUMBRADO PUBLICO","ES0021000008536467RZ","2.0A",0,0,0,0,0,0,654,2.999,2.769,3.297,0,6.113,15.832
"ALUMBRADO PUBLICO","ES0021000008536467RZ","2.0DHA",5.022,3.709,3.274,3.177,3.115,2.440,1.801,0,0,0,0,0,22.538
