"Descripción Punto de Suministro","CUPS","Tarifa Acceso","Mes","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","total"
"AA,VV, DE LA MARXADELLA","ES0021000008531398BM","2.0A",,1.613,1.000,1.097,1.254,1.070,1.295,1.207,1.457,1.547,1.275,1.146,1.016,14.977
"ALMACEN- RECOGIDA RESIDUOS SOLIDOS","ES0021000011568539VL","3.1A",,15.897,13.081,12.958,15.322,12.332,14.797,14.663,17.179,19.006,17.097,21.068,15.418,188.818
"ALMACEN-RIEGO, PARC CENTRAL, PASO INF.","ES0021000012001412RD","2.0A",,0,130,0,195,0,163,0,0,0,604,0,0,1.092
"ALMACEN DEPENDENCIA MUNICIPAL","ES0021000010783064KV","2.0A",,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALUMB. PUBLICO, PARC CENTRAL FASE B","ES0021000011981274EL","3.0A",,22.117,17.077,18.694,19.556,13.062,13.980,13.183,13.244,16.715,16.731,22.457,23.501,210.317
"ALUMB. PUBLICO, PARC CENTRAL, FASE B","ES0021000011981310RD","3.0A",,12.099,10.585,10.393,11.262,7.838,8.203,7.588,7.689,9.402,9.440,11.459,11.045,117.003
"ALUMB. PUBLICO, PARQUE CENTRAL, FASE B","ES0021000012268255BY","2.0DHA",,0,0,0,9.016,2.109,1.734,1.550,1.112,2.403,2.046,2.263,2.531,24.764
"ALUMB. PUBLICO, URB. MASIA PAVIA","ES0021000012712829CJ","2.0DHA",,0,1.077,0,925,0,683,0,0,0,1.728,0,0,4.413
"ALUMB.PUBLICO","ES0021000008539311XY","3.0A",,9.426,7.346,7.212,7.396,5.476,5.574,5.457,5.391,5.874,6.707,7.495,8.597,81.951
"ALUMB.PUBLICO","ES0021000008539370NL","2.1DHA",,4.464,4.305,3.724,3.833,2.967,2.976,2.551,3.087,2.936,3.169,3.957,3.809,41.778
"ALUMBRADO","ES0021000008530746MC","3.0A",,1.595,1.173,1.239,1.118,1.044,992,1.037,989,1.200,1.170,1.383,1.661,14.601
"ALUMBRADO","ES0021000013374733AT","2.0A",,931,652,701,671,607,484,591,481,445,613,761,790,7.727
"ALUMBRADO","ES0021000016297908EJ","2.0DHA",,2.258,1.915,1.728,1.740,1.592,1.211,1.389,1.538,1.296,1.432,2.423,1.785,20.307
"ALUMBRADO","ES0021000016576368PN","2.0A",,4.107,3.030,2.787,2.831,2.386,1.963,2.106,2.435,2.366,2.432,2.936,3.239,32.618
"ALUMBRADO","ES0021000016713525ZC","2.0A",,13,10,12,17,9,14,12,14,12,12,12,14,151
"ALUMBRADO PUBLICO","ES0021000008524145VC","2.0A",,5.454,3.634,4.026,3.803,3.174,2.376,2.674,2.894,3.326,3.595,3.939,3.752,42.647
"ALUMBRADO PUBLICO","ES0021000008524994PH","3.0A",,12.638,9.452,9.286,9.709,6.348,7.124,6.317,6.570,7.825,8.223,10.267,8.794,102.553
"ALUMBRADO PUBLICO","ES0021000008525073NM","2.1A",,35.480,0,0,17.377,0,10.667,0,10.891,10.906,0,0,17.869,103.190
"ALUMBRADO PUBLICO","ES0021000008525243LZ","2.0DHA",,0,6.837,0,5.218,0,3.130,0,3.739,3.764,0,0,0,22.688
"ALUMBRADO PUBLICO","ES0021000008525574BT","3.0A",,7.842,5.790,5.796,6.074,4.627,4.600,4.415,4.538,5.389,5.646,6.897,6.946,68.560
