"X","Y","ESPECIE"
"-0.493375223642806","39.407032387273212","Phoenix dactylifera"
"-0.49340979136181","39.407017276612486","Phoenix dactylifera"
"-0.493482765108667","39.407032273277601","Phoenix dactylifera"
"-0.493505918101227","39.407066736477063","Phoenix dactylifera"
"-0.493737897780449","39.407094079661782","Phoenix dactylifera"
"-0.493800021743974","39.407113707130584","Pinus pinea"
"-0.493841000234456","39.407146572511571","Pinus pinea"
"-0.493940970198351","39.407143862448841","Pinus pinea"
"-0.494080216625628","39.40720533236113","Fraxinus ornus"
"-0.494135765344994","39.407181574558756","Sin Clasificar"
"-0.494161597291147","39.407225554857483","Pinus pinea"
"-0.494241166367372","39.407267179762215","Pinus pinea"
"-0.49432658610212","39.40727514681187","Sin Clasificar"
"-0.494519160877496","39.407413801738542","Sin Clasificar"
"-0.494527000183281","39.407392709342155","Sin Clasificar"
"-0.494590459156451","39.407465878840945","Sin Clasificar"
"-0.494629581518381","39.407459784910529","Sin Clasificar"
"-0.494670280169971","39.407490752075489","Pinus pinea"
"-0.494686629322824","39.407536870274285","Pinus pinea"
"-0.494824252853023","39.407663169403364","Pinus pinea"
"-0.494919801352218","39.407722345413305","Pinus pinea"
"-0.494989820776934","39.407813403851577","Pinus pinea"
"-0.495080376778061","39.407904994791053","Pinus pinea"
"-0.495119641669113","39.40796304811353","Pinus pinea"
"-0.495333785765597","39.408209734307633","Sin Clasificar"
"-0.495192464107414","39.408215879035239","Sin Clasificar"
"-0.495032467825008","39.408017026021042","Sin Clasificar"
"-0.495244814656491","39.408083583003027","Sin Clasificar"
"-0.495188052844857","39.408024432053722","Sin Clasificar"
"-0.493226885004768","39.406975134920572","Pinus pinea"
"-0.493276392621007","39.406983859991513","Pinus pinea"
"-0.493294536132031","39.407031728781831","Pinus pinea"
"-0.493069561904461","39.406974175314339","Sin Clasificar"
"-0.493048481638127","39.406946693679302","Sin Clasificar"
"-0.493008975782552","39.406957013056569","Sin Clasificar"
"-0.492580329388885","39.406817859414915","Sin Clasificar"
"-0.492615021721338","39.406844643692288","Sin Clasificar"
"-0.492737711718006","39.406881974295551","Sin Clasificar"
"-0.492823304379452","39.406907784064366","Sin Clasificar"
"-0.492878833591804","39.406897539997125","Pinus pinea"
"-0.49289434018999","39.406941207830542","Pinus pinea"
"-0.492969370947615","39.406924717547867","Pinus pinea"
"-0.493740300048422","39.411432972150195","Olea europeae"
"-0.493656123016702","39.411416112470185","Olea europeae"
"-0.493010990268923","39.411347608641918","Ailanthus altissima"
"-0.492914502805412","39.411327509998429","Populus sp"
"-0.492825281291551","39.411308829225753","Ailanthus altissima"
"-0.493247451227036","39.411396130696758","Olea europeae"
"-0.493336789029791","39.411414813654225","Olea europeae"
"-0.49518995598246","39.413894489002487","Sin Clasificar"
"-0.495133002742003","39.413821099634205","Sin Clasificar"
"-0.494987378847635","39.413720033934567","Sin Clasificar"
"-0.493040474524638","39.413678249480689","Sin Clasificar"
"-0.495087202418192","39.414629844409042","Sin Clasificar"
"-0.495591342130959","39.415753410359585","Sin Clasificar"
"-0.495026729346796","39.416363950454226","Sin Clasificar"
"-0.494226209602844","39.416371474348729","Sin Clasificar"
"-0.49369921970788","39.416408042895469","Pinus halepensi"
"-0.493491594263139","39.416523476906498","Sin Clasificar"
"-0.493521325762411","39.416306369778191","Pinus halepensi"
"-0.493558241243213","39.416319868363978","Pinus halepensi"
"-0.493378764031489","39.416252665461556","Pinus halepensi"
"-0.493341539243157","39.416234835818699","Pinus halepensi"
"-0.492882501326285","39.416378181223159","Pinus halepensi"
"-0.492948546709994","39.41640203792079","Pinus halepensi"
"-0.493017903038211","39.416424254262417","Sin Clasificar"
"-0.494597980041515","39.427564273552314","Pinus pinea"
"-0.494932414530806","39.427447696818483","Pinus pinea"
"-0.500919009859064","39.424521766272235","Sin Clasificar"
"-0.501000073920399","39.42466197755062","Sin Clasificar"
"-0.492590076022236","39.424661432604069","Pinus halepensi"
"-0.492552374580059","39.424685934763602","Pinus halepensi"
"-0.492513876756836","39.424709969282702","Pinus halepensi"
"-0.49189312025805","39.430030542113066","Sin Clasificar"
"-0.492279467609468","39.432774551108601","Sin Clasificar"
"-0.492219546978662","39.432809474657645","Sin Clasificar"
"-0.492206958357993","39.432868932768521","Sin Clasificar"
"-0.492272485984071","39.433276832531519","Sin Clasificar"
"-0.49231665213089","39.433295713206","Sin Clasificar"
"-0.492227449695344","39.433188293487213","Sin Clasificar"
"-0.490751179167672","39.409708945443107","Acacia decurrens dealbata"
"-0.490731303694565","39.409641399220952","Acacia decurrens dealbata"
"-0.49062619278324","39.409295165910763","Acacia decurrens dealbata"
"-0.490409871186668","39.408238602502919","Quercus ilex"
"-0.490394432051673","39.408167188000874","Acacia decurrens dealbata"
"-0.490379370132973","39.40809497082585","Quercus ilex"
"-0.490364069698122","39.408022928680701","Quercus ilex"
"-0.490348160017503","39.40795168419514","Quercus ilex"
"-0.490333533291869","39.407880287219527","Quercus ilex"
"-0.490317752625365","39.407808685152652","Quercus ilex"
"-0.487609415663606","39.406709469823468","Ligustrum sp."
"-0.485258006329436","39.407229717283862","Olea europeae"
"-0.485186005147877","39.407307259184172","Olea europeae"
"-0.485316990067668","39.407162164078017","Olea europeae"
"-0.484328805308039","39.406565290480827","Sin Clasificar"
"-0.48450318567962","39.408462760124358","Ceratonia siliqua"
"-0.490772514842885","39.409777874529922","Acacia decurrens dealbata"
"-0.487912313382003","39.407869890991705","Ligustrum sp."
"-0.485185660259756","39.407307161634108","Olea europeae"
"-0.485257529223827","39.407230067325528","Olea europeae"
"-0.485317795883862","39.407162361687085","Olea europeae"
"-0.492024622037055","39.406892991128181","Choricia speciosa"
"-0.491983985447652","39.406970493160053","Choricia speciosa"
"-0.491944302547287","39.40705702478234","Choricia speciosa"
"-0.491901321856789","39.407148079857116","Choricia speciosa"
"-0.491862054631955","39.40723272851681","Choricia speciosa"
"-0.491822394005224","39.407318629939297","Choricia speciosa"
"-0.491783291025974","39.407401930756521","Choricia speciosa"
"-0.491742182963586","39.407486089205911","Choricia speciosa"
"-0.490195976019584","39.40723434336531","Quercus ilex"
"-0.490303061573306","39.407735845338927","Quercus ilex"
"-0.490201487062992","39.406990047301662","Pinus pinea"
"-0.49018916450527","39.406932123498009","Ceratonia siliqua"
"-0.49226398986321","39.406675270687586","Ceratonia siliqua"
"-0.492312452247078","39.406700189885335","Ceratonia siliqua"
"-0.492441897899059","39.406740189034508","Ceratonia siliqua"
"-0.492445351094382","39.406815579042743","Ceratonia siliqua"
"-0.492522797820413","39.406851573737676","Sin Clasificar"
"-0.490210750835289","39.407304842655407","Quercus ilex"
"-0.48282704383705","39.407035670909984","Pinus halepensi"
"-0.481121347877861","39.40986377803106","Ligustrum sp."
"-0.481088264423469","39.409818196373642","Ligustrum sp."
"-0.481014872353066","39.409718047655915","Ligustrum sp."
"-0.480984269442413","39.409680988187581","Ligustrum sp."
"-0.480951941405049","39.409630557990376","Ligustrum sp."
"-0.480915229010298","39.409582555314067","Ligustrum sp."
"-0.480881101416167","39.409536950975529","Ligustrum sp."
"-0.480850064928368","39.409492584775187","Ligustrum sp."
"-0.480892254927384","39.409404579921727","Ligustrum sp."
"-0.480921631132646","39.409449901130195","Ligustrum sp."
"-0.48096297685471","39.409507914109703","Ligustrum sp."
"-0.481023819545079","39.409592115280155","Ligustrum sp."
"-0.481098554798705","39.409696887691254","Ligustrum sp."
"-0.481201976288061","39.409833903172583","Ligustrum sp."
"-0.481251289064485","39.409851277808897","Ligustrum sp."
"-0.484549191411322","39.40643041886198","Jacaranda mimosifolia"
"-0.491955037388754","39.41294213514773","Sin Clasificar"
"-0.49213604582558","39.412590543540851","Sin Clasificar"
"-0.492071980048927","39.411504024174874","Melia azederach"
"-0.492091587704885","39.411455978554713","Melia azederach"
