"Consumo Agregado dependencias municipales","Consumo Agregado Riego Parques y Jardines Municipales","Consumo Agregado Instalaciones deportivas","Consumo Agregado Centros Educativos","Otros consumos municipales","Trimestre"
4.798,29.034,927,5.752,2.711,"Trim 1/14"
6.187,28.776,937,8.456,447,"Trim 2/14"
7.547,42.295,5.655,8.693,8.753,"Trim 3/14"
9.373,42.679,1.943,11.392,7.129,"Trim 4/14"
6.403,60.680,1.668,10.517,652,"Trim 1/15"
7.866,24.769,1.952,10.821,585,"Trim 2/15"
8.662,55.247,1.226,8.330,484,"Trim 3/15"
6.841,35.078,2.318,6.207,12.341,"Trim 4/15"
6.849,28.732,3.307,6.266,488,"Trim 1/16"
6.406,24.542,2.959,6.776,390,"Trim 2/16"
6.954,40.593,1.665,4.714,455,"Trim 3/16"
5.265,182.969,2.454,6.101,584,"Trim 4/16"
8.236,29.971,2.288,6.552,3.399,"Trim 1/17"
